date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,512.00,516.50,502.20,514.45,514.45,"1,855","Aug 25, 2023"
24-08-2023,507.00,519.00,503.00,517.20,517.20,"2,341","Aug 24, 2023"
23-08-2023,493.00,515.00,491.00,507.25,507.25,"3,969","Aug 23, 2023"
22-08-2023,511.00,511.00,495.00,503.70,503.70,"5,925","Aug 22, 2023"
21-08-2023,498.45,511.65,482.00,505.90,505.90,"4,488","Aug 21, 2023"
18-08-2023,498.95,507.50,484.15,495.30,495.30,"6,192","Aug 18, 2023"
17-08-2023,492.95,503.90,468.30,499.65,499.65,"8,299","Aug 17, 2023"
16-08-2023,518.00,518.00,492.95,492.95,492.95,"5,465","Aug 16, 2023"
14-08-2023,570.00,570.10,502.00,518.90,518.90,"19,761","Aug 14, 2023"
11-08-2023,492.00,569.95,490.00,541.25,541.25,"63,822","Aug 11, 2023"
10-08-2023,500.15,512.20,487.70,491.45,491.45,"5,520","Aug 10, 2023"
09-08-2023,499.10,516.90,499.10,510.15,510.15,"7,817","Aug 09, 2023"
08-08-2023,528.40,532.40,489.70,498.25,498.25,"13,860","Aug 08, 2023"
07-08-2023,499.00,529.90,497.00,524.75,524.75,"35,299","Aug 07, 2023"
04-08-2023,476.85,504.30,453.20,494.10,494.10,"28,299","Aug 04, 2023"
03-08-2023,463.65,471.40,461.55,469.15,469.15,"16,108","Aug 03, 2023"
02-08-2023,474.45,476.95,460.10,463.95,463.95,"29,472","Aug 02, 2023"
01-08-2023,459.00,476.15,456.05,469.55,469.55,"28,251","Aug 01, 2023"
31-07-2023,445.40,465.00,440.50,452.75,452.75,"48,909","Jul 31, 2023"
28-07-2023,409.75,447.30,404.10,430.65,430.65,"29,012","Jul 28, 2023"
27-07-2023,416.75,419.00,405.50,405.90,405.90,"3,828","Jul 27, 2023"
26-07-2023,397.80,410.00,397.45,408.65,408.65,"7,907","Jul 26, 2023"
25-07-2023,393.05,399.00,393.00,394.20,394.20,"2,206","Jul 25, 2023"
24-07-2023,393.00,397.55,390.50,394.00,394.00,"3,098","Jul 24, 2023"
21-07-2023,398.10,400.85,390.00,391.55,391.55,"2,993","Jul 21, 2023"
20-07-2023,402.85,410.55,394.00,395.50,395.50,"3,405","Jul 20, 2023"
19-07-2023,400.00,403.00,394.50,402.55,402.55,"4,844","Jul 19, 2023"
18-07-2023,399.95,399.95,391.80,393.30,393.30,"5,676","Jul 18, 2023"
17-07-2023,401.00,410.00,397.05,399.95,399.95,"6,934","Jul 17, 2023"
14-07-2023,407.40,415.00,403.60,408.70,408.70,"6,693","Jul 14, 2023"
13-07-2023,413.75,427.55,401.45,405.45,405.45,"11,041","Jul 13, 2023"
12-07-2023,394.65,438.00,387.05,413.35,413.35,"68,284","Jul 12, 2023"
11-07-2023,367.00,403.95,366.25,384.35,384.35,"36,351","Jul 11, 2023"
10-07-2023,360.95,370.00,359.85,367.60,367.60,"5,159","Jul 10, 2023"
07-07-2023,353.95,363.90,353.95,360.65,360.65,"2,075","Jul 07, 2023"
06-07-2023,358.10,366.35,351.60,353.50,353.50,"3,238","Jul 06, 2023"
05-07-2023,359.95,363.90,356.55,358.25,358.25,"1,288","Jul 05, 2023"
04-07-2023,351.25,370.90,351.25,359.55,359.55,"5,120","Jul 04, 2023"
03-07-2023,362.95,368.65,352.85,355.50,355.50,"3,425","Jul 03, 2023"
30-06-2023,367.00,370.15,357.65,361.45,361.45,"4,782","Jun 30, 2023"
28-06-2023,361.10,361.10,361.10,361.10,361.10,-,"Jun 28, 2023"
27-06-2023,355.95,369.80,353.50,361.10,361.10,"5,378","Jun 27, 2023"
26-06-2023,359.15,359.15,352.75,355.40,355.40,"1,385","Jun 26, 2023"
23-06-2023,358.65,380.00,347.00,352.15,352.15,"3,390","Jun 23, 2023"
22-06-2023,351.95,359.70,351.00,351.70,351.70,"1,972","Jun 22, 2023"
21-06-2023,356.95,357.95,348.40,351.55,351.55,"4,372","Jun 21, 2023"
20-06-2023,351.80,356.95,350.00,352.65,352.65,"1,526","Jun 20, 2023"
19-06-2023,349.40,358.45,347.55,351.45,351.45,"4,396","Jun 19, 2023"
16-06-2023,352.30,361.00,347.00,349.70,349.70,"3,145","Jun 16, 2023"
15-06-2023,361.95,365.00,350.00,352.30,352.30,"4,689","Jun 15, 2023"
14-06-2023,358.60,364.80,350.00,360.55,360.55,"5,081","Jun 14, 2023"
13-06-2023,360.45,374.75,343.30,351.85,351.85,"15,801","Jun 13, 2023"
12-06-2023,355.25,379.00,355.25,363.70,363.70,"22,818","Jun 12, 2023"
09-06-2023,348.45,352.25,344.70,348.40,348.40,"2,255","Jun 09, 2023"
08-06-2023,349.65,353.95,347.00,349.95,349.95,"2,534","Jun 08, 2023"
07-06-2023,354.00,361.45,348.05,350.60,350.60,"4,037","Jun 07, 2023"
06-06-2023,358.00,361.40,344.25,348.50,348.50,"6,388","Jun 06, 2023"
05-06-2023,325.85,381.00,321.00,357.70,357.70,"37,785","Jun 05, 2023"
02-06-2023,316.00,326.65,316.00,321.05,321.05,"2,643","Jun 02, 2023"
01-06-2023,329.05,329.10,320.10,321.75,321.75,"1,808","Jun 01, 2023"
31-05-2023,327.00,327.60,320.60,324.95,324.95,"3,646","May 31, 2023"
30-05-2023,325.35,328.45,319.10,326.80,326.80,"2,352","May 30, 2023"
29-05-2023,325.85,334.15,315.25,319.05,319.05,"4,783","May 29, 2023"
26-05-2023,349.50,357.80,306.70,325.85,325.85,"35,760","May 26, 2023"
25-05-2023,347.00,348.85,342.10,347.15,347.15,"2,495","May 25, 2023"
24-05-2023,346.65,349.45,342.95,345.10,345.10,958,"May 24, 2023"
23-05-2023,342.80,348.60,341.00,346.35,346.35,"1,417","May 23, 2023"
22-05-2023,342.35,349.90,340.10,341.40,341.40,63,"May 22, 2023"
19-05-2023,342.05,342.55,339.30,342.20,342.20,411,"May 19, 2023"
18-05-2023,344.80,350.95,337.00,339.30,339.30,"3,426","May 18, 2023"
17-05-2023,344.05,347.85,340.45,343.95,343.95,"2,028","May 17, 2023"
16-05-2023,354.05,354.50,341.05,342.05,342.05,"3,158","May 16, 2023"
15-05-2023,351.75,353.00,349.30,352.30,352.30,902,"May 15, 2023"
12-05-2023,341.00,350.20,341.00,349.35,349.35,"1,791","May 12, 2023"
11-05-2023,347.00,350.00,341.00,343.50,343.50,"1,257","May 11, 2023"
10-05-2023,356.55,356.55,340.90,350.00,350.00,"2,506","May 10, 2023"
09-05-2023,350.00,351.00,339.00,341.05,341.05,"4,118","May 09, 2023"
08-05-2023,352.75,358.00,343.60,345.90,345.90,"1,831","May 08, 2023"
05-05-2023,345.60,357.80,340.00,352.35,352.35,"3,153","May 05, 2023"
04-05-2023,347.35,352.75,337.00,344.05,344.05,"6,455","May 04, 2023"
03-05-2023,336.90,349.00,335.00,340.60,340.60,"3,380","May 03, 2023"
02-05-2023,328.65,339.20,328.00,336.95,336.95,"1,622","May 02, 2023"
28-04-2023,324.85,329.95,324.85,328.40,328.40,686,"Apr 28, 2023"
27-04-2023,323.00,325.00,319.40,324.15,324.15,428,"Apr 27, 2023"
26-04-2023,322.40,325.45,317.00,318.40,318.40,948,"Apr 26, 2023"
25-04-2023,325.45,327.45,322.05,322.40,322.40,492,"Apr 25, 2023"
24-04-2023,332.85,336.50,316.25,323.50,323.50,"3,633","Apr 24, 2023"
21-04-2023,335.35,340.00,333.00,333.50,333.50,"1,579","Apr 21, 2023"
20-04-2023,335.00,339.80,333.50,336.35,336.35,"1,149","Apr 20, 2023"
19-04-2023,336.00,345.00,332.25,333.50,333.50,"4,751","Apr 19, 2023"
18-04-2023,337.10,345.95,332.25,335.20,335.20,"2,843","Apr 18, 2023"
17-04-2023,344.95,345.35,333.00,337.15,337.15,"2,444","Apr 17, 2023"
13-04-2023,346.00,346.50,336.00,338.65,338.65,"1,940","Apr 13, 2023"
12-04-2023,353.20,355.55,340.40,342.10,342.10,"5,025","Apr 12, 2023"
11-04-2023,369.90,377.70,352.45,354.00,354.00,"30,386","Apr 11, 2023"
10-04-2023,306.35,360.40,302.00,360.40,360.40,"32,450","Apr 10, 2023"
06-04-2023,297.00,304.90,296.75,300.35,300.35,"2,163","Apr 06, 2023"
05-04-2023,291.00,303.95,291.00,298.50,298.50,"2,912","Apr 05, 2023"
03-04-2023,283.80,294.55,282.05,293.25,293.25,"2,067","Apr 03, 2023"
31-03-2023,272.50,284.00,272.50,283.20,283.20,"2,465","Mar 31, 2023"
29-03-2023,272.05,280.00,272.05,279.85,279.85,"7,152","Mar 29, 2023"
28-03-2023,276.90,278.95,270.95,272.05,272.05,"8,055","Mar 28, 2023"
27-03-2023,282.00,285.05,271.00,275.90,275.90,"2,199","Mar 27, 2023"
24-03-2023,291.05,291.05,280.80,282.05,282.05,"1,698","Mar 24, 2023"
23-03-2023,287.00,292.00,283.30,286.65,286.65,505,"Mar 23, 2023"
22-03-2023,293.75,293.75,286.55,289.95,289.95,324,"Mar 22, 2023"
21-03-2023,295.95,295.95,285.00,288.15,288.15,"1,192","Mar 21, 2023"
20-03-2023,296.75,298.30,287.50,290.65,290.65,520,"Mar 20, 2023"
17-03-2023,293.95,298.45,292.00,296.00,296.00,"2,320","Mar 17, 2023"
16-03-2023,301.85,302.00,291.00,293.80,293.80,814,"Mar 16, 2023"
15-03-2023,298.75,303.00,298.10,299.90,299.90,308,"Mar 15, 2023"
14-03-2023,301.00,304.95,296.50,300.05,300.05,"2,867","Mar 14, 2023"
13-03-2023,307.90,308.00,295.05,296.35,296.35,"2,641","Mar 13, 2023"
10-03-2023,312.45,314.00,305.85,308.65,308.65,"1,741","Mar 10, 2023"
09-03-2023,299.95,314.95,298.00,312.90,312.90,"1,774","Mar 09, 2023"
08-03-2023,299.95,301.45,298.30,299.70,299.70,230,"Mar 08, 2023"
06-03-2023,302.95,303.80,296.00,298.00,298.00,"1,506","Mar 06, 2023"
03-03-2023,297.00,305.90,294.80,302.50,302.50,283,"Mar 03, 2023"
02-03-2023,295.20,303.55,292.10,299.00,299.00,"1,584","Mar 02, 2023"
01-03-2023,295.95,299.85,295.10,297.60,297.60,641,"Mar 01, 2023"
28-02-2023,295.95,299.70,292.90,294.75,294.75,921,"Feb 28, 2023"
27-02-2023,299.90,305.00,293.40,295.60,295.60,"1,844","Feb 27, 2023"
24-02-2023,297.00,305.00,296.45,301.60,301.60,"1,239","Feb 24, 2023"
23-02-2023,297.70,303.95,295.15,299.15,299.15,"1,352","Feb 23, 2023"
22-02-2023,303.45,303.95,297.00,297.75,297.75,390,"Feb 22, 2023"
21-02-2023,300.20,307.20,300.00,303.35,303.35,"2,112","Feb 21, 2023"
20-02-2023,301.55,305.90,300.00,301.50,301.50,316,"Feb 20, 2023"
17-02-2023,304.95,305.95,300.00,301.55,301.55,"1,096","Feb 17, 2023"
16-02-2023,300.45,307.45,300.30,305.00,305.00,"1,740","Feb 16, 2023"
15-02-2023,304.00,304.90,299.00,301.45,301.45,"1,179","Feb 15, 2023"
14-02-2023,305.00,311.95,297.00,300.80,300.80,"1,200","Feb 14, 2023"
13-02-2023,312.65,321.50,305.25,307.00,307.00,"1,182","Feb 13, 2023"
10-02-2023,310.40,318.00,309.35,316.45,316.45,343,"Feb 10, 2023"
09-02-2023,309.90,319.95,307.55,315.85,315.85,571,"Feb 09, 2023"
08-02-2023,305.55,313.25,305.00,309.05,309.05,849,"Feb 08, 2023"
07-02-2023,312.00,312.00,302.60,305.55,305.55,435,"Feb 07, 2023"
06-02-2023,309.95,311.90,306.30,307.55,307.55,837,"Feb 06, 2023"
03-02-2023,314.95,315.95,304.25,307.30,307.30,798,"Feb 03, 2023"
02-02-2023,320.00,320.00,310.00,314.40,314.40,409,"Feb 02, 2023"
01-02-2023,320.90,323.45,319.40,321.55,321.55,380,"Feb 01, 2023"
31-01-2023,316.95,321.90,316.05,320.40,320.40,712,"Jan 31, 2023"
30-01-2023,319.95,324.80,316.05,316.75,316.75,238,"Jan 30, 2023"
27-01-2023,319.95,320.80,315.05,318.70,318.70,58,"Jan 27, 2023"
25-01-2023,322.75,322.75,314.00,319.95,319.95,"1,485","Jan 25, 2023"
24-01-2023,319.75,327.95,316.70,322.75,322.75,983,"Jan 24, 2023"
23-01-2023,322.60,327.00,316.20,319.40,319.40,669,"Jan 23, 2023"
20-01-2023,321.15,325.90,320.15,323.65,323.65,289,"Jan 20, 2023"
19-01-2023,329.95,330.00,321.00,321.50,321.50,549,"Jan 19, 2023"
18-01-2023,326.95,328.05,324.00,324.50,324.50,"1,370","Jan 18, 2023"
17-01-2023,322.20,328.45,322.20,326.55,326.55,"1,293","Jan 17, 2023"
16-01-2023,320.30,325.45,320.25,322.20,322.20,"2,072","Jan 16, 2023"
13-01-2023,322.00,325.90,322.00,323.05,323.05,557,"Jan 13, 2023"
12-01-2023,323.95,328.00,323.10,325.90,325.90,293,"Jan 12, 2023"
11-01-2023,326.50,329.00,321.50,323.40,323.40,662,"Jan 11, 2023"
10-01-2023,324.30,327.70,322.20,326.50,326.50,59,"Jan 10, 2023"
09-01-2023,326.20,329.65,324.00,324.90,324.90,159,"Jan 09, 2023"
06-01-2023,331.90,332.00,323.00,323.75,323.75,"1,027","Jan 06, 2023"
05-01-2023,325.80,332.00,322.15,327.45,327.45,"2,003","Jan 05, 2023"
04-01-2023,324.70,337.00,323.00,325.30,325.30,"4,712","Jan 04, 2023"
03-01-2023,330.05,330.05,322.60,324.60,324.60,"1,109","Jan 03, 2023"
02-01-2023,327.45,334.85,325.35,330.65,330.65,659,"Jan 02, 2023"
30-12-2022,324.95,328.20,324.10,325.35,325.35,"1,827","Dec 30, 2022"
29-12-2022,326.25,337.00,317.65,323.10,323.10,"4,369","Dec 29, 2022"
28-12-2022,307.00,349.80,306.50,332.55,332.55,"4,337","Dec 28, 2022"
27-12-2022,309.95,314.95,309.95,310.20,310.20,412,"Dec 27, 2022"
26-12-2022,304.60,317.90,304.60,307.15,307.15,751,"Dec 26, 2022"
23-12-2022,305.10,311.95,301.20,304.60,304.60,928,"Dec 23, 2022"
22-12-2022,319.85,319.85,304.25,310.65,310.65,"2,953","Dec 22, 2022"
21-12-2022,316.40,323.95,312.50,313.60,313.60,709,"Dec 21, 2022"
20-12-2022,317.00,323.85,315.35,315.75,315.75,"1,613","Dec 20, 2022"
19-12-2022,324.05,324.95,312.20,316.90,316.90,"5,212","Dec 19, 2022"
16-12-2022,321.10,327.75,321.10,324.25,324.25,874,"Dec 16, 2022"
15-12-2022,327.85,329.90,321.80,324.80,324.80,"1,511","Dec 15, 2022"
14-12-2022,315.25,329.00,315.25,327.15,327.15,"1,611","Dec 14, 2022"
13-12-2022,321.00,323.00,318.35,319.30,319.30,"1,349","Dec 13, 2022"
12-12-2022,323.05,327.90,319.00,321.65,321.65,"1,192","Dec 12, 2022"
09-12-2022,322.00,332.50,320.00,323.55,323.55,"4,409","Dec 09, 2022"
08-12-2022,320.00,329.95,320.00,326.10,326.10,"1,761","Dec 08, 2022"
07-12-2022,314.15,337.45,314.05,321.35,321.35,"3,799","Dec 07, 2022"
06-12-2022,316.95,318.00,313.35,314.00,314.00,"1,215","Dec 06, 2022"
05-12-2022,316.95,321.00,315.05,316.40,316.40,"2,180","Dec 05, 2022"
02-12-2022,319.50,320.00,315.25,316.45,316.45,"2,169","Dec 02, 2022"
01-12-2022,316.10,325.95,316.10,320.45,320.45,"1,310","Dec 01, 2022"
30-11-2022,320.50,320.50,316.00,316.45,316.45,"1,213","Nov 30, 2022"
29-11-2022,316.70,321.85,315.25,315.95,315.95,"1,304","Nov 29, 2022"
28-11-2022,322.55,324.95,316.70,317.85,317.85,"1,688","Nov 28, 2022"
25-11-2022,316.05,322.45,312.70,316.55,316.55,"2,392","Nov 25, 2022"
24-11-2022,320.55,324.40,316.00,316.85,316.85,899,"Nov 24, 2022"
23-11-2022,325.55,325.70,315.65,318.20,318.20,"1,782","Nov 23, 2022"
22-11-2022,321.00,323.85,318.05,319.40,319.40,"1,532","Nov 22, 2022"
21-11-2022,326.65,326.65,322.00,323.45,323.45,"1,262","Nov 21, 2022"
18-11-2022,325.80,332.40,323.40,326.65,326.65,"1,256","Nov 18, 2022"
17-11-2022,342.30,342.30,321.00,326.05,326.05,"6,010","Nov 17, 2022"
16-11-2022,344.65,344.65,335.80,337.50,337.50,"1,035","Nov 16, 2022"
15-11-2022,347.95,347.95,336.25,338.10,338.10,"1,563","Nov 15, 2022"
14-11-2022,351.00,351.00,341.00,341.20,341.20,"5,147","Nov 14, 2022"
11-11-2022,355.95,355.95,351.00,351.75,351.75,277,"Nov 11, 2022"
10-11-2022,353.90,356.00,345.50,351.55,351.55,"1,952","Nov 10, 2022"
09-11-2022,355.15,355.75,349.75,351.80,351.80,"1,283","Nov 09, 2022"
07-11-2022,350.20,356.30,346.50,348.45,348.45,"3,500","Nov 07, 2022"
04-11-2022,352.05,360.00,346.65,353.15,353.15,"2,278","Nov 04, 2022"
03-11-2022,352.75,378.80,342.20,352.80,352.80,"1,218","Nov 03, 2022"
02-11-2022,349.85,353.00,344.55,348.05,348.05,"1,352","Nov 02, 2022"
01-11-2022,348.65,352.40,345.20,347.50,347.50,"3,205","Nov 01, 2022"
31-10-2022,343.20,349.50,342.10,345.25,345.25,956,"Oct 31, 2022"
28-10-2022,342.70,346.00,342.00,345.05,345.05,"1,034","Oct 28, 2022"
27-10-2022,342.35,345.40,340.00,342.70,342.70,826,"Oct 27, 2022"
25-10-2022,347.10,347.10,341.80,344.40,344.40,364,"Oct 25, 2022"
24-10-2022,345.00,350.90,343.50,344.60,344.60,225,"Oct 24, 2022"
21-10-2022,341.90,349.95,341.90,345.00,345.00,690,"Oct 21, 2022"
20-10-2022,340.25,346.80,340.00,341.25,341.25,548,"Oct 20, 2022"
19-10-2022,347.95,351.95,343.20,345.90,345.90,642,"Oct 19, 2022"
18-10-2022,342.10,345.50,341.90,342.40,342.40,"1,253","Oct 18, 2022"
17-10-2022,340.05,346.00,336.95,341.65,341.65,"1,399","Oct 17, 2022"
14-10-2022,345.65,347.00,339.05,342.20,342.20,"2,197","Oct 14, 2022"
13-10-2022,345.05,349.55,338.00,339.05,339.05,"1,802","Oct 13, 2022"
12-10-2022,347.40,349.00,346.00,346.15,346.15,508,"Oct 12, 2022"
11-10-2022,353.40,353.40,341.00,345.00,345.00,726,"Oct 11, 2022"
10-10-2022,349.85,354.90,346.50,346.55,346.55,322,"Oct 10, 2022"
07-10-2022,348.50,352.20,348.50,349.75,349.75,527,"Oct 07, 2022"
06-10-2022,346.65,355.00,346.60,351.50,351.50,391,"Oct 06, 2022"
04-10-2022,340.10,347.95,337.05,346.45,346.45,"4,493","Oct 04, 2022"
03-10-2022,342.05,349.70,335.50,336.80,336.80,"2,685","Oct 03, 2022"
30-09-2022,347.40,350.50,340.15,344.70,344.70,"1,189","Sep 30, 2022"
29-09-2022,349.85,358.30,340.00,341.85,341.85,821,"Sep 29, 2022"
28-09-2022,342.00,351.00,340.00,342.65,342.65,"1,363","Sep 28, 2022"
27-09-2022,337.95,354.00,337.90,349.10,349.10,"5,161","Sep 27, 2022"
26-09-2022,358.90,358.90,335.70,343.15,343.15,"3,036","Sep 26, 2022"
23-09-2022,364.50,364.95,351.40,352.55,352.55,"4,615","Sep 23, 2022"
22-09-2022,364.40,364.40,358.00,360.70,360.70,987,"Sep 22, 2022"
21-09-2022,369.00,369.80,357.50,359.95,359.95,"1,380","Sep 21, 2022"
20-09-2022,368.95,374.15,361.35,363.95,363.95,"1,721","Sep 20, 2022"
19-09-2022,369.90,374.35,360.00,361.75,361.75,"6,501","Sep 19, 2022"
16-09-2022,384.80,384.80,361.35,363.85,363.85,"8,905","Sep 16, 2022"
15-09-2022,362.00,388.00,352.35,378.55,378.55,"14,848","Sep 15, 2022"
14-09-2022,359.75,367.00,359.00,360.90,360.90,"1,925","Sep 14, 2022"
13-09-2022,367.95,367.95,360.00,363.00,363.00,"1,995","Sep 13, 2022"
12-09-2022,364.90,365.70,359.00,362.80,362.80,"1,436","Sep 12, 2022"
09-09-2022,367.10,367.10,354.40,358.65,358.65,"2,400","Sep 09, 2022"
08-09-2022,360.00,364.60,357.35,362.20,362.20,"1,101","Sep 08, 2022"
