date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,232.00","1,238.60","1,216.55","1,229.85","1,229.85","34,476","Aug 25, 2023"
24-08-2023,"1,260.00","1,264.90","1,225.20","1,233.10","1,233.10","43,618","Aug 24, 2023"
23-08-2023,"1,260.00","1,274.95","1,249.00","1,251.90","1,251.90","31,981","Aug 23, 2023"
22-08-2023,"1,270.00","1,275.50","1,250.05","1,266.25","1,266.25","129,370","Aug 22, 2023"
21-08-2023,"1,243.15","1,281.95","1,237.00","1,267.55","1,267.55","266,059","Aug 21, 2023"
18-08-2023,"1,232.80","1,245.00","1,219.05","1,240.25","1,240.25","82,045","Aug 18, 2023"
17-08-2023,"1,201.80","1,244.95","1,195.55","1,232.80","1,232.80","202,950","Aug 17, 2023"
16-08-2023,"1,197.20","1,224.00","1,186.40","1,195.50","1,195.50","49,025","Aug 16, 2023"
14-08-2023,"1,206.95","1,207.95","1,175.40","1,197.25","1,197.25","41,478","Aug 14, 2023"
11-08-2023,"1,210.05","1,218.00","1,192.00","1,204.45","1,204.45","66,644","Aug 11, 2023"
10-08-2023,"1,187.50","1,211.95","1,187.00","1,207.90","1,207.90","108,289","Aug 10, 2023"
09-08-2023,"1,190.05","1,213.90","1,168.65","1,185.40","1,185.40","66,402","Aug 09, 2023"
08-08-2023,"1,205.70","1,218.00","1,186.05","1,192.45","1,192.45","47,216","Aug 08, 2023"
07-08-2023,"1,246.05","1,259.10","1,195.00","1,199.70","1,199.70","111,775","Aug 07, 2023"
04-08-2023,"1,235.70","1,238.00","1,222.00","1,232.30","1,232.30","248,436","Aug 04, 2023"
03-08-2023,"1,252.55","1,259.10","1,216.55","1,222.45","1,222.45","45,829","Aug 03, 2023"
02-08-2023,"1,254.45","1,269.95","1,241.75","1,252.55","1,252.55","60,895","Aug 02, 2023"
01-08-2023,"1,273.70","1,275.45","1,243.60","1,254.45","1,254.45","55,966","Aug 01, 2023"
31-07-2023,"1,246.95","1,275.50","1,230.10","1,267.00","1,267.00","268,847","Jul 31, 2023"
28-07-2023,"1,205.00","1,255.05","1,190.55","1,240.75","1,240.75","687,679","Jul 28, 2023"
