date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,389.00,394.90,380.50,382.70,382.70,"361,956","Aug 25, 2023"
24-08-2023,390.85,395.95,385.15,388.80,388.80,"222,612","Aug 24, 2023"
23-08-2023,389.70,391.50,382.00,388.85,388.85,"307,190","Aug 23, 2023"
22-08-2023,391.80,396.00,386.00,387.80,387.80,"291,856","Aug 22, 2023"
21-08-2023,410.00,411.05,388.10,390.80,390.80,"386,515","Aug 21, 2023"
18-08-2023,402.20,412.40,399.45,409.80,409.80,"239,029","Aug 18, 2023"
17-08-2023,409.70,417.45,399.00,401.55,401.55,"194,604","Aug 17, 2023"
16-08-2023,393.05,412.00,393.05,409.70,409.70,"193,270","Aug 16, 2023"
14-08-2023,404.65,406.70,385.75,400.85,400.85,"213,968","Aug 14, 2023"
11-08-2023,409.50,410.70,400.55,404.65,404.65,"55,238","Aug 11, 2023"
10-08-2023,411.35,414.45,401.35,407.30,407.30,"106,469","Aug 10, 2023"
09-08-2023,408.10,418.75,405.25,410.00,410.00,"129,005","Aug 09, 2023"
08-08-2023,393.80,426.55,391.35,409.80,409.80,"1,280,972","Aug 08, 2023"
07-08-2023,412.50,417.00,385.80,391.05,391.05,"392,273","Aug 07, 2023"
04-08-2023,421.90,422.30,407.80,410.40,410.40,"173,003","Aug 04, 2023"
03-08-2023,419.50,427.00,417.15,419.75,419.75,"96,390","Aug 03, 2023"
02-08-2023,421.05,426.00,417.25,424.20,424.20,"217,910","Aug 02, 2023"
01-08-2023,421.40,424.95,417.80,420.45,420.45,"58,172","Aug 01, 2023"
31-07-2023,419.40,429.00,414.80,419.35,419.35,"118,871","Jul 31, 2023"
28-07-2023,416.90,423.95,414.25,417.45,417.45,"93,200","Jul 28, 2023"
27-07-2023,415.75,419.85,410.05,416.45,416.45,"100,999","Jul 27, 2023"
26-07-2023,426.20,430.50,412.00,413.90,413.90,"169,149","Jul 26, 2023"
25-07-2023,440.95,446.40,421.65,424.55,424.55,"466,823","Jul 25, 2023"
24-07-2023,429.70,439.50,426.00,436.15,436.15,"300,753","Jul 24, 2023"
