date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,302.80,307.00,296.05,301.50,301.50,"1,804,849","Aug 25, 2023"
24-08-2023,286.65,306.50,283.00,301.25,301.25,"4,364,006","Aug 24, 2023"
23-08-2023,283.90,291.50,281.50,283.15,283.15,"1,096,453","Aug 23, 2023"
22-08-2023,281.95,289.80,280.00,281.80,281.80,"1,367,227","Aug 22, 2023"
21-08-2023,270.00,283.40,270.00,279.65,279.65,"1,273,884","Aug 21, 2023"
18-08-2023,276.60,284.70,266.00,267.15,267.15,"1,145,582","Aug 18, 2023"
17-08-2023,277.00,278.70,271.50,275.55,275.55,"876,216","Aug 17, 2023"
16-08-2023,275.00,281.80,269.35,273.95,273.95,"2,410,743","Aug 16, 2023"
14-08-2023,273.10,284.45,255.75,261.80,261.80,"2,313,460","Aug 14, 2023"
11-08-2023,265.10,272.60,263.60,269.40,269.40,"951,464","Aug 11, 2023"
10-08-2023,259.25,268.00,255.55,263.75,263.75,"770,872","Aug 10, 2023"
09-08-2023,262.85,264.95,257.15,259.05,259.05,"431,541","Aug 09, 2023"
08-08-2023,255.50,264.00,254.00,261.05,261.05,"1,062,093","Aug 08, 2023"
07-08-2023,246.00,258.50,241.95,254.50,254.50,"1,412,775","Aug 07, 2023"
04-08-2023,230.30,247.00,226.75,244.05,244.05,"2,051,518","Aug 04, 2023"
03-08-2023,216.45,233.65,215.35,230.30,230.30,"1,750,034","Aug 03, 2023"
02-08-2023,220.00,222.95,214.25,215.35,215.35,"530,967","Aug 02, 2023"
01-08-2023,220.50,229.80,218.70,219.45,219.45,"1,564,621","Aug 01, 2023"
31-07-2023,219.00,223.25,218.60,219.40,219.40,"485,051","Jul 31, 2023"
28-07-2023,220.90,222.15,217.05,218.95,218.95,"272,438","Jul 28, 2023"
27-07-2023,223.55,224.50,220.10,220.90,220.90,"321,553","Jul 27, 2023"
26-07-2023,231.00,231.45,222.00,223.55,223.55,"720,043","Jul 26, 2023"
25-07-2023,228.10,230.75,227.15,229.35,229.35,"169,992","Jul 25, 2023"
24-07-2023,227.40,231.90,226.55,227.80,227.80,"315,893","Jul 24, 2023"
21-07-2023,226.00,232.15,225.30,226.15,226.15,"299,618","Jul 21, 2023"
20-07-2023,228.00,228.90,225.05,227.65,227.65,"266,441","Jul 20, 2023"
19-07-2023,230.55,231.15,225.90,227.70,227.70,"479,518","Jul 19, 2023"
18-07-2023,226.50,234.80,225.40,230.15,230.15,"849,499","Jul 18, 2023"
17-07-2023,228.90,229.25,224.45,225.75,225.75,"371,978","Jul 17, 2023"
14-07-2023,227.45,231.80,222.10,230.75,230.75,"1,123,014","Jul 14, 2023"
13-07-2023,231.25,231.40,225.50,227.45,227.45,"481,591","Jul 13, 2023"
12-07-2023,248.00,248.00,229.00,230.00,230.00,"2,212,813","Jul 12, 2023"
11-07-2023,264.60,271.15,246.85,248.05,248.05,"2,102,500","Jul 11, 2023"
10-07-2023,262.80,264.80,260.00,262.80,262.80,"524,378","Jul 10, 2023"
07-07-2023,261.90,266.05,260.00,261.90,261.90,"403,715","Jul 07, 2023"
06-07-2023,263.20,266.35,261.25,261.80,261.80,"148,575","Jul 06, 2023"
05-07-2023,265.40,269.10,261.60,264.10,264.10,"316,753","Jul 05, 2023"
04-07-2023,262.85,269.00,261.20,264.45,264.45,"461,690","Jul 04, 2023"
03-07-2023,262.30,264.95,260.35,261.75,261.75,"226,914","Jul 03, 2023"
30-06-2023,259.95,265.60,258.55,260.35,260.35,"482,538","Jun 30, 2023"
28-06-2023,265.45,265.45,265.45,265.45,265.45,-,"Jun 28, 2023"
27-06-2023,268.45,283.85,262.50,265.45,265.45,"1,911,468","Jun 27, 2023"
26-06-2023,271.50,277.00,264.10,268.60,268.60,"580,707","Jun 26, 2023"
23-06-2023,267.00,275.65,260.00,271.25,271.25,"2,239,468","Jun 23, 2023"
22-06-2023,250.00,273.00,250.00,266.35,266.35,"7,800,659","Jun 22, 2023"
21-06-2023,236.30,248.50,234.10,246.40,246.40,"476,076","Jun 21, 2023"
20-06-2023,234.00,237.40,233.00,235.25,235.25,"74,085","Jun 20, 2023"
19-06-2023,236.95,239.65,232.70,234.00,234.00,"108,935","Jun 19, 2023"
16-06-2023,233.70,238.60,233.00,235.30,235.30,"91,870","Jun 16, 2023"
15-06-2023,236.00,236.70,233.50,234.10,234.10,"82,249","Jun 15, 2023"
14-06-2023,237.60,239.80,235.00,236.35,236.35,"76,582","Jun 14, 2023"
13-06-2023,237.10,242.85,233.15,236.75,236.75,"309,786","Jun 13, 2023"
12-06-2023,242.00,242.90,235.00,235.55,235.55,"138,745","Jun 12, 2023"
09-06-2023,238.25,242.00,236.75,239.60,239.60,"80,418","Jun 09, 2023"
08-06-2023,242.85,245.95,236.55,238.25,238.25,"124,176","Jun 08, 2023"
07-06-2023,243.95,249.20,241.10,242.85,242.85,"142,461","Jun 07, 2023"
