date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,788.00,793.20,761.00,766.35,766.35,"1,041,131","Aug 25, 2023"
24-08-2023,806.45,815.45,794.05,796.40,796.40,"250,344","Aug 24, 2023"
23-08-2023,815.00,819.90,802.40,804.40,804.40,"728,116","Aug 23, 2023"
22-08-2023,812.85,824.20,807.45,816.05,816.05,"378,341","Aug 22, 2023"
21-08-2023,805.80,815.45,799.80,810.80,810.80,"682,272","Aug 21, 2023"
18-08-2023,806.70,807.20,794.10,803.30,803.30,"244,642","Aug 18, 2023"
17-08-2023,805.30,816.10,800.65,804.70,804.70,"346,302","Aug 17, 2023"
16-08-2023,793.95,810.90,787.00,805.30,805.30,"1,006,531","Aug 16, 2023"
14-08-2023,795.00,797.40,781.90,793.95,793.95,"323,741","Aug 14, 2023"
11-08-2023,817.55,818.85,786.55,793.85,793.85,"532,731","Aug 11, 2023"
10-08-2023,802.80,819.80,802.80,815.60,815.60,"483,280","Aug 10, 2023"
09-08-2023,828.00,832.20,799.15,802.65,802.65,"829,173","Aug 09, 2023"
08-08-2023,840.00,842.90,819.15,822.70,822.70,"519,827","Aug 08, 2023"
07-08-2023,810.85,840.15,808.70,837.50,837.50,"997,907","Aug 07, 2023"
04-08-2023,804.90,814.95,800.00,810.85,810.85,"239,490","Aug 04, 2023"
03-08-2023,800.45,812.20,794.80,798.60,798.60,"295,099","Aug 03, 2023"
02-08-2023,809.00,819.00,798.40,801.70,801.70,"812,424","Aug 02, 2023"
01-08-2023,795.00,815.15,792.05,806.15,806.15,"793,336","Aug 01, 2023"
31-07-2023,824.90,824.90,793.00,796.10,796.10,"1,076,381","Jul 31, 2023"
28-07-2023,807.20,826.95,807.15,824.90,824.90,"1,344,141","Jul 28, 2023"
27-07-2023,780.95,813.00,766.85,807.05,807.05,"4,656,626","Jul 27, 2023"
26-07-2023,778.00,779.90,755.50,762.30,762.30,"662,877","Jul 26, 2023"
25-07-2023,775.10,779.25,765.30,776.75,776.75,"533,372","Jul 25, 2023"
24-07-2023,777.05,783.40,771.00,773.25,773.25,"295,804","Jul 24, 2023"
21-07-2023,781.65,786.00,773.55,777.55,777.55,"195,503","Jul 21, 2023"
20-07-2023,769.80,791.20,765.95,781.65,781.65,"858,068","Jul 20, 2023"
19-07-2023,778.95,780.15,763.50,769.80,769.80,"437,745","Jul 19, 2023"
18-07-2023,784.80,787.40,776.55,780.95,780.95,"405,335","Jul 18, 2023"
17-07-2023,779.45,788.95,777.65,783.60,783.60,"491,169","Jul 17, 2023"
14-07-2023,770.00,779.75,761.20,777.35,777.35,"412,958","Jul 14, 2023"
13-07-2023,787.00,787.00,765.15,767.40,767.40,"583,847","Jul 13, 2023"
12-07-2023,766.95,782.00,759.40,780.45,780.45,"827,549","Jul 12, 2023"
11-07-2023,760.00,769.00,755.35,762.10,762.10,"343,381","Jul 11, 2023"
10-07-2023,765.00,765.00,754.55,757.55,757.55,"313,125","Jul 10, 2023"
07-07-2023,765.95,769.00,756.90,762.55,762.55,"351,765","Jul 07, 2023"
06-07-2023,758.90,769.90,751.50,767.45,767.45,"546,920","Jul 06, 2023"
05-07-2023,750.95,760.70,740.35,754.95,754.95,"698,912","Jul 05, 2023"
04-07-2023,755.20,762.95,738.25,741.25,741.25,"728,906","Jul 04, 2023"
03-07-2023,765.20,768.10,753.90,759.60,759.60,"316,286","Jul 03, 2023"
30-06-2023,759.00,775.45,750.25,765.05,765.05,"905,360","Jun 30, 2023"
30-06-2023,0.75 Dividend,,,,,,"Jun 30, 2023"
28-06-2023,729.00,729.00,729.00,729.00,728.25,-,"Jun 28, 2023"
27-06-2023,726.95,735.20,724.00,729.00,728.25,"375,425","Jun 27, 2023"
26-06-2023,729.95,729.95,720.80,726.95,726.20,"306,744","Jun 26, 2023"
23-06-2023,728.00,728.95,717.05,727.45,726.70,"375,213","Jun 23, 2023"
22-06-2023,745.45,745.45,726.65,728.20,727.45,"318,517","Jun 22, 2023"
21-06-2023,751.30,751.75,742.90,745.45,744.68,"201,677","Jun 21, 2023"
20-06-2023,743.25,752.50,743.25,748.40,747.63,"200,016","Jun 20, 2023"
19-06-2023,742.00,750.60,741.55,743.25,742.49,"241,242","Jun 19, 2023"
16-06-2023,748.75,750.75,740.00,742.40,741.64,"264,238","Jun 16, 2023"
15-06-2023,743.60,755.95,743.45,749.65,748.88,"582,031","Jun 15, 2023"
14-06-2023,738.80,745.00,737.65,743.50,742.74,"224,554","Jun 14, 2023"
13-06-2023,738.90,741.20,733.95,738.80,738.04,"357,423","Jun 13, 2023"
12-06-2023,733.00,739.50,725.65,735.80,735.04,"409,823","Jun 12, 2023"
09-06-2023,723.05,736.80,721.00,728.05,727.30,"298,909","Jun 09, 2023"
08-06-2023,733.25,736.95,718.35,723.20,722.46,"464,498","Jun 08, 2023"
07-06-2023,740.95,746.75,730.05,733.25,732.50,"533,841","Jun 07, 2023"
06-06-2023,720.00,740.45,719.15,734.50,733.74,"429,117","Jun 06, 2023"
05-06-2023,722.00,725.35,719.30,721.30,720.56,"409,494","Jun 05, 2023"
02-06-2023,723.10,729.90,716.00,720.50,719.76,"552,699","Jun 02, 2023"
01-06-2023,729.00,729.65,720.00,726.55,725.80,"450,379","Jun 01, 2023"
31-05-2023,714.95,727.95,713.10,725.00,724.25,"1,302,002","May 31, 2023"
30-05-2023,711.50,723.10,708.70,714.95,714.21,"363,872","May 30, 2023"
29-05-2023,721.80,724.50,708.40,714.50,713.76,"336,097","May 29, 2023"
26-05-2023,712.70,723.80,710.85,718.05,717.31,"570,018","May 26, 2023"
25-05-2023,710.75,719.45,706.75,712.75,712.02,"520,663","May 25, 2023"
24-05-2023,696.70,715.00,696.00,708.80,708.07,"820,829","May 24, 2023"
23-05-2023,703.10,703.10,694.20,699.25,698.53,"402,249","May 23, 2023"
22-05-2023,691.00,701.90,690.95,699.40,698.68,"286,310","May 22, 2023"
19-05-2023,700.85,705.00,691.60,701.00,700.28,"467,474","May 19, 2023"
