date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,233.95,237.35,231.00,231.70,231.70,"143,079","Aug 25, 2023"
24-08-2023,235.55,237.45,232.95,233.55,233.55,"99,590","Aug 24, 2023"
23-08-2023,233.75,238.40,233.00,234.40,234.40,"228,996","Aug 23, 2023"
22-08-2023,232.50,235.35,230.50,233.00,233.00,"157,848","Aug 22, 2023"
21-08-2023,235.90,239.95,229.10,229.90,229.90,"237,862","Aug 21, 2023"
18-08-2023,236.50,237.50,231.00,234.25,234.25,"129,184","Aug 18, 2023"
17-08-2023,238.90,240.30,231.00,233.55,233.55,"103,744","Aug 17, 2023"
16-08-2023,236.25,238.65,231.05,235.15,235.15,"144,690","Aug 16, 2023"
14-08-2023,243.00,243.90,233.80,234.85,234.85,"185,081","Aug 14, 2023"
11-08-2023,238.85,244.00,236.15,239.95,239.95,"371,825","Aug 11, 2023"
10-08-2023,252.10,257.05,229.05,233.45,233.45,"1,564,651","Aug 10, 2023"
09-08-2023,278.95,281.70,247.20,252.00,252.00,"1,103,777","Aug 09, 2023"
08-08-2023,278.70,281.80,276.50,277.60,277.60,"80,728","Aug 08, 2023"
07-08-2023,278.90,283.35,276.35,278.70,278.70,"125,602","Aug 07, 2023"
04-08-2023,279.90,285.00,275.00,276.30,276.30,"151,472","Aug 04, 2023"
03-08-2023,279.55,281.00,272.25,276.05,276.05,"116,784","Aug 03, 2023"
02-08-2023,282.30,283.20,265.30,276.50,276.50,"324,493","Aug 02, 2023"
01-08-2023,278.00,286.15,277.10,279.75,279.75,"559,340","Aug 01, 2023"
31-07-2023,263.40,279.80,261.50,274.60,274.60,"648,016","Jul 31, 2023"
28-07-2023,265.40,265.45,260.00,261.15,261.15,"94,562","Jul 28, 2023"
27-07-2023,265.50,268.35,262.00,264.15,264.15,"58,777","Jul 27, 2023"
26-07-2023,263.55,272.80,262.70,264.10,264.10,"92,901","Jul 26, 2023"
25-07-2023,267.85,269.35,262.35,263.50,263.50,"89,763","Jul 25, 2023"
24-07-2023,265.95,272.65,260.55,265.85,265.85,"189,597","Jul 24, 2023"
21-07-2023,269.80,270.10,263.10,264.55,264.55,"180,485","Jul 21, 2023"
20-07-2023,258.55,271.90,258.55,270.30,270.30,"625,549","Jul 20, 2023"
19-07-2023,255.00,261.85,255.00,257.25,257.25,"106,455","Jul 19, 2023"
18-07-2023,262.45,263.50,255.10,255.80,255.80,"97,980","Jul 18, 2023"
17-07-2023,262.00,265.05,260.00,261.15,261.15,"124,319","Jul 17, 2023"
14-07-2023,260.00,264.95,260.00,261.35,261.35,"103,029","Jul 14, 2023"
13-07-2023,263.95,269.90,255.80,260.00,260.00,"284,237","Jul 13, 2023"
12-07-2023,260.00,272.00,259.60,263.45,263.45,"557,158","Jul 12, 2023"
11-07-2023,262.30,266.15,257.15,260.65,260.65,"439,846","Jul 11, 2023"
10-07-2023,250.95,274.40,249.55,262.20,262.20,"2,446,425","Jul 10, 2023"
07-07-2023,241.30,249.10,240.00,247.65,247.65,"227,049","Jul 07, 2023"
06-07-2023,240.05,246.00,238.40,240.10,240.10,"240,782","Jul 06, 2023"
05-07-2023,235.95,240.10,235.00,238.30,238.30,"128,867","Jul 05, 2023"
04-07-2023,240.60,240.65,235.00,235.55,235.55,"90,737","Jul 04, 2023"
03-07-2023,236.95,244.00,236.00,238.40,238.40,"243,699","Jul 03, 2023"
30-06-2023,235.55,237.50,235.00,235.55,235.55,"60,586","Jun 30, 2023"
28-06-2023,234.70,234.70,234.70,234.70,234.70,-,"Jun 28, 2023"
27-06-2023,233.00,239.00,231.65,234.70,234.70,"95,118","Jun 27, 2023"
26-06-2023,228.75,232.00,226.60,230.65,230.65,"72,986","Jun 26, 2023"
23-06-2023,235.05,236.85,226.00,226.70,226.70,"186,105","Jun 23, 2023"
22-06-2023,238.85,241.85,234.45,236.60,236.60,"166,663","Jun 22, 2023"
21-06-2023,235.90,239.65,235.90,237.85,237.85,"122,070","Jun 21, 2023"
20-06-2023,236.95,238.45,233.30,235.30,235.30,"93,004","Jun 20, 2023"
19-06-2023,234.50,238.90,234.10,236.60,236.60,"141,142","Jun 19, 2023"
16-06-2023,232.25,235.00,231.40,233.75,233.75,"99,922","Jun 16, 2023"
15-06-2023,233.85,234.00,230.10,232.25,232.25,"140,235","Jun 15, 2023"
14-06-2023,236.40,236.40,233.00,233.50,233.50,"67,883","Jun 14, 2023"
13-06-2023,231.85,235.65,231.75,234.60,234.60,"85,849","Jun 13, 2023"
12-06-2023,235.95,236.65,229.20,230.85,230.85,"179,260","Jun 12, 2023"
09-06-2023,237.05,240.40,234.00,235.40,235.40,"178,104","Jun 09, 2023"
08-06-2023,242.80,244.85,235.85,237.00,237.00,"421,263","Jun 08, 2023"
07-06-2023,243.15,252.50,239.00,242.65,242.65,"634,090","Jun 07, 2023"
06-06-2023,245.15,245.15,239.70,242.70,242.70,"170,743","Jun 06, 2023"
05-06-2023,238.95,247.50,236.85,243.65,243.65,"548,621","Jun 05, 2023"
02-06-2023,237.15,242.00,235.15,236.85,236.85,"190,397","Jun 02, 2023"
01-06-2023,233.65,241.60,233.65,235.95,235.95,"313,495","Jun 01, 2023"
31-05-2023,233.65,236.40,232.35,234.55,234.55,"326,461","May 31, 2023"
30-05-2023,240.05,240.65,232.35,233.65,233.65,"195,993","May 30, 2023"
29-05-2023,237.45,242.90,233.25,240.00,240.00,"789,098","May 29, 2023"
26-05-2023,243.90,247.95,233.70,235.60,235.60,"402,573","May 26, 2023"
25-05-2023,223.05,245.70,222.80,243.35,243.35,"1,193,007","May 25, 2023"
24-05-2023,225.95,229.45,221.20,222.55,222.55,"187,740","May 24, 2023"
23-05-2023,229.35,233.00,225.35,226.90,226.90,"154,243","May 23, 2023"
22-05-2023,237.00,237.05,227.00,228.30,228.30,"289,185","May 22, 2023"
19-05-2023,244.00,247.20,235.05,237.05,237.05,"908,509","May 19, 2023"
18-05-2023,241.75,248.40,240.75,242.25,242.25,"493,361","May 18, 2023"
17-05-2023,241.40,245.75,236.05,242.15,242.15,"933,538","May 17, 2023"
16-05-2023,224.30,241.50,224.00,240.10,240.10,"1,477,466","May 16, 2023"
15-05-2023,226.20,227.25,223.05,223.75,223.75,"58,243","May 15, 2023"
12-05-2023,228.20,231.40,225.20,226.20,226.20,"155,282","May 12, 2023"
11-05-2023,228.60,231.30,226.50,228.50,228.50,"154,471","May 11, 2023"
10-05-2023,227.00,229.70,225.10,227.80,227.80,"162,500","May 10, 2023"
09-05-2023,223.00,231.30,222.00,227.10,227.10,"548,033","May 09, 2023"
08-05-2023,219.80,224.50,219.00,222.60,222.60,"135,621","May 08, 2023"
05-05-2023,223.25,224.85,217.70,219.15,219.15,"154,861","May 05, 2023"
04-05-2023,225.95,227.70,222.10,223.65,223.65,"93,492","May 04, 2023"
03-05-2023,220.65,228.10,220.65,225.60,225.60,"329,960","May 03, 2023"
02-05-2023,222.00,225.50,220.80,222.10,222.10,"308,813","May 02, 2023"
28-04-2023,222.70,231.00,221.55,223.05,223.05,"608,637","Apr 28, 2023"
27-04-2023,223.25,223.30,217.75,219.50,219.50,"127,961","Apr 27, 2023"
26-04-2023,217.75,225.10,216.95,222.15,222.15,"359,906","Apr 26, 2023"
25-04-2023,217.85,221.50,216.35,217.75,217.75,"117,447","Apr 25, 2023"
24-04-2023,221.00,221.95,216.05,217.05,217.05,"95,309","Apr 24, 2023"
21-04-2023,219.00,222.45,214.05,219.35,219.35,"193,644","Apr 21, 2023"
20-04-2023,216.50,222.95,216.50,219.15,219.15,"278,831","Apr 20, 2023"
19-04-2023,212.20,218.50,211.20,215.15,215.15,"156,764","Apr 19, 2023"
18-04-2023,212.05,215.05,210.00,212.00,212.00,"65,171","Apr 18, 2023"
17-04-2023,209.00,213.90,208.10,212.55,212.55,"108,515","Apr 17, 2023"
13-04-2023,209.40,214.10,204.10,210.00,210.00,"212,624","Apr 13, 2023"
12-04-2023,214.00,215.40,206.55,209.50,209.50,"132,157","Apr 12, 2023"
11-04-2023,203.95,216.00,201.80,213.85,213.85,"457,040","Apr 11, 2023"
10-04-2023,202.45,205.90,199.10,203.20,203.20,"159,977","Apr 10, 2023"
06-04-2023,198.85,204.70,197.65,202.45,202.45,"244,963","Apr 06, 2023"
05-04-2023,195.15,199.75,192.55,197.90,197.90,"157,451","Apr 05, 2023"
03-04-2023,188.45,196.25,188.45,195.15,195.15,"100,044","Apr 03, 2023"
31-03-2023,188.20,191.60,186.10,187.75,187.75,"93,260","Mar 31, 2023"
29-03-2023,183.45,192.55,180.70,186.40,186.40,"181,709","Mar 29, 2023"
28-03-2023,177.65,183.95,176.45,182.50,182.50,"78,600","Mar 28, 2023"
27-03-2023,182.10,183.20,174.25,177.70,177.70,"79,010","Mar 27, 2023"
24-03-2023,186.85,186.85,181.10,182.10,182.10,"32,974","Mar 24, 2023"
23-03-2023,189.00,189.00,185.10,185.95,185.95,"26,140","Mar 23, 2023"
22-03-2023,185.25,191.65,184.65,188.80,188.80,"99,178","Mar 22, 2023"
21-03-2023,184.90,186.45,182.85,184.60,184.60,"44,906","Mar 21, 2023"
20-03-2023,187.60,187.60,182.80,184.00,184.00,"55,284","Mar 20, 2023"
17-03-2023,186.05,189.95,186.05,187.65,187.65,"72,046","Mar 17, 2023"
16-03-2023,184.25,186.55,180.05,185.55,185.55,"76,846","Mar 16, 2023"
15-03-2023,188.85,190.00,185.10,185.95,185.95,"31,325","Mar 15, 2023"
14-03-2023,189.30,189.35,184.20,187.90,187.90,"65,906","Mar 14, 2023"
13-03-2023,196.05,196.20,187.15,188.40,188.40,"69,019","Mar 13, 2023"
10-03-2023,195.25,200.00,190.10,196.40,196.40,"142,034","Mar 10, 2023"
09-03-2023,195.95,199.45,192.15,195.30,195.30,"101,523","Mar 09, 2023"
08-03-2023,186.00,197.00,185.95,195.90,195.90,"179,039","Mar 08, 2023"
06-03-2023,190.45,192.00,188.10,188.80,188.80,"57,594","Mar 06, 2023"
03-03-2023,189.90,191.00,187.45,189.10,189.10,"62,920","Mar 03, 2023"
02-03-2023,191.05,193.75,188.30,189.30,189.30,"75,375","Mar 02, 2023"
01-03-2023,188.70,195.00,186.45,193.60,193.60,"129,554","Mar 01, 2023"
28-02-2023,186.50,188.95,185.20,187.90,187.90,"54,401","Feb 28, 2023"
27-02-2023,186.00,187.95,182.65,186.50,186.50,"99,612","Feb 27, 2023"
24-02-2023,184.00,190.00,183.05,186.35,186.35,"385,958","Feb 24, 2023"
23-02-2023,175.35,185.70,173.05,183.55,183.55,"191,582","Feb 23, 2023"
22-02-2023,179.90,179.90,175.00,176.05,176.05,"51,409","Feb 22, 2023"
21-02-2023,181.45,181.95,179.20,180.50,180.50,"40,435","Feb 21, 2023"
20-02-2023,183.00,184.20,179.95,180.50,180.50,"109,044","Feb 20, 2023"
17-02-2023,184.05,188.00,183.05,184.25,184.25,"67,885","Feb 17, 2023"
16-02-2023,181.70,187.90,180.30,185.95,185.95,"273,587","Feb 16, 2023"
15-02-2023,175.75,182.80,175.75,180.80,180.80,"163,688","Feb 15, 2023"
14-02-2023,179.50,179.70,176.20,178.45,178.45,"129,735","Feb 14, 2023"
13-02-2023,184.70,184.70,177.00,179.50,179.50,"118,075","Feb 13, 2023"
10-02-2023,185.40,187.00,182.05,182.55,182.55,"78,726","Feb 10, 2023"
09-02-2023,183.30,186.20,180.45,184.65,184.65,"104,610","Feb 09, 2023"
08-02-2023,184.20,185.70,181.00,182.95,182.95,"101,703","Feb 08, 2023"
07-02-2023,185.00,187.00,181.55,183.45,183.45,"125,179","Feb 07, 2023"
06-02-2023,186.95,188.70,185.85,186.80,186.80,"123,306","Feb 06, 2023"
03-02-2023,190.90,193.70,184.20,186.90,186.90,"138,229","Feb 03, 2023"
02-02-2023,198.20,198.60,190.25,190.85,190.85,"159,505","Feb 02, 2023"
01-02-2023,192.90,201.00,190.80,195.60,195.60,"260,557","Feb 01, 2023"
31-01-2023,190.00,192.00,186.50,189.05,189.05,"118,478","Jan 31, 2023"
30-01-2023,189.00,194.20,186.80,189.80,189.80,"140,436","Jan 30, 2023"
27-01-2023,203.70,205.65,185.55,189.00,189.00,"517,105","Jan 27, 2023"
25-01-2023,201.35,205.00,199.80,202.65,202.65,"70,519","Jan 25, 2023"
