date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,246.70,247.90,243.50,244.55,244.55,"153,626","Aug 25, 2023"
24-08-2023,246.10,249.45,246.10,246.75,246.75,"281,551","Aug 24, 2023"
23-08-2023,248.95,248.95,244.95,245.70,245.70,"179,160","Aug 23, 2023"
22-08-2023,247.95,249.50,246.15,247.75,247.75,"290,292","Aug 22, 2023"
21-08-2023,245.90,247.70,244.55,247.00,247.00,"229,581","Aug 21, 2023"
18-08-2023,246.90,247.65,244.00,245.30,245.30,"209,885","Aug 18, 2023"
17-08-2023,245.60,247.20,243.50,246.45,246.45,"310,278","Aug 17, 2023"
16-08-2023,246.90,246.90,244.05,245.25,245.25,"163,506","Aug 16, 2023"
14-08-2023,242.00,247.45,242.00,246.90,246.90,"378,849","Aug 14, 2023"
11-08-2023,249.00,249.05,236.05,243.30,243.30,"494,293","Aug 11, 2023"
10-08-2023,251.55,253.35,249.05,249.30,249.30,"374,124","Aug 10, 2023"
09-08-2023,249.95,252.10,248.15,251.60,251.60,"382,854","Aug 09, 2023"
08-08-2023,247.00,251.10,244.40,249.05,249.05,"438,268","Aug 08, 2023"
07-08-2023,244.40,246.90,242.85,245.80,245.80,"286,445","Aug 07, 2023"
04-08-2023,246.70,248.15,243.55,244.15,244.15,"244,741","Aug 04, 2023"
03-08-2023,247.95,247.95,244.40,245.55,245.55,"224,541","Aug 03, 2023"
02-08-2023,252.00,252.00,245.10,246.75,246.75,"578,664","Aug 02, 2023"
01-08-2023,252.10,253.00,250.00,251.95,251.95,"451,335","Aug 01, 2023"
31-07-2023,251.95,251.95,249.45,250.70,250.70,"262,380","Jul 31, 2023"
28-07-2023,249.90,251.65,247.70,250.95,250.95,"310,839","Jul 28, 2023"
27-07-2023,255.05,255.50,248.00,249.10,249.10,"483,018","Jul 27, 2023"
26-07-2023,252.00,258.80,252.00,254.25,254.25,"1,030,327","Jul 26, 2023"
25-07-2023,250.15,253.60,248.25,252.75,252.75,"374,742","Jul 25, 2023"
24-07-2023,249.15,251.65,247.40,250.25,250.25,"455,412","Jul 24, 2023"
21-07-2023,252.65,255.40,247.10,247.90,247.90,"801,886","Jul 21, 2023"
20-07-2023,246.50,253.90,246.50,252.65,252.65,"648,743","Jul 20, 2023"
19-07-2023,250.00,254.00,244.85,250.75,250.75,"2,398,354","Jul 19, 2023"
18-07-2023,247.75,249.80,245.00,248.25,248.25,"672,909","Jul 18, 2023"
17-07-2023,244.85,247.60,244.70,246.95,246.95,"606,496","Jul 17, 2023"
14-07-2023,240.80,244.75,240.05,244.10,244.10,"884,747","Jul 14, 2023"
13-07-2023,245.35,246.05,240.00,240.75,240.75,"403,229","Jul 13, 2023"
12-07-2023,243.00,245.45,243.00,244.25,244.25,"305,800","Jul 12, 2023"
11-07-2023,243.25,243.55,240.20,242.75,242.75,"344,568","Jul 11, 2023"
10-07-2023,241.45,241.45,237.70,240.30,240.30,"611,724","Jul 10, 2023"
07-07-2023,244.40,245.60,239.85,240.35,240.35,"352,256","Jul 07, 2023"
06-07-2023,244.95,245.15,243.05,243.70,243.70,"258,250","Jul 06, 2023"
05-07-2023,247.90,249.05,243.05,244.25,244.25,"617,120","Jul 05, 2023"
04-07-2023,249.50,249.75,246.10,247.00,247.00,"523,004","Jul 04, 2023"
03-07-2023,249.90,250.75,246.85,248.00,248.00,"764,891","Jul 03, 2023"
30-06-2023,248.50,249.35,245.80,247.95,247.95,"404,403","Jun 30, 2023"
28-06-2023,246.60,246.60,246.60,246.60,246.60,-,"Jun 28, 2023"
27-06-2023,249.50,250.40,245.25,246.60,246.60,"385,230","Jun 27, 2023"
26-06-2023,241.30,249.70,241.30,249.05,249.05,"893,049","Jun 26, 2023"
23-06-2023,242.75,242.90,238.05,241.30,241.30,"621,221","Jun 23, 2023"
22-06-2023,248.45,248.50,241.15,241.85,241.85,"444,529","Jun 22, 2023"
21-06-2023,249.55,256.80,245.70,247.20,247.20,"2,487,132","Jun 21, 2023"
20-06-2023,249.40,250.00,245.00,248.80,248.80,"564,897","Jun 20, 2023"
19-06-2023,250.00,251.70,247.65,248.45,248.45,"1,175,383","Jun 19, 2023"
16-06-2023,250.00,251.85,245.70,248.75,248.75,"896,242","Jun 16, 2023"
15-06-2023,251.50,254.40,248.20,249.75,249.75,"2,574,619","Jun 15, 2023"
14-06-2023,237.50,253.10,236.50,251.10,251.10,"4,909,983","Jun 14, 2023"
13-06-2023,234.25,237.85,234.00,237.05,237.05,"405,155","Jun 13, 2023"
12-06-2023,233.55,235.40,232.80,233.45,233.45,"327,956","Jun 12, 2023"
09-06-2023,238.75,240.00,233.35,234.35,234.35,"932,372","Jun 09, 2023"
08-06-2023,240.00,240.25,235.00,235.30,235.30,"457,251","Jun 08, 2023"
07-06-2023,231.00,239.90,230.05,239.40,239.40,"1,627,120","Jun 07, 2023"
06-06-2023,231.60,231.60,228.25,229.55,229.55,"589,985","Jun 06, 2023"
05-06-2023,232.95,233.30,229.85,230.40,230.40,"654,567","Jun 05, 2023"
02-06-2023,231.00,232.45,229.25,230.60,230.60,"549,455","Jun 02, 2023"
01-06-2023,231.65,232.25,229.95,230.25,230.25,"168,684","Jun 01, 2023"
31-05-2023,231.00,231.80,229.00,231.40,231.40,"199,333","May 31, 2023"
30-05-2023,230.00,231.50,229.25,229.90,229.90,"167,237","May 30, 2023"
29-05-2023,229.75,232.45,229.00,230.80,230.80,"421,495","May 29, 2023"
26-05-2023,227.65,229.65,227.00,228.85,228.85,"290,617","May 26, 2023"
25-05-2023,222.95,227.90,221.30,227.05,227.05,"588,678","May 25, 2023"
24-05-2023,222.50,223.20,221.20,221.85,221.85,"194,815","May 24, 2023"
23-05-2023,221.05,222.70,220.20,221.80,221.80,"112,934","May 23, 2023"
22-05-2023,220.95,222.00,220.25,221.05,221.05,"196,783","May 22, 2023"
19-05-2023,223.00,223.55,219.60,220.55,220.55,"257,433","May 19, 2023"
