date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,402.70,406.15,393.05,397.20,397.20,"3,666,295","Aug 25, 2023"
24-08-2023,406.00,407.50,402.50,402.95,402.95,"2,649,571","Aug 24, 2023"
23-08-2023,405.90,406.70,397.80,403.35,403.35,"2,382,771","Aug 23, 2023"
22-08-2023,402.50,405.80,402.05,403.45,403.45,"1,457,967","Aug 22, 2023"
21-08-2023,400.10,404.90,400.05,401.05,401.05,"2,165,760","Aug 21, 2023"
18-08-2023,400.50,403.95,398.55,400.10,400.10,"2,258,337","Aug 18, 2023"
17-08-2023,405.00,406.90,400.05,400.85,400.85,"2,366,804","Aug 17, 2023"
16-08-2023,399.50,405.95,397.00,404.00,404.00,"4,483,882","Aug 16, 2023"
14-08-2023,402.00,404.30,392.95,401.30,401.30,"2,278,599","Aug 14, 2023"
11-08-2023,406.00,411.15,400.00,401.00,401.00,"2,660,898","Aug 11, 2023"
10-08-2023,405.00,410.00,400.05,404.85,404.85,"4,251,488","Aug 10, 2023"
09-08-2023,395.40,405.95,394.70,404.05,404.05,"2,914,664","Aug 09, 2023"
08-08-2023,401.05,401.05,393.50,394.60,394.60,"2,044,427","Aug 08, 2023"
07-08-2023,402.95,403.80,398.25,398.90,398.90,"1,527,397","Aug 07, 2023"
04-08-2023,405.90,406.80,399.80,401.80,401.80,"1,964,183","Aug 04, 2023"
03-08-2023,401.95,404.25,397.80,402.85,402.85,"3,058,836","Aug 03, 2023"
02-08-2023,415.20,415.20,395.20,401.45,401.45,"5,305,077","Aug 02, 2023"
01-08-2023,415.50,423.30,414.00,415.20,415.20,"4,546,308","Aug 01, 2023"
31-07-2023,417.00,419.90,411.80,414.30,414.30,"4,150,452","Jul 31, 2023"
28-07-2023,421.00,421.50,410.30,413.40,413.40,"5,701,052","Jul 28, 2023"
28-07-2023,2.1 Dividend,,,,,,"Jul 28, 2023"
27-07-2023,423.95,426.90,414.40,419.30,417.20,"6,412,401","Jul 27, 2023"
26-07-2023,435.00,437.00,417.45,419.45,417.35,"34,156,947","Jul 26, 2023"
25-07-2023,359.60,382.80,359.15,374.40,372.52,"4,981,548","Jul 25, 2023"
24-07-2023,352.80,359.30,350.80,357.90,356.11,"2,351,604","Jul 24, 2023"
21-07-2023,344.00,354.00,342.30,351.20,349.44,"2,340,356","Jul 21, 2023"
20-07-2023,346.60,348.00,343.00,346.30,344.57,"1,682,403","Jul 20, 2023"
19-07-2023,341.50,347.00,339.05,344.85,343.12,"2,504,514","Jul 19, 2023"
18-07-2023,341.30,342.00,334.10,340.10,338.40,"2,338,051","Jul 18, 2023"
17-07-2023,337.85,341.90,334.60,340.15,338.45,"2,522,189","Jul 17, 2023"
14-07-2023,339.15,340.50,334.00,337.15,335.46,"1,927,332","Jul 14, 2023"
13-07-2023,337.00,342.70,332.60,336.25,334.57,"2,941,226","Jul 13, 2023"
12-07-2023,339.45,345.00,334.95,336.60,334.91,"3,550,488","Jul 12, 2023"
11-07-2023,328.00,340.00,327.30,338.25,336.56,"4,093,336","Jul 11, 2023"
10-07-2023,327.60,334.00,323.65,326.60,324.96,"4,201,151","Jul 10, 2023"
07-07-2023,314.00,326.80,309.60,324.35,322.73,"4,895,436","Jul 07, 2023"
06-07-2023,310.70,316.00,309.15,314.00,312.43,"1,734,582","Jul 06, 2023"
05-07-2023,309.35,311.95,307.00,310.70,309.14,"1,410,030","Jul 05, 2023"
04-07-2023,309.10,313.45,306.05,306.85,305.31,"2,072,565","Jul 04, 2023"
03-07-2023,314.00,316.40,306.15,307.50,305.96,"1,797,535","Jul 03, 2023"
30-06-2023,311.50,315.00,308.95,312.05,310.49,"2,828,119","Jun 30, 2023"
28-06-2023,305.50,305.50,305.50,305.50,303.97,-,"Jun 28, 2023"
