date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,784.75","1,880.00","1,771.00","1,864.90","1,864.90","71,725","Aug 25, 2023"
24-08-2023,"1,810.00","1,817.95","1,742.85","1,786.00","1,786.00","20,906","Aug 24, 2023"
23-08-2023,"1,776.00","1,796.00","1,728.00","1,792.95","1,792.95","26,181","Aug 23, 2023"
22-08-2023,"1,716.60","1,769.95","1,716.60","1,758.75","1,758.75","14,834","Aug 22, 2023"
21-08-2023,"1,745.00","1,764.90","1,708.10","1,716.60","1,716.60","13,001","Aug 21, 2023"
18-08-2023,"1,805.70","1,810.00","1,724.10","1,735.20","1,735.20","18,040","Aug 18, 2023"
17-08-2023,"1,787.95","1,837.45","1,780.55","1,794.95","1,794.95","16,496","Aug 17, 2023"
16-08-2023,"1,759.95","1,800.00","1,736.00","1,778.80","1,778.80","19,964","Aug 16, 2023"
14-08-2023,"1,768.00","1,787.95","1,702.40","1,765.10","1,765.10","18,676","Aug 14, 2023"
11-08-2023,"1,787.90","1,818.00","1,732.80","1,758.90","1,758.90","27,548","Aug 11, 2023"
10-08-2023,"1,845.05","1,855.80","1,769.90","1,784.75","1,784.75","51,648","Aug 10, 2023"
09-08-2023,"1,857.85","1,877.25","1,817.00","1,844.25","1,844.25","39,077","Aug 09, 2023"
08-08-2023,"1,675.00","1,894.20","1,671.25","1,864.35","1,864.35","287,767","Aug 08, 2023"
07-08-2023,"1,676.65","1,709.20","1,581.55","1,673.60","1,673.60","112,921","Aug 07, 2023"
04-08-2023,"1,700.00","1,779.00","1,686.00","1,754.60","1,754.60","48,540","Aug 04, 2023"
03-08-2023,"1,697.65","1,727.00","1,656.00","1,687.15","1,687.15","17,801","Aug 03, 2023"
02-08-2023,"1,712.05","1,728.90","1,650.00","1,697.65","1,697.65","22,298","Aug 02, 2023"
01-08-2023,"1,718.00","1,730.00","1,706.40","1,723.15","1,723.15","18,104","Aug 01, 2023"
31-07-2023,"1,662.55","1,719.90","1,635.20","1,702.05","1,702.05","36,415","Jul 31, 2023"
28-07-2023,"1,686.95","1,696.80","1,645.00","1,662.55","1,662.55","31,818","Jul 28, 2023"
28-07-2023,20 Dividend,,,,,,"Jul 28, 2023"
27-07-2023,"1,713.00","1,722.30","1,672.25","1,686.95","1,666.95","14,509","Jul 27, 2023"
27-07-2023,20 Dividend,,,,,,"Jul 27, 2023"
26-07-2023,"1,750.00","1,766.25","1,678.20","1,699.75","1,659.84","35,644","Jul 26, 2023"
25-07-2023,"1,630.00","1,816.70","1,630.00","1,728.40","1,687.81","289,662","Jul 25, 2023"
24-07-2023,"1,631.05","1,632.55","1,605.00","1,625.05","1,586.89","18,707","Jul 24, 2023"
21-07-2023,"1,625.00","1,639.75","1,605.05","1,614.15","1,576.25","18,740","Jul 21, 2023"
20-07-2023,"1,600.00","1,645.20","1,583.55","1,612.70","1,574.83","30,855","Jul 20, 2023"
19-07-2023,"1,575.00","1,615.00","1,573.50","1,599.65","1,562.09","26,523","Jul 19, 2023"
18-07-2023,"1,576.30","1,612.40","1,568.25","1,574.70","1,537.72","29,721","Jul 18, 2023"
17-07-2023,"1,635.00","1,669.45","1,535.45","1,576.30","1,539.28","61,902","Jul 17, 2023"
14-07-2023,"1,605.25","1,645.00","1,601.50","1,632.80","1,594.46","45,582","Jul 14, 2023"
13-07-2023,"1,570.00","1,645.00","1,550.05","1,582.65","1,545.49","84,617","Jul 13, 2023"
12-07-2023,"1,485.00","1,571.50","1,485.00","1,540.85","1,504.67","100,348","Jul 12, 2023"
11-07-2023,"1,451.70","1,457.00","1,439.00","1,450.45","1,416.39","15,350","Jul 11, 2023"
10-07-2023,"1,418.50","1,447.10","1,407.90","1,437.35","1,403.60","17,687","Jul 10, 2023"
07-07-2023,"1,424.90","1,427.00","1,395.05","1,400.70","1,367.81","12,006","Jul 07, 2023"
06-07-2023,"1,411.65","1,469.50","1,406.00","1,408.45","1,375.38","24,398","Jul 06, 2023"
05-07-2023,"1,416.50","1,429.90","1,410.00","1,411.65","1,378.50","7,509","Jul 05, 2023"
04-07-2023,"1,429.80","1,430.00","1,411.00","1,416.50","1,383.24","6,902","Jul 04, 2023"
03-07-2023,"1,446.80","1,448.00","1,405.00","1,417.75","1,384.46","8,348","Jul 03, 2023"
30-06-2023,"1,423.55","1,439.95","1,408.05","1,427.20","1,393.69","9,117","Jun 30, 2023"
28-06-2023,"1,427.15","1,427.15","1,427.15","1,427.15","1,393.64",-,"Jun 28, 2023"
27-06-2023,"1,415.85","1,436.85","1,412.05","1,427.15","1,393.64","11,362","Jun 27, 2023"
26-06-2023,"1,420.00","1,439.90","1,403.00","1,411.60","1,378.45","13,455","Jun 26, 2023"
23-06-2023,"1,421.00","1,442.90","1,401.05","1,419.35","1,386.02","37,967","Jun 23, 2023"
22-06-2023,"1,411.40","1,432.90","1,400.00","1,412.15","1,378.99","28,430","Jun 22, 2023"
21-06-2023,"1,468.85","1,473.00","1,344.70","1,405.10","1,372.10","159,936","Jun 21, 2023"
20-06-2023,"1,461.00","1,492.10","1,461.00","1,483.70","1,448.86","15,585","Jun 20, 2023"
19-06-2023,"1,469.95","1,477.75","1,455.00","1,459.20","1,424.93","9,460","Jun 19, 2023"
16-06-2023,"1,470.00","1,477.75","1,452.00","1,455.65","1,421.47","11,637","Jun 16, 2023"
15-06-2023,"1,479.90","1,482.95","1,450.00","1,461.50","1,427.18","19,309","Jun 15, 2023"
14-06-2023,"1,503.85","1,503.85","1,461.00","1,468.25","1,433.77","11,640","Jun 14, 2023"
13-06-2023,"1,492.95","1,511.95","1,475.00","1,487.35","1,452.42","10,368","Jun 13, 2023"
12-06-2023,"1,484.90","1,494.50","1,444.40","1,471.00","1,436.46","12,169","Jun 12, 2023"
09-06-2023,"1,505.00","1,517.15","1,461.20","1,464.35","1,429.96","13,499","Jun 09, 2023"
08-06-2023,"1,534.95","1,545.00","1,472.40","1,486.50","1,451.59","17,764","Jun 08, 2023"
07-06-2023,"1,522.00","1,531.80","1,511.85","1,522.05","1,486.31","16,141","Jun 07, 2023"
06-06-2023,"1,491.05","1,520.00","1,490.00","1,511.00","1,475.52","14,476","Jun 06, 2023"
05-06-2023,"1,494.70","1,514.80","1,477.05","1,505.85","1,470.49","17,057","Jun 05, 2023"
