date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,14.70,14.70,14.40,14.40,14.40,"2,403","Aug 25, 2023"
24-08-2023,14.30,14.70,13.60,14.70,14.70,"24,894","Aug 24, 2023"
23-08-2023,14.00,14.00,14.00,14.00,14.00,"2,861","Aug 23, 2023"
22-08-2023,13.05,13.35,13.05,13.35,13.35,"4,461","Aug 22, 2023"
21-08-2023,12.50,12.75,12.40,12.75,12.75,"20,189","Aug 21, 2023"
18-08-2023,11.70,12.70,11.70,12.15,12.15,"10,495","Aug 18, 2023"
17-08-2023,12.10,12.40,11.60,12.10,12.10,"25,918","Aug 17, 2023"
16-08-2023,12.50,12.80,12.20,12.20,12.20,"22,319","Aug 16, 2023"
14-08-2023,13.45,13.45,12.80,12.80,12.80,"15,071","Aug 14, 2023"
11-08-2023,14.50,14.50,13.45,13.45,13.45,"7,694","Aug 11, 2023"
10-08-2023,14.95,14.95,14.10,14.15,14.15,"62,428","Aug 10, 2023"
09-08-2023,15.25,15.35,14.10,14.90,14.90,"158,749","Aug 09, 2023"
08-08-2023,13.60,15.65,13.10,14.85,14.85,"772,330","Aug 08, 2023"
07-08-2023,10.90,13.05,10.90,13.05,13.05,"228,993","Aug 07, 2023"
04-08-2023,10.25,11.30,10.20,10.90,10.90,"77,840","Aug 04, 2023"
03-08-2023,10.15,10.50,10.15,10.30,10.30,"13,708","Aug 03, 2023"
02-08-2023,10.40,10.50,10.15,10.30,10.30,"15,032","Aug 02, 2023"
01-08-2023,10.85,10.85,10.20,10.40,10.40,"17,556","Aug 01, 2023"
31-07-2023,10.70,10.75,10.00,10.15,10.15,"43,308","Jul 31, 2023"
28-07-2023,10.00,10.15,9.65,9.80,9.80,"21,383","Jul 28, 2023"
27-07-2023,10.95,10.95,9.70,9.75,9.75,"28,628","Jul 27, 2023"
26-07-2023,9.45,10.45,9.35,10.40,10.40,"71,643","Jul 26, 2023"
25-07-2023,9.75,9.75,9.40,9.50,9.50,"4,103","Jul 25, 2023"
24-07-2023,9.90,9.90,9.35,9.70,9.70,"9,686","Jul 24, 2023"
21-07-2023,9.40,9.80,9.40,9.65,9.65,"15,386","Jul 21, 2023"
20-07-2023,9.60,9.60,9.40,9.40,9.40,"6,025","Jul 20, 2023"
19-07-2023,9.50,9.65,9.00,9.50,9.50,"24,666","Jul 19, 2023"
18-07-2023,9.30,9.50,9.10,9.30,9.30,"25,394","Jul 18, 2023"
17-07-2023,9.80,9.90,9.00,9.20,9.20,"45,816","Jul 17, 2023"
14-07-2023,9.65,10.30,9.20,9.65,9.65,"20,735","Jul 14, 2023"
13-07-2023,10.00,10.00,9.60,9.60,9.60,"3,641","Jul 13, 2023"
12-07-2023,9.60,9.95,9.50,9.75,9.75,"9,824","Jul 12, 2023"
11-07-2023,9.50,10.55,9.50,9.55,9.55,"21,046","Jul 11, 2023"
10-07-2023,9.80,10.70,9.35,9.90,9.90,"15,837","Jul 10, 2023"
07-07-2023,9.85,10.00,9.70,9.80,9.80,"25,752","Jul 07, 2023"
06-07-2023,10.20,10.20,9.60,9.80,9.80,"13,049","Jul 06, 2023"
05-07-2023,10.00,10.20,9.70,9.90,9.90,"12,009","Jul 05, 2023"
04-07-2023,10.05,10.40,9.55,9.80,9.80,"23,947","Jul 04, 2023"
03-07-2023,10.50,10.50,9.45,9.95,9.95,"18,179","Jul 03, 2023"
30-06-2023,9.35,10.00,9.25,9.75,9.75,"17,996","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,9.70,10.40,9.40,9.65,9.65,"11,559","Jun 27, 2023"
26-06-2023,10.45,10.45,9.60,9.85,9.85,"19,515","Jun 26, 2023"
23-06-2023,10.00,10.35,9.30,9.55,9.55,"22,238","Jun 23, 2023"
22-06-2023,10.30,10.85,9.55,10.00,10.00,"48,260","Jun 22, 2023"
21-06-2023,10.00,11.00,9.95,10.30,10.30,"83,475","Jun 21, 2023"
20-06-2023,9.60,10.05,9.10,10.00,10.00,"23,300","Jun 20, 2023"
19-06-2023,9.05,9.80,8.80,9.15,9.15,"15,127","Jun 19, 2023"
16-06-2023,9.75,9.75,9.25,9.45,9.45,"10,218","Jun 16, 2023"
15-06-2023,9.30,9.75,9.25,9.60,9.60,"8,497","Jun 15, 2023"
14-06-2023,9.80,9.80,9.00,9.55,9.55,"19,912","Jun 14, 2023"
13-06-2023,9.70,9.70,9.05,9.40,9.40,"6,653","Jun 13, 2023"
12-06-2023,9.80,9.80,8.70,9.00,9.00,"15,053","Jun 12, 2023"
09-06-2023,8.40,9.80,8.40,9.40,9.40,"8,242","Jun 09, 2023"
08-06-2023,9.00,9.50,8.65,9.15,9.15,"13,272","Jun 08, 2023"
07-06-2023,9.05,9.05,8.65,8.80,8.80,"15,079","Jun 07, 2023"
06-06-2023,8.45,9.15,8.45,9.00,9.00,"2,176","Jun 06, 2023"
05-06-2023,8.75,8.90,8.50,8.75,8.75,"6,301","Jun 05, 2023"
02-06-2023,8.60,8.90,8.40,8.50,8.50,"7,735","Jun 02, 2023"
01-06-2023,8.60,8.90,8.50,8.55,8.55,"3,604","Jun 01, 2023"
31-05-2023,8.55,8.75,8.45,8.60,8.60,"2,110","May 31, 2023"
30-05-2023,8.70,8.70,8.50,8.55,8.55,"6,537","May 30, 2023"
29-05-2023,8.75,9.10,8.50,8.70,8.70,"4,330","May 29, 2023"
26-05-2023,8.90,9.10,8.45,8.75,8.75,"9,239","May 26, 2023"
25-05-2023,8.80,8.80,8.45,8.75,8.75,"1,781","May 25, 2023"
24-05-2023,8.60,8.70,8.30,8.65,8.65,"1,842","May 24, 2023"
23-05-2023,8.55,9.05,8.35,8.50,8.50,"14,521","May 23, 2023"
22-05-2023,8.90,9.15,8.50,8.70,8.70,"7,007","May 22, 2023"
19-05-2023,9.05,9.05,8.65,8.90,8.90,"5,384","May 19, 2023"
18-05-2023,9.25,9.40,8.90,9.00,9.00,"2,295","May 18, 2023"
17-05-2023,9.45,9.45,9.25,9.25,9.25,"3,120","May 17, 2023"
16-05-2023,9.00,9.25,9.00,9.25,9.25,"2,921","May 16, 2023"
15-05-2023,9.35,9.40,9.05,9.15,9.15,"2,041","May 15, 2023"
12-05-2023,9.90,9.90,9.35,9.35,9.35,"1,881","May 12, 2023"
11-05-2023,9.95,9.95,9.35,9.80,9.80,"1,888","May 11, 2023"
10-05-2023,10.00,10.00,9.75,9.85,9.85,"3,271","May 10, 2023"
09-05-2023,9.90,9.90,9.50,9.85,9.85,"10,770","May 09, 2023"
08-05-2023,9.00,9.45,9.00,9.45,9.45,"2,514","May 08, 2023"
05-05-2023,9.05,9.30,9.00,9.00,9.00,"8,551","May 05, 2023"
04-05-2023,9.35,9.65,9.00,9.15,9.15,"5,013","May 04, 2023"
03-05-2023,9.40,9.50,9.35,9.40,9.40,"2,654","May 03, 2023"
02-05-2023,9.85,9.85,9.35,9.50,9.50,"2,124","May 02, 2023"
28-04-2023,9.95,9.95,9.40,9.85,9.85,"3,084","Apr 28, 2023"
27-04-2023,10.00,10.00,9.80,9.90,9.90,"1,275","Apr 27, 2023"
26-04-2023,9.65,10.50,9.65,9.75,9.75,"1,617","Apr 26, 2023"
25-04-2023,10.50,10.50,9.65,10.05,10.05,"9,173","Apr 25, 2023"
24-04-2023,10.70,10.70,9.95,10.00,10.00,"2,407","Apr 24, 2023"
21-04-2023,10.95,10.95,10.15,10.20,10.20,"4,612","Apr 21, 2023"
20-04-2023,9.80,10.80,9.80,10.65,10.65,"13,349","Apr 20, 2023"
19-04-2023,9.95,10.35,9.70,10.30,10.30,"24,696","Apr 19, 2023"
18-04-2023,10.20,10.20,9.80,9.90,9.90,"7,709","Apr 18, 2023"
17-04-2023,10.70,10.75,10.10,10.20,10.20,"11,153","Apr 17, 2023"
13-04-2023,10.00,10.25,9.35,10.25,10.25,"39,077","Apr 13, 2023"
12-04-2023,9.95,9.95,9.15,9.80,9.80,"34,346","Apr 12, 2023"
11-04-2023,9.50,9.50,9.45,9.50,9.50,"22,846","Apr 11, 2023"
10-04-2023,9.00,9.05,8.70,9.05,9.05,"7,011","Apr 10, 2023"
06-04-2023,8.65,8.65,8.65,8.65,8.65,"5,695","Apr 06, 2023"
05-04-2023,7.20,7.90,7.20,7.90,7.90,"19,656","Apr 05, 2023"
03-04-2023,7.00,7.25,6.65,7.20,7.20,"5,117","Apr 03, 2023"
31-03-2023,6.50,7.55,6.50,6.60,6.60,"7,671","Mar 31, 2023"
29-03-2023,6.80,7.45,6.80,7.10,7.10,"1,819","Mar 29, 2023"
28-03-2023,7.00,7.25,6.60,6.80,6.80,"2,571","Mar 28, 2023"
27-03-2023,7.60,7.60,7.05,7.20,7.20,"11,649","Mar 27, 2023"
24-03-2023,7.35,8.20,7.35,7.60,7.60,"3,428","Mar 24, 2023"
23-03-2023,7.40,8.60,7.40,8.00,8.00,"14,957","Mar 23, 2023"
22-03-2023,8.15,8.45,7.65,8.05,8.05,"1,183","Mar 22, 2023"
21-03-2023,8.35,8.40,7.90,8.15,8.15,"2,594","Mar 21, 2023"
20-03-2023,8.20,8.85,8.20,8.20,8.20,"2,621","Mar 20, 2023"
17-03-2023,8.50,8.65,8.10,8.45,8.45,"2,549","Mar 17, 2023"
16-03-2023,8.50,8.60,8.30,8.55,8.55,"1,671","Mar 16, 2023"
15-03-2023,8.80,8.90,8.40,8.60,8.60,"5,516","Mar 15, 2023"
14-03-2023,8.80,9.20,8.50,8.60,8.60,"8,436","Mar 14, 2023"
13-03-2023,8.55,9.15,8.20,8.40,8.40,"12,899","Mar 13, 2023"
10-03-2023,8.65,9.00,8.50,8.85,8.85,"1,739","Mar 10, 2023"
09-03-2023,8.90,8.95,8.60,8.60,8.60,"5,907","Mar 09, 2023"
08-03-2023,8.95,9.25,8.40,8.75,8.75,"5,229","Mar 08, 2023"
06-03-2023,9.00,9.35,8.70,8.95,8.95,"16,571","Mar 06, 2023"
03-03-2023,8.90,9.00,8.30,8.60,8.60,"8,885","Mar 03, 2023"
02-03-2023,8.90,9.00,8.80,8.80,8.80,"1,591","Mar 02, 2023"
01-03-2023,8.65,8.95,8.60,8.90,8.90,"5,787","Mar 01, 2023"
28-02-2023,8.70,9.00,8.60,8.60,8.60,"2,047","Feb 28, 2023"
27-02-2023,9.00,9.05,8.60,8.65,8.65,"5,048","Feb 27, 2023"
24-02-2023,8.90,8.95,8.75,8.85,8.85,"8,475","Feb 24, 2023"
23-02-2023,8.55,9.20,8.50,8.75,8.75,"4,687","Feb 23, 2023"
22-02-2023,8.90,9.10,8.60,8.90,8.90,"2,569","Feb 22, 2023"
21-02-2023,9.20,9.20,8.60,8.95,8.95,"14,116","Feb 21, 2023"
20-02-2023,8.95,9.10,8.45,8.55,8.55,"8,204","Feb 20, 2023"
17-02-2023,8.95,9.30,8.25,8.65,8.65,"4,586","Feb 17, 2023"
16-02-2023,8.55,9.20,8.55,8.70,8.70,"3,825","Feb 16, 2023"
15-02-2023,8.40,9.25,8.40,8.55,8.55,"6,110","Feb 15, 2023"
14-02-2023,9.00,9.30,8.65,8.75,8.75,"4,118","Feb 14, 2023"
13-02-2023,8.90,9.20,8.55,9.00,9.00,"29,935","Feb 13, 2023"
10-02-2023,9.20,9.20,8.60,9.00,9.00,"2,473","Feb 10, 2023"
09-02-2023,8.85,9.10,8.30,8.80,8.80,"7,061","Feb 09, 2023"
08-02-2023,9.25,9.25,8.60,9.10,9.10,"96,268","Feb 08, 2023"
07-02-2023,9.00,9.40,8.25,8.80,8.80,"22,969","Feb 07, 2023"
06-02-2023,9.40,9.40,8.80,8.85,8.85,"38,293","Feb 06, 2023"
03-02-2023,9.30,9.35,8.95,9.20,9.20,"17,801","Feb 03, 2023"
02-02-2023,9.10,9.35,9.00,9.10,9.10,"4,644","Feb 02, 2023"
01-02-2023,9.45,9.50,9.05,9.10,9.10,"27,081","Feb 01, 2023"
31-01-2023,9.35,9.35,8.80,9.20,9.20,"22,551","Jan 31, 2023"
30-01-2023,9.45,9.80,9.00,9.05,9.05,"44,815","Jan 30, 2023"
27-01-2023,10.15,10.15,9.30,9.45,9.45,"16,534","Jan 27, 2023"
25-01-2023,10.20,10.35,9.60,9.75,9.75,"22,315","Jan 25, 2023"
24-01-2023,10.50,10.50,10.00,10.10,10.10,"8,392","Jan 24, 2023"
23-01-2023,10.50,10.55,9.85,10.40,10.40,"28,436","Jan 23, 2023"
20-01-2023,10.90,11.00,10.30,10.35,10.35,"55,121","Jan 20, 2023"
19-01-2023,10.60,10.90,10.50,10.80,10.80,"8,577","Jan 19, 2023"
18-01-2023,10.60,10.95,10.40,10.65,10.65,"17,851","Jan 18, 2023"
17-01-2023,10.60,11.10,10.60,10.70,10.70,"15,457","Jan 17, 2023"
16-01-2023,10.80,11.05,10.55,10.80,10.80,"13,255","Jan 16, 2023"
13-01-2023,11.05,11.45,10.80,10.85,10.85,"16,358","Jan 13, 2023"
12-01-2023,10.95,11.10,10.75,11.05,11.05,"8,820","Jan 12, 2023"
11-01-2023,11.20,11.40,10.65,10.95,10.95,"11,019","Jan 11, 2023"
10-01-2023,10.85,11.15,10.65,11.10,11.10,"7,647","Jan 10, 2023"
09-01-2023,10.75,11.10,10.30,10.65,10.65,"25,684","Jan 09, 2023"
06-01-2023,10.40,10.70,10.40,10.60,10.60,"3,569","Jan 06, 2023"
05-01-2023,10.90,10.90,10.35,10.50,10.50,"79,548","Jan 05, 2023"
04-01-2023,10.80,10.80,10.60,10.65,10.65,"3,189","Jan 04, 2023"
03-01-2023,10.45,11.15,10.45,10.80,10.80,"6,906","Jan 03, 2023"
02-01-2023,10.95,10.95,10.65,10.75,10.75,"11,548","Jan 02, 2023"
30-12-2022,10.90,11.40,10.75,10.90,10.90,"46,470","Dec 30, 2022"
29-12-2022,10.65,10.90,10.65,10.90,10.90,"3,831","Dec 29, 2022"
28-12-2022,10.80,10.80,10.15,10.40,10.40,"33,867","Dec 28, 2022"
27-12-2022,10.55,10.70,10.10,10.30,10.30,"12,375","Dec 27, 2022"
26-12-2022,10.20,10.60,9.85,10.20,10.20,"13,564","Dec 26, 2022"
23-12-2022,10.20,10.80,10.20,10.20,10.20,"14,486","Dec 23, 2022"
22-12-2022,11.30,11.30,10.55,10.70,10.70,"9,992","Dec 22, 2022"
21-12-2022,10.85,11.35,10.85,11.10,11.10,"9,062","Dec 21, 2022"
20-12-2022,11.40,11.55,11.00,11.20,11.20,"27,390","Dec 20, 2022"
19-12-2022,11.20,11.50,11.10,11.40,11.40,"7,983","Dec 19, 2022"
16-12-2022,11.40,11.60,11.00,11.20,11.20,"9,798","Dec 16, 2022"
15-12-2022,11.70,11.70,11.15,11.40,11.40,"8,798","Dec 15, 2022"
14-12-2022,11.80,11.80,11.15,11.60,11.60,"13,042","Dec 14, 2022"
13-12-2022,11.95,11.95,11.15,11.40,11.40,"21,591","Dec 13, 2022"
12-12-2022,12.20,12.35,11.35,11.70,11.70,"35,363","Dec 12, 2022"
09-12-2022,11.60,11.80,11.25,11.80,11.80,"17,770","Dec 09, 2022"
08-12-2022,11.25,11.25,11.25,11.25,11.25,"11,519","Dec 08, 2022"
07-12-2022,10.45,10.75,10.15,10.75,10.75,"32,990","Dec 07, 2022"
06-12-2022,9.85,10.50,9.85,10.25,10.25,"3,624","Dec 06, 2022"
05-12-2022,10.10,10.35,9.85,10.30,10.30,"6,155","Dec 05, 2022"
02-12-2022,10.25,10.25,9.95,10.10,10.10,"15,977","Dec 02, 2022"
01-12-2022,10.15,10.40,9.80,10.25,10.25,"11,550","Dec 01, 2022"
30-11-2022,10.35,10.35,9.80,10.05,10.05,"10,444","Nov 30, 2022"
29-11-2022,10.00,10.40,9.90,10.25,10.25,"5,542","Nov 29, 2022"
28-11-2022,10.50,10.50,10.00,10.25,10.25,"12,088","Nov 28, 2022"
25-11-2022,10.35,10.65,10.20,10.50,10.50,"4,761","Nov 25, 2022"
24-11-2022,10.65,10.65,10.20,10.50,10.50,"6,957","Nov 24, 2022"
23-11-2022,10.20,10.75,10.20,10.35,10.35,"4,667","Nov 23, 2022"
22-11-2022,10.40,10.70,10.25,10.40,10.40,"4,694","Nov 22, 2022"
21-11-2022,10.50,10.85,10.05,10.60,10.60,"5,951","Nov 21, 2022"
18-11-2022,10.65,10.65,10.20,10.50,10.50,"10,148","Nov 18, 2022"
17-11-2022,10.45,10.70,10.05,10.15,10.15,"10,959","Nov 17, 2022"
16-11-2022,10.45,10.60,10.00,10.40,10.40,"3,771","Nov 16, 2022"
15-11-2022,10.90,10.95,10.40,10.45,10.45,"12,398","Nov 15, 2022"
14-11-2022,10.95,11.10,10.35,10.80,10.80,"8,048","Nov 14, 2022"
11-11-2022,11.15,11.25,10.65,10.75,10.75,"2,762","Nov 11, 2022"
10-11-2022,11.00,11.65,10.95,11.15,11.15,"14,038","Nov 10, 2022"
09-11-2022,11.50,11.90,11.45,11.50,11.50,"8,991","Nov 09, 2022"
07-11-2022,12.75,12.75,11.90,12.00,12.00,"16,335","Nov 07, 2022"
04-11-2022,13.00,13.00,12.45,12.50,12.50,"8,724","Nov 04, 2022"
03-11-2022,12.25,13.30,12.15,13.10,13.10,"9,849","Nov 03, 2022"
02-11-2022,13.60,13.80,12.50,12.75,12.75,"40,750","Nov 02, 2022"
01-11-2022,13.90,14.80,12.30,13.60,13.60,"83,642","Nov 01, 2022"
31-10-2022,14.70,15.40,13.35,13.50,13.50,"90,783","Oct 31, 2022"
28-10-2022,12.50,14.45,12.50,14.45,14.45,"73,097","Oct 28, 2022"
27-10-2022,14.05,14.50,13.15,13.15,13.15,"89,069","Oct 27, 2022"
25-10-2022,16.45,17.10,14.35,14.60,14.60,"332,830","Oct 25, 2022"
24-10-2022,14.40,15.55,14.40,15.55,15.55,"220,856","Oct 24, 2022"
21-10-2022,13.95,14.15,13.95,14.15,14.15,"47,851","Oct 21, 2022"
20-10-2022,9.85,11.80,9.50,11.80,11.80,"74,246","Oct 20, 2022"
19-10-2022,10.40,10.70,9.30,9.85,9.85,"25,322","Oct 19, 2022"
18-10-2022,9.70,10.90,8.50,10.25,10.25,"26,411","Oct 18, 2022"
17-10-2022,9.40,9.85,9.00,9.30,9.30,"24,022","Oct 17, 2022"
14-10-2022,10.05,10.15,9.70,9.85,9.85,"10,599","Oct 14, 2022"
13-10-2022,10.15,10.25,9.65,10.05,10.05,"52,277","Oct 13, 2022"
12-10-2022,9.90,10.25,9.70,9.90,9.90,"13,211","Oct 12, 2022"
11-10-2022,10.20,10.25,9.90,9.90,9.90,"6,510","Oct 11, 2022"
10-10-2022,10.40,10.40,9.70,10.10,10.10,"10,197","Oct 10, 2022"
07-10-2022,10.00,10.25,9.75,10.10,10.10,"17,489","Oct 07, 2022"
06-10-2022,9.75,10.40,9.75,10.05,10.05,"18,028","Oct 06, 2022"
04-10-2022,10.35,10.50,9.75,9.95,9.95,"16,629","Oct 04, 2022"
03-10-2022,9.90,11.10,9.90,10.05,10.05,"31,106","Oct 03, 2022"
30-09-2022,10.55,10.55,10.10,10.20,10.20,"14,736","Sep 30, 2022"
29-09-2022,10.05,10.55,10.00,10.40,10.40,"6,747","Sep 29, 2022"
28-09-2022,10.70,10.70,9.95,10.15,10.15,"10,665","Sep 28, 2022"
27-09-2022,10.50,10.65,9.80,10.20,10.20,"13,025","Sep 27, 2022"
26-09-2022,9.90,10.85,9.75,10.30,10.30,"10,722","Sep 26, 2022"
23-09-2022,10.45,10.95,10.10,10.40,10.40,"17,688","Sep 23, 2022"
22-09-2022,11.05,11.05,9.85,10.65,10.65,"29,348","Sep 22, 2022"
21-09-2022,11.25,11.25,10.50,10.85,10.85,"16,096","Sep 21, 2022"
