date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,190.00","1,197.20","1,178.45","1,189.50","1,189.50","1,212,435","Aug 25, 2023"
24-08-2023,"1,206.20","1,216.50","1,196.70","1,199.10","1,199.10","1,218,843","Aug 24, 2023"
23-08-2023,"1,213.20","1,218.85","1,199.20","1,201.00","1,201.00","1,569,035","Aug 23, 2023"
22-08-2023,"1,218.85","1,223.00","1,209.25","1,213.20","1,213.20","1,003,208","Aug 22, 2023"
21-08-2023,"1,205.00","1,224.00","1,204.35","1,218.85","1,218.85","1,175,945","Aug 21, 2023"
18-08-2023,"1,225.95","1,225.95","1,205.15","1,210.80","1,210.80","1,794,430","Aug 18, 2023"
17-08-2023,"1,225.00","1,233.90","1,214.55","1,231.75","1,231.75","2,636,308","Aug 17, 2023"
16-08-2023,"1,221.00","1,239.00","1,220.00","1,227.85","1,227.85","2,341,456","Aug 16, 2023"
14-08-2023,"1,212.10","1,221.20","1,203.00","1,219.75","1,219.75","1,842,625","Aug 14, 2023"
11-08-2023,"1,235.80","1,250.35","1,215.30","1,220.45","1,220.45","2,933,959","Aug 11, 2023"
10-08-2023,"1,220.00","1,239.20","1,215.60","1,235.80","1,235.80","3,715,680","Aug 10, 2023"
09-08-2023,"1,206.95","1,236.50","1,200.20","1,228.00","1,228.00","3,396,984","Aug 09, 2023"
08-08-2023,"1,186.00","1,208.90","1,175.10","1,205.40","1,205.40","5,137,402","Aug 08, 2023"
07-08-2023,"1,180.00","1,192.85","1,172.10","1,183.65","1,183.65","1,694,290","Aug 07, 2023"
04-08-2023,"1,153.95","1,181.85","1,142.80","1,175.20","1,175.20","3,580,506","Aug 04, 2023"
03-08-2023,"1,140.00","1,146.95","1,121.30","1,142.80","1,142.80","2,348,236","Aug 03, 2023"
02-08-2023,"1,143.00","1,152.60","1,125.60","1,145.65","1,145.65","2,357,217","Aug 02, 2023"
01-08-2023,"1,120.00","1,154.50","1,119.90","1,143.50","1,143.50","3,805,214","Aug 01, 2023"
31-07-2023,"1,095.00","1,119.00","1,087.15","1,115.50","1,115.50","4,766,331","Jul 31, 2023"
28-07-2023,"1,100.00","1,100.00","1,085.05","1,091.05","1,091.05","4,244,321","Jul 28, 2023"
27-07-2023,"1,111.00","1,125.00","1,082.30","1,099.90","1,099.90","17,594,818","Jul 27, 2023"
26-07-2023,"1,158.00","1,167.00","1,139.45","1,143.20","1,143.20","3,170,213","Jul 26, 2023"
25-07-2023,"1,164.00","1,164.70","1,145.00","1,156.50","1,156.50","2,557,865","Jul 25, 2023"
24-07-2023,"1,196.50","1,203.95","1,155.25","1,161.85","1,161.85","2,669,308","Jul 24, 2023"
21-07-2023,"1,199.50","1,217.95","1,181.00","1,195.10","1,195.10","5,032,086","Jul 21, 2023"
21-07-2023,32 Dividend,,,,,,"Jul 21, 2023"
20-07-2023,"1,245.00","1,255.50","1,235.60","1,252.95","1,220.95","2,000,345","Jul 20, 2023"
20-07-2023,32 Dividend,,,,,,"Jul 20, 2023"
19-07-2023,"1,255.00","1,261.70","1,231.10","1,244.70","1,181.73","2,293,881","Jul 19, 2023"
18-07-2023,"1,243.00","1,258.40","1,225.00","1,247.55","1,184.43","2,666,872","Jul 18, 2023"
17-07-2023,"1,235.90","1,270.75","1,220.65","1,242.40","1,179.54","4,880,073","Jul 17, 2023"
14-07-2023,"1,183.95","1,232.00","1,183.00","1,228.65","1,166.49","6,033,106","Jul 14, 2023"
13-07-2023,"1,159.40","1,191.90","1,153.50","1,175.25","1,115.79","3,215,610","Jul 13, 2023"
12-07-2023,"1,166.00","1,169.00","1,153.45","1,159.40","1,100.74","1,274,203","Jul 12, 2023"
11-07-2023,"1,154.65","1,166.20","1,145.10","1,161.45","1,102.69","1,212,566","Jul 11, 2023"
10-07-2023,"1,159.95","1,159.95","1,135.60","1,147.15","1,089.11","2,088,505","Jul 10, 2023"
07-07-2023,"1,170.00","1,184.30","1,151.25","1,156.00","1,097.52","2,261,102","Jul 07, 2023"
06-07-2023,"1,175.00","1,184.00","1,162.00","1,179.25","1,119.59","2,520,085","Jul 06, 2023"
05-07-2023,"1,150.80","1,184.95","1,146.50","1,175.00","1,115.55","3,732,838","Jul 05, 2023"
04-07-2023,"1,123.55","1,156.00","1,120.10","1,148.00","1,089.92","2,773,593","Jul 04, 2023"
03-07-2023,"1,136.00","1,136.90","1,115.10","1,121.45","1,064.71","1,899,656","Jul 03, 2023"
30-06-2023,"1,114.65","1,132.50","1,110.60","1,130.85","1,073.64","2,478,834","Jun 30, 2023"
28-06-2023,"1,119.70","1,119.70","1,119.70","1,119.70","1,063.05",-,"Jun 28, 2023"
27-06-2023,"1,109.00","1,121.00","1,106.70","1,119.70","1,063.05","1,227,245","Jun 27, 2023"
26-06-2023,"1,112.20","1,126.00","1,108.30","1,111.90","1,055.65","1,432,154","Jun 26, 2023"
23-06-2023,"1,114.00","1,118.00","1,094.05","1,115.50","1,059.06","3,492,348","Jun 23, 2023"
22-06-2023,"1,116.90","1,126.25","1,110.40","1,119.05","1,062.43","2,360,795","Jun 22, 2023"
21-06-2023,"1,107.35","1,120.75","1,104.10","1,119.90","1,063.24","1,985,965","Jun 21, 2023"
20-06-2023,"1,093.60","1,110.95","1,088.20","1,107.35","1,051.33","3,318,866","Jun 20, 2023"
19-06-2023,"1,079.00","1,095.80","1,074.05","1,093.60","1,038.27","2,188,899","Jun 19, 2023"
16-06-2023,"1,083.50","1,086.95","1,071.45","1,077.20","1,022.70","4,392,418","Jun 16, 2023"
15-06-2023,"1,078.95","1,083.50","1,069.35","1,081.50","1,026.78","1,389,325","Jun 15, 2023"
14-06-2023,"1,080.00","1,084.95","1,071.05","1,077.60","1,023.08","1,321,534","Jun 14, 2023"
13-06-2023,"1,079.55","1,087.90","1,075.40","1,079.40","1,024.79","1,846,534","Jun 13, 2023"
12-06-2023,"1,066.00","1,079.00","1,062.15","1,074.75","1,020.38","1,767,945","Jun 12, 2023"
09-06-2023,"1,079.00","1,079.00","1,060.10","1,063.05","1,009.27","2,782,697","Jun 09, 2023"
08-06-2023,"1,101.00","1,101.50","1,069.00","1,071.30","1,017.10","4,054,486","Jun 08, 2023"
07-06-2023,"1,095.00","1,099.00","1,084.20","1,095.70","1,040.27","2,086,377","Jun 07, 2023"
06-06-2023,"1,100.00","1,102.00","1,071.55","1,086.25","1,031.29","3,284,841","Jun 06, 2023"
05-06-2023,"1,124.10","1,134.55","1,107.50","1,109.35","1,053.23","1,754,521","Jun 05, 2023"
02-06-2023,"1,128.00","1,139.20","1,117.60","1,123.10","1,066.28","1,907,589","Jun 02, 2023"
01-06-2023,"1,122.00","1,136.70","1,117.60","1,120.80","1,064.10","1,412,280","Jun 01, 2023"
31-05-2023,"1,098.40","1,127.45","1,096.00","1,115.55","1,059.11","7,599,886","May 31, 2023"
30-05-2023,"1,115.00","1,120.80","1,095.00","1,098.40","1,042.83","2,822,485","May 30, 2023"
29-05-2023,"1,128.05","1,128.05","1,110.10","1,114.05","1,057.69","1,432,241","May 29, 2023"
26-05-2023,"1,099.00","1,120.40","1,099.00","1,114.75","1,058.35","2,104,054","May 26, 2023"
25-05-2023,"1,097.00","1,100.00","1,081.55","1,098.10","1,042.54","1,200,289","May 25, 2023"
24-05-2023,"1,085.25","1,103.35","1,085.00","1,098.75","1,043.16","1,782,245","May 24, 2023"
23-05-2023,"1,104.00","1,119.20","1,086.40","1,090.50","1,035.33","1,414,119","May 23, 2023"
22-05-2023,"1,072.00","1,110.45","1,070.10","1,104.45","1,048.57","2,996,190","May 22, 2023"
19-05-2023,"1,056.55","1,078.75","1,049.00","1,072.15","1,017.91","2,624,323","May 19, 2023"
18-05-2023,"1,059.00","1,059.95","1,045.05","1,048.70",995.64,"909,923","May 18, 2023"
17-05-2023,"1,058.00","1,066.40","1,039.00","1,054.15","1,000.82","2,803,566","May 17, 2023"
16-05-2023,"1,069.90","1,071.80","1,053.00","1,057.20","1,003.71","1,343,911","May 16, 2023"
15-05-2023,"1,046.00","1,069.90","1,042.00","1,064.45","1,010.60","2,122,222","May 15, 2023"
12-05-2023,"1,044.05","1,053.50","1,034.05","1,046.35",993.41,"1,140,016","May 12, 2023"
11-05-2023,"1,055.00","1,058.80","1,042.95","1,044.05",991.23,"1,451,786","May 11, 2023"
10-05-2023,"1,048.00","1,051.00","1,038.15","1,046.15",993.22,"1,186,977","May 10, 2023"
09-05-2023,"1,048.40","1,051.45","1,039.85","1,047.80",994.79,"1,747,630","May 09, 2023"
08-05-2023,"1,040.95","1,047.00","1,035.30","1,043.35",990.56,"1,487,285","May 08, 2023"
05-05-2023,"1,046.00","1,050.70","1,031.55","1,036.40",983.97,"1,222,282","May 05, 2023"
04-05-2023,"1,033.00","1,047.05","1,028.85","1,045.45",992.56,"1,744,298","May 04, 2023"
03-05-2023,"1,039.90","1,050.75","1,038.25","1,039.60",987.00,"2,217,136","May 03, 2023"
02-05-2023,"1,020.40","1,065.80","1,020.40","1,053.45","1,000.15","4,762,884","May 02, 2023"
28-04-2023,981.95,"1,026.70",981.05,"1,023.70",971.91,"5,146,250","Apr 28, 2023"
27-04-2023,999.00,"1,008.65",993.00,"1,003.15",952.40,"3,543,950","Apr 27, 2023"
26-04-2023,997.00,"1,002.50",992.70,996.30,945.90,"1,589,700","Apr 26, 2023"
25-04-2023,"1,006.00","1,006.10",994.40,997.00,946.56,"1,984,203","Apr 25, 2023"
24-04-2023,"1,002.00","1,007.45",991.00,"1,006.10",955.20,"1,625,433","Apr 24, 2023"
21-04-2023,"1,014.30","1,019.60",993.85,998.75,948.22,"4,269,272","Apr 21, 2023"
20-04-2023,"1,015.10","1,023.80","1,010.05","1,021.80",970.10,"1,250,758","Apr 20, 2023"
19-04-2023,"1,025.20","1,029.00","1,010.00","1,013.90",962.60,"1,953,837","Apr 19, 2023"
18-04-2023,"1,034.80","1,037.75","1,011.00","1,025.20",973.33,"2,735,592","Apr 18, 2023"
17-04-2023,"1,035.00","1,038.00","1,002.00","1,029.95",977.84,"4,349,422","Apr 17, 2023"
13-04-2023,"1,100.25","1,100.25","1,076.00","1,086.85","1,031.86","2,725,180","Apr 13, 2023"
12-04-2023,"1,103.00","1,113.50","1,090.80","1,109.90","1,053.75","1,376,719","Apr 12, 2023"
