date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,835.00,860.00,831.25,846.85,846.85,"901,789","Aug 25, 2023"
24-08-2023,855.05,861.25,831.55,841.15,841.15,"367,668","Aug 24, 2023"
23-08-2023,849.80,857.00,846.10,848.90,848.90,"372,654","Aug 23, 2023"
22-08-2023,838.20,865.00,836.60,846.65,846.65,"1,026,895","Aug 22, 2023"
21-08-2023,848.00,852.45,834.10,838.20,838.20,"393,894","Aug 21, 2023"
18-08-2023,855.00,855.50,837.95,843.90,843.90,"539,404","Aug 18, 2023"
17-08-2023,867.00,867.00,848.05,853.15,853.15,"1,019,278","Aug 17, 2023"
16-08-2023,866.00,869.95,839.05,843.00,843.00,"1,861,165","Aug 16, 2023"
14-08-2023,812.05,827.65,797.00,813.30,813.30,"657,463","Aug 14, 2023"
11-08-2023,822.90,825.50,812.75,814.80,814.80,"288,023","Aug 11, 2023"
10-08-2023,824.45,827.90,815.55,819.70,819.70,"289,047","Aug 10, 2023"
09-08-2023,836.80,838.55,819.95,821.30,821.30,"313,106","Aug 09, 2023"
08-08-2023,838.00,855.85,825.05,833.60,833.60,"609,556","Aug 08, 2023"
07-08-2023,816.45,867.70,812.05,832.45,832.45,"1,925,899","Aug 07, 2023"
04-08-2023,805.35,827.00,804.55,809.90,809.90,"429,549","Aug 04, 2023"
03-08-2023,813.50,817.20,800.00,804.55,804.55,"320,972","Aug 03, 2023"
02-08-2023,808.40,823.95,795.65,812.20,812.20,"572,712","Aug 02, 2023"
01-08-2023,821.60,827.00,804.45,808.35,808.35,"504,760","Aug 01, 2023"
31-07-2023,827.55,842.50,814.35,819.20,819.20,"579,633","Jul 31, 2023"
28-07-2023,823.80,832.80,815.10,827.55,827.55,"664,582","Jul 28, 2023"
27-07-2023,791.15,842.20,786.60,823.80,823.80,"2,640,344","Jul 27, 2023"
26-07-2023,785.95,795.95,777.00,783.15,783.15,"373,057","Jul 26, 2023"
25-07-2023,776.70,804.65,776.05,780.45,780.45,"1,050,857","Jul 25, 2023"
24-07-2023,800.00,822.00,768.05,776.60,776.60,"2,433,966","Jul 24, 2023"
21-07-2023,854.50,861.45,832.65,845.30,845.30,"730,964","Jul 21, 2023"
20-07-2023,876.00,893.30,850.00,856.90,856.90,"2,235,577","Jul 20, 2023"
19-07-2023,816.50,889.00,807.00,871.40,871.40,"4,316,635","Jul 19, 2023"
18-07-2023,839.70,847.85,806.90,812.35,812.35,"840,706","Jul 18, 2023"
17-07-2023,863.00,863.95,831.00,835.30,835.30,"997,802","Jul 17, 2023"
