date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,274.60","1,287.20","1,213.00","1,257.95","1,257.95","34,737","Aug 25, 2023"
24-08-2023,"1,316.00","1,319.95","1,262.05","1,294.50","1,294.50","48,869","Aug 24, 2023"
23-08-2023,"1,258.00","1,295.00","1,245.00","1,286.60","1,286.60","64,078","Aug 23, 2023"
22-08-2023,"1,228.90","1,265.00","1,202.30","1,244.80","1,244.80","87,711","Aug 22, 2023"
21-08-2023,"1,208.95","1,244.00","1,170.00","1,212.55","1,212.55","65,995","Aug 21, 2023"
18-08-2023,"1,204.05","1,223.30","1,160.00","1,177.00","1,177.00","38,083","Aug 18, 2023"
17-08-2023,"1,219.00","1,249.00","1,179.05","1,201.20","1,201.20","66,859","Aug 17, 2023"
16-08-2023,"1,092.20","1,200.00","1,080.00","1,185.60","1,185.60","57,878","Aug 16, 2023"
14-08-2023,"1,102.20","1,114.95","1,068.05","1,092.20","1,092.20","27,110","Aug 14, 2023"
11-08-2023,"1,149.20","1,149.20","1,100.00","1,105.85","1,105.85","27,110","Aug 11, 2023"
10-08-2023,"1,157.30","1,173.00","1,125.00","1,139.15","1,139.15","30,091","Aug 10, 2023"
09-08-2023,"1,163.00","1,185.10","1,150.05","1,156.45","1,156.45","28,956","Aug 09, 2023"
08-08-2023,"1,175.00","1,199.00","1,126.05","1,152.60","1,152.60","48,099","Aug 08, 2023"
07-08-2023,"1,159.45","1,180.00","1,125.00","1,165.55","1,165.55","56,371","Aug 07, 2023"
04-08-2023,"1,178.25","1,195.00","1,145.00","1,153.05","1,153.05","33,576","Aug 04, 2023"
03-08-2023,"1,184.95","1,226.00","1,144.40","1,159.40","1,159.40","87,412","Aug 03, 2023"
02-08-2023,"1,125.00","1,224.95","1,111.10","1,183.30","1,183.30","195,377","Aug 02, 2023"
01-08-2023,"1,262.05","1,268.00","1,143.10","1,145.00","1,145.00","268,807","Aug 01, 2023"
31-07-2023,"1,330.00","1,446.60","1,266.00","1,270.10","1,270.10","480,824","Jul 31, 2023"
28-07-2023,"1,189.80","1,325.00","1,189.80","1,315.10","1,315.10","491,709","Jul 28, 2023"
27-07-2023,"1,131.05","1,199.00","1,131.05","1,172.90","1,172.90","331,538","Jul 27, 2023"
26-07-2023,"1,056.00","1,135.05","1,045.75","1,121.25","1,121.25","506,081","Jul 26, 2023"
25-07-2023,"1,028.00","1,164.00","1,002.00","1,039.80","1,039.80","1,406,643","Jul 25, 2023"
24-07-2023,870.00,"1,034.50",852.65,"1,003.35","1,003.35","831,657","Jul 24, 2023"
21-07-2023,864.85,870.00,856.00,862.10,862.10,"37,335","Jul 21, 2023"
20-07-2023,883.45,894.80,876.70,879.45,879.45,"21,957","Jul 20, 2023"
19-07-2023,874.90,887.00,870.50,879.05,879.05,"28,050","Jul 19, 2023"
18-07-2023,884.50,889.80,865.50,871.15,871.15,"63,644","Jul 18, 2023"
17-07-2023,846.00,899.00,846.00,862.90,862.90,"146,261","Jul 17, 2023"
17-07-2023,6 Dividend,,,,,,"Jul 17, 2023"
17-07-2023,2:1 Stock Split,,,,,,"Jul 17, 2023"
14-07-2023,833.63,842.50,790.00,805.35,799.35,"76,338","Jul 14, 2023"
13-07-2023,842.50,849.47,812.55,819.53,813.42,"49,644","Jul 13, 2023"
12-07-2023,841.50,845.22,823.47,836.65,830.42,"47,450","Jul 12, 2023"
11-07-2023,833.75,846.15,820.58,825.55,819.40,"57,038","Jul 11, 2023"
10-07-2023,825.00,867.00,815.75,825.50,819.35,"87,380","Jul 10, 2023"
07-07-2023,782.00,839.65,779.00,817.85,811.76,"299,688","Jul 07, 2023"
06-07-2023,765.00,776.97,760.65,768.55,762.82,"32,144","Jul 06, 2023"
05-07-2023,755.92,758.97,747.50,751.63,746.03,"13,686","Jul 05, 2023"
04-07-2023,755.40,764.03,750.50,752.15,746.55,"15,152","Jul 04, 2023"
03-07-2023,766.75,769.55,752.53,763.17,757.49,"17,212","Jul 03, 2023"
30-06-2023,767.50,769.65,742.05,759.53,753.87,"37,320","Jun 30, 2023"
28-06-2023,743.55,743.55,743.55,743.55,738.01,-,"Jun 28, 2023"
27-06-2023,744.50,747.15,737.00,743.55,738.01,"10,798","Jun 27, 2023"
27-06-2023,3 Dividend,,,,,,"Jun 27, 2023"
26-06-2023,759.80,764.22,739.50,742.53,734.02,"23,610","Jun 26, 2023"
23-06-2023,770.05,770.05,742.00,752.35,743.73,"17,726","Jun 23, 2023"
22-06-2023,773.00,773.00,752.78,762.42,753.69,"13,216","Jun 22, 2023"
21-06-2023,780.00,780.00,764.53,769.15,760.34,"39,290","Jun 21, 2023"
20-06-2023,742.53,795.00,742.42,773.88,765.01,"102,260","Jun 20, 2023"
19-06-2023,752.65,757.00,740.00,742.38,733.87,"20,650","Jun 19, 2023"
16-06-2023,733.25,750.00,731.00,738.35,729.89,"25,936","Jun 16, 2023"
15-06-2023,736.03,737.40,722.53,730.45,722.08,"14,854","Jun 15, 2023"
