date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,170.00,170.00,166.60,168.00,168.00,384,"Aug 25, 2023"
24-08-2023,170.00,175.10,170.00,170.00,170.00,"2,371","Aug 24, 2023"
23-08-2023,171.70,171.70,165.00,171.70,171.70,"4,319","Aug 23, 2023"
22-08-2023,169.00,171.90,163.00,168.35,168.35,"7,274","Aug 22, 2023"
21-08-2023,166.00,166.95,161.00,165.35,165.35,"13,028","Aug 21, 2023"
18-08-2023,158.80,159.00,158.50,159.00,159.00,"10,807","Aug 18, 2023"
17-08-2023,144.25,151.45,144.25,151.45,151.45,"6,204","Aug 17, 2023"
16-08-2023,137.40,144.25,137.40,144.25,144.25,"5,084","Aug 16, 2023"
14-08-2023,150.15,150.15,135.90,137.40,137.40,"5,443","Aug 14, 2023"
11-08-2023,145.00,152.25,143.00,143.05,143.05,"6,594","Aug 11, 2023"
10-08-2023,145.00,151.15,145.00,145.00,145.00,"2,476","Aug 10, 2023"
09-08-2023,147.65,147.65,144.00,144.00,144.00,609,"Aug 09, 2023"
08-08-2023,143.00,145.00,136.15,140.65,140.65,"1,510","Aug 08, 2023"
07-08-2023,142.85,143.00,142.80,143.00,143.00,314,"Aug 07, 2023"
04-08-2023,135.25,141.70,135.10,139.85,139.85,648,"Aug 04, 2023"
03-08-2023,134.10,140.80,134.10,135.10,135.10,"1,341","Aug 03, 2023"
02-08-2023,140.00,141.95,134.00,134.10,134.10,760,"Aug 02, 2023"
01-08-2023,144.95,144.95,133.50,136.05,136.05,604,"Aug 01, 2023"
31-07-2023,133.60,143.00,133.50,138.40,138.40,"3,152","Jul 31, 2023"
28-07-2023,148.95,148.95,140.00,140.50,140.50,286,"Jul 28, 2023"
27-07-2023,146.90,146.90,140.00,146.90,146.90,494,"Jul 27, 2023"
26-07-2023,147.25,150.00,147.00,147.00,147.00,125,"Jul 26, 2023"
25-07-2023,150.00,150.00,143.00,147.25,147.25,419,"Jul 25, 2023"
24-07-2023,140.00,151.50,140.00,148.00,148.00,"1,073","Jul 24, 2023"
21-07-2023,150.00,150.00,142.50,144.30,144.30,685,"Jul 21, 2023"
20-07-2023,151.65,152.00,150.00,150.00,150.00,293,"Jul 20, 2023"
19-07-2023,151.45,151.45,150.00,150.00,150.00,128,"Jul 19, 2023"
18-07-2023,155.85,155.85,151.05,152.00,152.00,303,"Jul 18, 2023"
17-07-2023,151.05,153.00,150.00,150.00,150.00,"2,127","Jul 17, 2023"
14-07-2023,155.00,157.90,153.50,157.90,157.90,303,"Jul 14, 2023"
13-07-2023,158.50,158.50,153.00,153.50,153.50,347,"Jul 13, 2023"
12-07-2023,154.15,159.00,154.15,158.50,158.50,230,"Jul 12, 2023"
11-07-2023,152.25,153.40,152.25,153.40,153.40,158,"Jul 11, 2023"
10-07-2023,164.00,164.00,159.00,159.00,159.00,223,"Jul 10, 2023"
07-07-2023,157.00,157.00,157.00,157.00,157.00,212,"Jul 07, 2023"
06-07-2023,156.65,157.00,156.60,157.00,157.00,455,"Jul 06, 2023"
05-07-2023,161.00,161.00,155.05,156.55,156.55,238,"Jul 05, 2023"
04-07-2023,161.00,167.20,160.25,160.25,160.25,"1,227","Jul 04, 2023"
03-07-2023,158.50,167.50,158.50,167.20,167.20,"3,232","Jul 03, 2023"
