date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,32.80,37.50,32.80,35.70,35.70,"3,551,257","Aug 25, 2023"
24-08-2023,32.00,32.15,30.90,31.65,31.65,"1,042,540","Aug 24, 2023"
23-08-2023,30.00,30.90,29.50,30.65,30.65,"1,265,846","Aug 23, 2023"
22-08-2023,27.40,30.20,27.40,29.85,29.85,"2,324,277","Aug 22, 2023"
21-08-2023,29.60,30.70,28.80,28.80,28.80,"1,983,746","Aug 21, 2023"
18-08-2023,28.05,30.95,28.05,30.30,30.30,"3,799,553","Aug 18, 2023"
17-08-2023,29.50,29.50,29.50,29.50,29.50,"62,087","Aug 17, 2023"
16-08-2023,31.05,31.05,31.05,31.05,31.05,"22,953","Aug 16, 2023"
14-08-2023,32.65,32.65,32.65,32.65,32.65,"155,723","Aug 14, 2023"
11-08-2023,34.35,34.35,34.35,34.35,34.35,"422,933","Aug 11, 2023"
10-08-2023,38.00,39.00,36.15,36.15,36.15,"2,438,071","Aug 10, 2023"
