date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,200.00","1,201.15","1,181.90","1,184.75","1,184.75","7,402","Aug 25, 2023"
24-08-2023,"1,210.00","1,220.00","1,190.65","1,195.15","1,195.15","5,553","Aug 24, 2023"
23-08-2023,"1,206.00","1,211.85","1,191.05","1,205.45","1,205.45","11,307","Aug 23, 2023"
22-08-2023,"1,184.00","1,211.95","1,176.50","1,205.90","1,205.90","22,819","Aug 22, 2023"
21-08-2023,"1,196.90","1,221.00","1,173.50","1,181.50","1,181.50","33,744","Aug 21, 2023"
18-08-2023,"1,195.70","1,207.95","1,180.00","1,198.55","1,198.55","13,588","Aug 18, 2023"
17-08-2023,"1,205.00","1,208.00","1,186.00","1,189.75","1,189.75","10,343","Aug 17, 2023"
16-08-2023,"1,161.30","1,208.00","1,156.60","1,191.10","1,191.10","13,810","Aug 16, 2023"
14-08-2023,"1,140.55","1,175.00","1,136.00","1,167.85","1,167.85","11,614","Aug 14, 2023"
11-08-2023,"1,171.00","1,178.50","1,154.05","1,157.90","1,157.90","7,178","Aug 11, 2023"
10-08-2023,"1,172.85","1,185.00","1,160.00","1,170.60","1,170.60","7,311","Aug 10, 2023"
09-08-2023,"1,179.00","1,194.45","1,170.05","1,174.25","1,174.25","15,892","Aug 09, 2023"
08-08-2023,"1,173.90","1,194.50","1,165.75","1,174.35","1,174.35","11,316","Aug 08, 2023"
07-08-2023,"1,188.45","1,188.45","1,154.00","1,168.10","1,168.10","15,138","Aug 07, 2023"
04-08-2023,"1,199.00","1,203.75","1,186.05","1,188.45","1,188.45","8,294","Aug 04, 2023"
03-08-2023,"1,200.00","1,219.90","1,180.00","1,193.00","1,193.00","27,846","Aug 03, 2023"
02-08-2023,"1,226.75","1,226.75","1,190.80","1,200.50","1,200.50","51,424","Aug 02, 2023"
01-08-2023,"1,210.50","1,271.95","1,204.05","1,236.75","1,236.75","161,158","Aug 01, 2023"
31-07-2023,"1,203.10","1,209.50","1,180.30","1,206.25","1,206.25","20,780","Jul 31, 2023"
28-07-2023,"1,182.25","1,194.00","1,176.35","1,185.30","1,185.30","21,346","Jul 28, 2023"
27-07-2023,"1,190.70","1,201.00","1,162.55","1,176.35","1,176.35","48,261","Jul 27, 2023"
26-07-2023,"1,241.00","1,250.00","1,187.00","1,190.70","1,190.70","91,322","Jul 26, 2023"
25-07-2023,"1,260.85","1,279.00","1,240.20","1,247.15","1,247.15","27,783","Jul 25, 2023"
24-07-2023,"1,275.95","1,285.85","1,251.05","1,254.55","1,254.55","55,160","Jul 24, 2023"
21-07-2023,"1,301.35","1,308.85","1,270.05","1,275.70","1,275.70","46,411","Jul 21, 2023"
20-07-2023,"1,302.90","1,321.00","1,297.55","1,301.45","1,301.45","34,234","Jul 20, 2023"
19-07-2023,"1,305.00","1,312.50","1,290.25","1,296.45","1,296.45","27,664","Jul 19, 2023"
18-07-2023,"1,306.70","1,336.10","1,297.05","1,305.05","1,305.05","37,155","Jul 18, 2023"
18-07-2023,10 Dividend,,,,,,"Jul 18, 2023"
17-07-2023,"1,301.05","1,319.00","1,293.80","1,309.00","1,299.00","28,077","Jul 17, 2023"
14-07-2023,"1,328.70","1,334.00","1,302.05","1,306.20","1,296.22","40,272","Jul 14, 2023"
13-07-2023,"1,325.00","1,347.30","1,304.00","1,309.10","1,299.10","34,766","Jul 13, 2023"
12-07-2023,"1,308.00","1,329.95","1,278.05","1,322.50","1,312.40","21,602","Jul 12, 2023"
11-07-2023,"1,308.45","1,319.90","1,294.05","1,308.20","1,298.21","19,486","Jul 11, 2023"
10-07-2023,"1,282.85","1,328.00","1,273.00","1,305.70","1,295.73","51,540","Jul 10, 2023"
07-07-2023,"1,265.00","1,289.50","1,264.60","1,282.85","1,273.05","22,533","Jul 07, 2023"
06-07-2023,"1,283.45","1,295.00","1,263.00","1,265.75","1,256.08","18,743","Jul 06, 2023"
