date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,355.00","1,358.00","1,321.10","1,339.60","1,339.60","1,436,793","Aug 25, 2023"
24-08-2023,"1,365.00","1,383.20","1,354.60","1,362.50","1,362.50","1,183,583","Aug 24, 2023"
23-08-2023,"1,354.90","1,366.80","1,349.30","1,355.30","1,355.30","919,117","Aug 23, 2023"
22-08-2023,"1,346.20","1,357.00","1,335.65","1,353.55","1,353.55","819,736","Aug 22, 2023"
21-08-2023,"1,340.05","1,360.45","1,329.15","1,349.50","1,349.50","1,480,040","Aug 21, 2023"
18-08-2023,"1,342.00","1,345.00","1,329.35","1,341.40","1,341.40","727,872","Aug 18, 2023"
17-08-2023,"1,338.90","1,340.95","1,324.10","1,336.65","1,336.65","702,360","Aug 17, 2023"
16-08-2023,"1,334.00","1,345.55","1,322.45","1,339.75","1,339.75","1,426,246","Aug 16, 2023"
14-08-2023,"1,352.60","1,352.80","1,320.80","1,344.90","1,344.90","951,927","Aug 14, 2023"
11-08-2023,"1,352.00","1,362.05","1,342.25","1,349.65","1,349.65","724,490","Aug 11, 2023"
10-08-2023,"1,342.45","1,355.40","1,331.30","1,349.60","1,349.60","960,273","Aug 10, 2023"
09-08-2023,"1,331.10","1,349.60","1,317.00","1,340.00","1,340.00","1,333,966","Aug 09, 2023"
08-08-2023,"1,344.90","1,345.25","1,318.30","1,331.55","1,331.55","1,246,119","Aug 08, 2023"
07-08-2023,"1,357.40","1,357.40","1,331.65","1,340.30","1,340.30","866,160","Aug 07, 2023"
04-08-2023,"1,372.00","1,384.95","1,346.45","1,358.80","1,358.80","539,333","Aug 04, 2023"
03-08-2023,"1,381.95","1,391.40","1,354.40","1,363.25","1,363.25","1,042,110","Aug 03, 2023"
02-08-2023,"1,375.00","1,396.00","1,362.55","1,379.75","1,379.75","1,941,995","Aug 02, 2023"
01-08-2023,"1,375.00","1,379.30","1,359.05","1,369.70","1,369.70","325,587","Aug 01, 2023"
31-07-2023,"1,354.00","1,379.45","1,347.30","1,376.70","1,376.70","771,838","Jul 31, 2023"
28-07-2023,"1,355.80","1,370.70","1,345.45","1,357.85","1,357.85","722,899","Jul 28, 2023"
27-07-2023,"1,376.00","1,377.95","1,346.20","1,355.80","1,355.80","991,461","Jul 27, 2023"
26-07-2023,"1,393.00","1,400.90","1,365.40","1,372.05","1,372.05","1,745,448","Jul 26, 2023"
25-07-2023,"1,333.00","1,388.45","1,313.65","1,384.00","1,384.00","5,467,323","Jul 25, 2023"
24-07-2023,"1,344.90","1,373.00","1,295.00","1,307.10","1,307.10","2,508,323","Jul 24, 2023"
21-07-2023,"1,331.50","1,344.95","1,331.15","1,342.95","1,342.95","768,440","Jul 21, 2023"
20-07-2023,"1,334.00","1,348.00","1,331.00","1,345.15","1,345.15","898,508","Jul 20, 2023"
19-07-2023,"1,348.60","1,353.20","1,327.40","1,334.10","1,334.10","810,110","Jul 19, 2023"
18-07-2023,"1,346.40","1,368.05","1,338.55","1,346.15","1,346.15","1,011,369","Jul 18, 2023"
17-07-2023,"1,346.15","1,363.00","1,339.50","1,342.95","1,342.95","739,899","Jul 17, 2023"
14-07-2023,"1,336.00","1,352.90","1,322.65","1,350.75","1,350.75","1,109,229","Jul 14, 2023"
13-07-2023,"1,339.00","1,348.00","1,325.35","1,329.75","1,329.75","841,814","Jul 13, 2023"
12-07-2023,"1,344.80","1,354.40","1,331.20","1,338.65","1,338.65","831,708","Jul 12, 2023"
11-07-2023,"1,316.10","1,355.00","1,311.05","1,342.90","1,342.90","1,492,542","Jul 11, 2023"
10-07-2023,"1,326.95","1,332.70","1,306.30","1,309.25","1,309.25","588,008","Jul 10, 2023"
07-07-2023,"1,319.80","1,342.90","1,310.90","1,322.00","1,322.00","1,205,329","Jul 07, 2023"
06-07-2023,"1,323.45","1,327.75","1,304.05","1,314.45","1,314.45","1,151,516","Jul 06, 2023"
05-07-2023,"1,308.00","1,323.85","1,293.50","1,319.80","1,319.80","1,700,571","Jul 05, 2023"
04-07-2023,"1,321.90","1,330.00","1,300.05","1,303.75","1,303.75","576,982","Jul 04, 2023"
03-07-2023,"1,335.00","1,338.50","1,313.00","1,318.35","1,318.35","651,040","Jul 03, 2023"
30-06-2023,"1,330.05","1,340.05","1,318.40","1,325.65","1,325.65","875,476","Jun 30, 2023"
28-06-2023,"1,304.20","1,304.20","1,304.20","1,304.20","1,304.20",-,"Jun 28, 2023"
27-06-2023,"1,291.00","1,309.55","1,289.00","1,304.20","1,304.20","882,785","Jun 27, 2023"
26-06-2023,"1,301.25","1,314.90","1,289.15","1,290.35","1,290.35","607,694","Jun 26, 2023"
23-06-2023,"1,327.65","1,329.95","1,295.30","1,301.25","1,301.25","705,445","Jun 23, 2023"
22-06-2023,"1,345.90","1,348.95","1,323.00","1,326.15","1,326.15","558,699","Jun 22, 2023"
21-06-2023,"1,343.80","1,356.55","1,336.55","1,350.90","1,350.90","846,723","Jun 21, 2023"
20-06-2023,"1,333.00","1,349.05","1,327.00","1,343.80","1,343.80","1,139,873","Jun 20, 2023"
19-06-2023,"1,352.10","1,360.80","1,336.00","1,337.95","1,337.95","445,580","Jun 19, 2023"
16-06-2023,"1,339.00","1,356.80","1,322.95","1,352.85","1,352.85","1,182,213","Jun 16, 2023"
15-06-2023,"1,348.65","1,357.00","1,330.00","1,332.85","1,332.85","808,772","Jun 15, 2023"
14-06-2023,"1,346.95","1,350.00","1,333.00","1,345.85","1,345.85","663,045","Jun 14, 2023"
13-06-2023,"1,345.60","1,353.00","1,340.35","1,346.10","1,346.10","651,920","Jun 13, 2023"
12-06-2023,"1,368.00","1,384.80","1,335.15","1,339.60","1,339.60","2,237,766","Jun 12, 2023"
09-06-2023,"1,332.00","1,351.10","1,331.00","1,336.00","1,336.00","805,323","Jun 09, 2023"
08-06-2023,"1,349.95","1,351.40","1,317.90","1,326.10","1,326.10","511,069","Jun 08, 2023"
07-06-2023,"1,342.95","1,354.50","1,327.95","1,347.50","1,347.50","1,067,501","Jun 07, 2023"
06-06-2023,"1,296.00","1,339.00","1,286.00","1,332.00","1,332.00","1,703,583","Jun 06, 2023"
05-06-2023,"1,309.95","1,312.95","1,287.15","1,294.70","1,294.70","551,021","Jun 05, 2023"
02-06-2023,"1,286.90","1,310.00","1,281.60","1,305.55","1,305.55","1,923,687","Jun 02, 2023"
