date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,776.70","2,818.70","2,755.00","2,809.65","2,809.65","5,425","Aug 25, 2023"
24-08-2023,"2,802.15","2,821.05","2,765.65","2,777.45","2,777.45","7,218","Aug 24, 2023"
23-08-2023,"2,800.00","2,865.00","2,781.05","2,794.15","2,794.15","16,476","Aug 23, 2023"
22-08-2023,"2,785.45","2,820.00","2,776.05","2,796.20","2,796.20","5,354","Aug 22, 2023"
21-08-2023,"2,776.25","2,827.95","2,765.00","2,771.55","2,771.55","6,253","Aug 21, 2023"
18-08-2023,"2,840.00","2,872.00","2,768.45","2,776.25","2,776.25","11,727","Aug 18, 2023"
17-08-2023,"2,895.70","2,925.00","2,825.00","2,831.80","2,831.80","12,431","Aug 17, 2023"
16-08-2023,"2,916.15","2,935.10","2,888.00","2,895.70","2,895.70","5,042","Aug 16, 2023"
14-08-2023,"2,986.10","2,986.10","2,881.00","2,901.60","2,901.60","12,128","Aug 14, 2023"
11-08-2023,"3,074.00","3,080.00","2,957.15","2,971.20","2,971.20","12,144","Aug 11, 2023"
10-08-2023,"3,055.75","3,239.90","3,021.00","3,036.85","3,036.85","132,167","Aug 10, 2023"
09-08-2023,"3,020.00","3,070.05","2,992.55","3,048.85","3,048.85","4,574","Aug 09, 2023"
08-08-2023,"3,019.15","3,049.80","2,993.00","3,025.70","3,025.70","4,876","Aug 08, 2023"
07-08-2023,"3,065.20","3,093.55","2,996.75","3,004.10","3,004.10","11,085","Aug 07, 2023"
04-08-2023,"3,016.90","3,096.95","3,004.40","3,058.60","3,058.60","12,204","Aug 04, 2023"
03-08-2023,"2,962.40","3,040.00","2,945.30","2,990.85","2,990.85","9,617","Aug 03, 2023"
02-08-2023,"2,989.95","3,022.40","2,933.00","2,947.65","2,947.65","7,713","Aug 02, 2023"
01-08-2023,"3,086.85","3,086.85","2,956.65","2,977.05","2,977.05","20,650","Aug 01, 2023"
31-07-2023,"3,155.00","3,159.15","3,005.00","3,036.85","3,036.85","30,657","Jul 31, 2023"
28-07-2023,"3,179.00","3,181.00","3,126.00","3,139.80","3,139.80","6,126","Jul 28, 2023"
27-07-2023,"3,181.00","3,200.00","3,123.30","3,153.30","3,153.30","7,743","Jul 27, 2023"
26-07-2023,"3,121.00","3,249.80","3,121.00","3,159.45","3,159.45","43,918","Jul 26, 2023"
25-07-2023,"3,175.00","3,262.55","3,110.05","3,116.20","3,116.20","18,958","Jul 25, 2023"
24-07-2023,"3,114.00","3,198.95","3,111.10","3,150.65","3,150.65","6,774","Jul 24, 2023"
21-07-2023,"3,138.30","3,172.75","3,081.10","3,111.15","3,111.15","9,360","Jul 21, 2023"
20-07-2023,"3,071.10","3,223.85","3,071.10","3,122.65","3,122.65","25,393","Jul 20, 2023"
19-07-2023,"3,095.05","3,121.75","3,033.00","3,099.80","3,099.80","10,740","Jul 19, 2023"
18-07-2023,"3,135.05","3,149.90","3,064.00","3,080.05","3,080.05","6,052","Jul 18, 2023"
17-07-2023,"3,039.85","3,174.95","3,003.00","3,118.95","3,118.95","12,520","Jul 17, 2023"
14-07-2023,"3,020.00","3,100.00","3,000.00","3,013.60","3,013.60","8,919","Jul 14, 2023"
13-07-2023,"3,129.95","3,129.95","3,000.00","3,030.20","3,030.20","10,124","Jul 13, 2023"
12-07-2023,"3,160.00","3,196.70","3,101.00","3,112.90","3,112.90","10,133","Jul 12, 2023"
11-07-2023,"3,181.00","3,240.00","3,120.50","3,149.45","3,149.45","17,260","Jul 11, 2023"
