date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,375.00,377.90,373.00,374.80,374.80,"80,040","Aug 25, 2023"
24-08-2023,375.50,378.50,375.00,376.90,376.90,"106,292","Aug 24, 2023"
23-08-2023,377.00,378.80,370.95,372.30,372.30,"120,740","Aug 23, 2023"
22-08-2023,377.70,379.90,374.00,375.05,375.05,"88,632","Aug 22, 2023"
21-08-2023,375.20,379.70,375.10,376.05,376.05,"75,990","Aug 21, 2023"
18-08-2023,377.95,386.15,373.25,374.85,374.85,"157,599","Aug 18, 2023"
17-08-2023,374.00,393.60,372.05,377.45,377.45,"301,077","Aug 17, 2023"
16-08-2023,386.00,386.00,373.50,376.60,376.60,"760,192","Aug 16, 2023"
14-08-2023,413.10,413.50,400.00,403.65,403.65,"186,086","Aug 14, 2023"
11-08-2023,425.95,425.95,413.00,413.70,413.70,"141,547","Aug 11, 2023"
10-08-2023,424.70,427.00,418.20,420.90,420.90,"86,703","Aug 10, 2023"
09-08-2023,424.80,431.00,420.20,423.35,423.35,"124,616","Aug 09, 2023"
08-08-2023,415.40,424.50,415.10,422.75,422.75,"124,245","Aug 08, 2023"
07-08-2023,425.65,428.00,412.00,413.25,413.25,"198,782","Aug 07, 2023"
04-08-2023,423.40,428.55,420.05,421.85,421.85,"111,919","Aug 04, 2023"
04-08-2023,3 Dividend,,,,,,"Aug 04, 2023"
03-08-2023,427.90,427.95,418.75,423.35,420.35,"119,435","Aug 03, 2023"
03-08-2023,3 Dividend,,,,,,"Aug 03, 2023"
02-08-2023,434.45,434.45,422.30,426.50,420.50,"97,968","Aug 02, 2023"
01-08-2023,436.70,439.95,431.30,432.95,426.86,"111,839","Aug 01, 2023"
31-07-2023,424.50,438.00,424.00,434.45,428.34,"100,280","Jul 31, 2023"
28-07-2023,418.55,428.40,417.30,426.25,420.25,"74,768","Jul 28, 2023"
27-07-2023,425.15,426.90,416.40,421.70,415.77,"91,196","Jul 27, 2023"
26-07-2023,428.25,431.90,424.50,425.10,419.12,"65,569","Jul 26, 2023"
25-07-2023,433.75,435.20,426.45,428.05,422.03,"106,019","Jul 25, 2023"
24-07-2023,437.75,441.60,430.15,433.90,427.79,"68,376","Jul 24, 2023"
21-07-2023,433.25,437.95,431.00,435.50,429.37,"52,737","Jul 21, 2023"
20-07-2023,439.40,442.00,433.00,434.15,428.04,"79,018","Jul 20, 2023"
19-07-2023,442.50,444.65,435.50,437.15,431.00,"117,750","Jul 19, 2023"
