date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,4.8000,4.8000,4.1000,4.3500,4.3500,"107,679","Aug 25, 2023"
24-08-2023,4.8000,4.8000,4.2000,4.4500,4.4500,"240,883","Aug 24, 2023"
23-08-2023,4.3500,4.5000,4.1500,4.3000,4.3000,"298,341","Aug 23, 2023"
22-08-2023,3.7000,4.3500,3.7000,4.1500,4.1500,"381,548","Aug 22, 2023"
21-08-2023,3.9500,3.9500,3.8500,3.9000,3.9000,"8,174","Aug 21, 2023"
18-08-2023,3.8500,4.0000,3.5500,3.9000,3.9000,"40,708","Aug 18, 2023"
17-08-2023,3.9000,4.0500,3.8000,3.8500,3.8500,"70,996","Aug 17, 2023"
16-08-2023,4.1500,4.1500,3.6500,3.8000,3.8000,"65,061","Aug 16, 2023"
14-08-2023,3.9500,3.9500,3.6000,3.9000,3.9000,"88,262","Aug 14, 2023"
11-08-2023,3.8000,4.6500,3.5500,3.7000,3.7000,"385,564","Aug 11, 2023"
10-08-2023,4.1000,4.3000,3.7500,3.9000,3.9000,"126,517","Aug 10, 2023"
09-08-2023,4.2000,4.2000,3.5500,4.0000,4.0000,"125,842","Aug 09, 2023"
08-08-2023,3.6000,4.1500,3.3000,3.8000,3.8000,"260,424","Aug 08, 2023"
07-08-2023,3.4500,3.5500,3.2500,3.5000,3.5000,"72,573","Aug 07, 2023"
04-08-2023,3.6500,3.6500,3.1000,3.3500,3.3500,"75,272","Aug 04, 2023"
03-08-2023,3.5000,3.5000,3.3000,3.4500,3.4500,"40,119","Aug 03, 2023"
02-08-2023,3.3500,3.4500,3.2500,3.3500,3.3500,"16,482","Aug 02, 2023"
01-08-2023,3.4500,3.4500,3.3000,3.3500,3.3500,"33,842","Aug 01, 2023"
31-07-2023,3.5000,3.5000,3.3000,3.3500,3.3500,"34,401","Jul 31, 2023"
28-07-2023,3.4000,3.5000,3.2000,3.3500,3.3500,"75,408","Jul 28, 2023"
27-07-2023,3.7000,3.7000,3.3500,3.3500,3.3500,"46,484","Jul 27, 2023"
26-07-2023,3.5500,3.5500,3.3500,3.4000,3.4000,"18,962","Jul 26, 2023"
25-07-2023,3.6000,3.6000,3.3000,3.4000,3.4000,"22,415","Jul 25, 2023"
24-07-2023,3.5500,3.5500,3.3500,3.5000,3.5000,"45,820","Jul 24, 2023"
21-07-2023,3.5500,3.5500,3.4000,3.4000,3.4000,"16,079","Jul 21, 2023"
20-07-2023,3.6000,3.6000,3.4000,3.4500,3.4500,"17,506","Jul 20, 2023"
19-07-2023,3.5000,3.5000,3.3500,3.4500,3.4500,"30,193","Jul 19, 2023"
18-07-2023,3.3500,3.5000,3.3500,3.3500,3.3500,"11,997","Jul 18, 2023"
17-07-2023,3.5000,3.5500,3.3000,3.3500,3.3500,"37,518","Jul 17, 2023"
14-07-2023,3.5500,3.5500,3.1500,3.3500,3.3500,"50,498","Jul 14, 2023"
13-07-2023,3.4000,3.5000,3.2500,3.4500,3.4500,"30,940","Jul 13, 2023"
12-07-2023,3.4500,3.5000,3.2000,3.3000,3.3000,"86,425","Jul 12, 2023"
11-07-2023,3.6500,3.6500,3.3500,3.4500,3.4500,"42,127","Jul 11, 2023"
10-07-2023,3.6500,3.7000,3.4500,3.5500,3.5500,"44,498","Jul 10, 2023"
07-07-2023,3.5500,3.5500,3.4000,3.5000,3.5000,"42,028","Jul 07, 2023"
06-07-2023,3.5000,3.6500,3.3500,3.4000,3.4000,"137,616","Jul 06, 2023"
05-07-2023,3.3000,3.5000,3.3000,3.4000,3.4000,"16,592","Jul 05, 2023"
04-07-2023,3.2500,3.5000,3.2500,3.3000,3.3000,"55,515","Jul 04, 2023"
03-07-2023,3.6000,3.6000,3.3000,3.4000,3.4000,"52,761","Jul 03, 2023"
30-06-2023,3.3500,3.5000,3.2500,3.5000,3.5000,"14,375","Jun 30, 2023"
28-06-2023,3.3000,3.3000,3.3000,3.3000,3.3000,-,"Jun 28, 2023"
27-06-2023,3.6500,3.6500,3.1500,3.3000,3.3000,"95,499","Jun 27, 2023"
26-06-2023,3.9500,3.9500,3.4000,3.4500,3.4500,"139,643","Jun 26, 2023"
23-06-2023,3.8500,3.8500,3.5500,3.7500,3.7500,"26,519","Jun 23, 2023"
