date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,23.00,24.80,22.65,24.80,24.80,"38,823","Aug 25, 2023"
24-08-2023,22.05,22.75,22.00,22.55,22.55,"17,687","Aug 24, 2023"
23-08-2023,22.05,22.45,21.50,21.65,21.65,"13,334","Aug 23, 2023"
22-08-2023,22.05,22.05,21.75,22.00,22.00,"8,184","Aug 22, 2023"
21-08-2023,21.70,22.35,21.70,22.05,22.05,"7,232","Aug 21, 2023"
18-08-2023,22.20,22.75,20.70,21.60,21.60,"34,158","Aug 18, 2023"
17-08-2023,23.50,23.60,21.85,22.00,22.00,"17,762","Aug 17, 2023"
16-08-2023,22.75,23.90,22.75,23.05,23.05,"22,078","Aug 16, 2023"
14-08-2023,22.30,23.45,22.25,22.70,22.70,"29,358","Aug 14, 2023"
11-08-2023,24.00,24.00,21.80,22.10,22.10,"20,940","Aug 11, 2023"
10-08-2023,21.80,24.00,21.80,22.95,22.95,"80,992","Aug 10, 2023"
09-08-2023,23.00,23.00,21.20,22.10,22.10,"16,055","Aug 09, 2023"
08-08-2023,21.55,22.50,21.50,22.25,22.25,"16,122","Aug 08, 2023"
07-08-2023,23.00,23.00,21.00,21.50,21.50,"20,096","Aug 07, 2023"
04-08-2023,21.50,22.20,21.45,21.75,21.75,"8,982","Aug 04, 2023"
03-08-2023,22.00,22.00,20.75,21.25,21.25,"14,032","Aug 03, 2023"
02-08-2023,22.25,22.25,20.70,21.00,21.00,"14,050","Aug 02, 2023"
01-08-2023,22.00,22.05,20.85,21.60,21.60,"15,055","Aug 01, 2023"
31-07-2023,21.70,21.75,20.75,21.00,21.00,"3,881","Jul 31, 2023"
28-07-2023,21.25,21.45,20.40,20.75,20.75,"5,751","Jul 28, 2023"
27-07-2023,21.25,21.65,21.25,21.25,21.25,"1,051","Jul 27, 2023"
26-07-2023,22.00,22.20,20.70,21.10,21.10,"7,860","Jul 26, 2023"
25-07-2023,22.30,22.30,21.30,21.65,21.65,"16,890","Jul 25, 2023"
24-07-2023,22.00,23.05,21.50,22.25,22.25,"7,287","Jul 24, 2023"
21-07-2023,22.05,22.05,21.60,22.00,22.00,"4,595","Jul 21, 2023"
20-07-2023,22.50,22.65,22.00,22.05,22.05,"27,642","Jul 20, 2023"
19-07-2023,22.05,22.35,21.60,21.60,21.60,"23,489","Jul 19, 2023"
18-07-2023,22.75,22.75,21.25,22.00,22.00,"4,996","Jul 18, 2023"
17-07-2023,22.35,22.50,22.30,22.35,22.35,"4,935","Jul 17, 2023"
14-07-2023,23.25,23.40,21.75,22.35,22.35,"8,921","Jul 14, 2023"
13-07-2023,22.80,23.45,22.30,22.90,22.90,"4,843","Jul 13, 2023"
12-07-2023,23.85,23.95,22.60,22.80,22.80,"9,120","Jul 12, 2023"
11-07-2023,23.15,23.85,23.15,23.35,23.35,"11,062","Jul 11, 2023"
10-07-2023,23.50,24.15,23.25,23.70,23.70,"10,511","Jul 10, 2023"
07-07-2023,24.60,25.20,24.00,24.10,24.10,849,"Jul 07, 2023"
06-07-2023,23.55,24.70,23.05,24.60,24.60,"6,820","Jul 06, 2023"
05-07-2023,24.90,24.95,23.40,23.55,23.55,"3,392","Jul 05, 2023"
04-07-2023,25.50,25.50,23.50,24.00,24.00,"11,844","Jul 04, 2023"
03-07-2023,24.00,24.45,23.35,24.45,24.45,"7,777","Jul 03, 2023"
30-06-2023,22.55,23.30,22.20,23.30,23.30,"12,674","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,23.45,23.45,22.00,22.25,22.25,"9,191","Jun 27, 2023"
26-06-2023,23.60,23.60,22.60,22.65,22.65,"12,333","Jun 26, 2023"
23-06-2023,23.85,23.95,23.00,23.10,23.10,"1,067","Jun 23, 2023"
22-06-2023,23.75,24.20,23.00,23.45,23.45,"3,205","Jun 22, 2023"
21-06-2023,24.00,24.00,24.00,24.00,24.00,-,"Jun 21, 2023"
20-06-2023,24.50,24.85,23.60,24.00,24.00,"15,171","Jun 20, 2023"
19-06-2023,25.85,25.90,24.55,24.80,24.80,"12,322","Jun 19, 2023"
16-06-2023,24.50,25.95,24.50,25.85,25.85,"21,599","Jun 16, 2023"
15-06-2023,24.75,25.95,24.75,24.95,24.95,"25,694","Jun 15, 2023"
14-06-2023,23.70,24.90,23.70,24.75,24.75,"18,682","Jun 14, 2023"
13-06-2023,23.55,24.70,23.55,23.75,23.75,"15,060","Jun 13, 2023"
12-06-2023,24.85,24.85,23.85,24.25,24.25,"1,493","Jun 12, 2023"
09-06-2023,24.20,24.85,23.90,23.95,23.95,"5,925","Jun 09, 2023"
