date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,48.35,49.35,47.95,49.05,49.05,"5,457,919","Aug 25, 2023"
24-08-2023,47.80,48.50,47.40,48.10,48.10,"4,583,853","Aug 24, 2023"
23-08-2023,47.80,48.40,47.40,47.65,47.65,"2,858,126","Aug 23, 2023"
22-08-2023,48.00,49.00,47.60,47.75,47.75,"4,257,457","Aug 22, 2023"
21-08-2023,48.45,49.00,47.60,47.75,47.75,"3,696,307","Aug 21, 2023"
18-08-2023,49.10,49.60,47.60,48.20,48.20,"5,971,511","Aug 18, 2023"
17-08-2023,51.00,51.00,48.90,49.00,49.00,"7,062,918","Aug 17, 2023"
16-08-2023,50.50,52.25,50.25,51.65,51.65,"3,786,319","Aug 16, 2023"
14-08-2023,51.00,51.15,49.90,50.55,50.55,"2,560,844","Aug 14, 2023"
11-08-2023,50.40,51.30,50.35,50.90,50.90,"2,195,425","Aug 11, 2023"
10-08-2023,50.00,51.65,50.00,50.35,50.35,"3,365,576","Aug 10, 2023"
09-08-2023,51.00,51.30,49.60,50.35,50.35,"6,089,259","Aug 09, 2023"
08-08-2023,53.80,53.80,51.15,51.60,51.60,"6,930,700","Aug 08, 2023"
07-08-2023,51.75,54.95,50.90,53.30,53.30,"15,148,835","Aug 07, 2023"
04-08-2023,50.85,51.40,50.00,50.75,50.75,"3,991,555","Aug 04, 2023"
03-08-2023,50.40,51.20,49.50,50.40,50.40,"3,790,377","Aug 03, 2023"
02-08-2023,51.20,51.60,48.80,49.85,49.85,"6,582,622","Aug 02, 2023"
01-08-2023,51.65,51.90,50.60,51.10,51.10,"4,207,530","Aug 01, 2023"
31-07-2023,52.00,52.60,51.00,51.45,51.45,"7,674,595","Jul 31, 2023"
28-07-2023,48.95,51.65,48.60,51.25,51.25,"14,506,626","Jul 28, 2023"
27-07-2023,49.95,50.45,48.00,48.15,48.15,"8,765,735","Jul 27, 2023"
26-07-2023,52.00,52.20,49.90,50.10,50.10,"8,829,772","Jul 26, 2023"
25-07-2023,52.50,53.85,48.75,51.20,51.20,"31,533,256","Jul 25, 2023"
24-07-2023,52.95,56.30,50.20,51.30,51.30,"115,622,544","Jul 24, 2023"
21-07-2023,40.00,48.00,37.20,48.00,48.00,"265,460,620","Jul 21, 2023"
