date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,52.40,53.90,52.15,52.70,52.70,"38,962","Aug 25, 2023"
24-08-2023,52.00,53.85,51.00,53.00,53.00,"97,728","Aug 24, 2023"
23-08-2023,51.20,52.80,51.20,51.95,51.95,"50,150","Aug 23, 2023"
22-08-2023,52.00,52.20,51.40,51.70,51.70,"42,201","Aug 22, 2023"
21-08-2023,50.65,51.95,50.50,51.50,51.50,"45,672","Aug 21, 2023"
18-08-2023,51.00,51.85,50.80,51.20,51.20,"30,237","Aug 18, 2023"
17-08-2023,51.00,52.00,50.80,50.95,50.95,"37,921","Aug 17, 2023"
16-08-2023,52.50,52.50,51.05,51.50,51.50,"30,739","Aug 16, 2023"
14-08-2023,53.50,53.50,51.50,51.70,51.70,"68,267","Aug 14, 2023"
11-08-2023,53.65,53.65,52.65,52.95,52.95,"51,833","Aug 11, 2023"
10-08-2023,54.50,54.50,53.05,53.10,53.10,"44,799","Aug 10, 2023"
09-08-2023,53.55,54.10,53.15,53.60,53.60,"31,664","Aug 09, 2023"
08-08-2023,54.55,54.55,53.25,53.45,53.45,"39,182","Aug 08, 2023"
07-08-2023,54.00,54.90,53.55,53.75,53.75,"61,737","Aug 07, 2023"
04-08-2023,54.90,54.90,53.35,53.90,53.90,"70,220","Aug 04, 2023"
03-08-2023,53.60,55.00,53.50,53.70,53.70,"61,039","Aug 03, 2023"
02-08-2023,55.70,55.70,53.65,54.10,54.10,"141,569","Aug 02, 2023"
01-08-2023,55.00,57.50,53.75,56.30,56.30,"561,904","Aug 01, 2023"
31-07-2023,54.00,55.95,53.10,54.65,54.65,"149,666","Jul 31, 2023"
28-07-2023,53.65,53.70,52.70,53.00,53.00,"27,530","Jul 28, 2023"
27-07-2023,54.00,54.00,53.05,53.10,53.10,"29,666","Jul 27, 2023"
26-07-2023,53.90,54.00,52.95,53.25,53.25,"40,724","Jul 26, 2023"
25-07-2023,53.35,54.25,52.75,52.90,52.90,"40,711","Jul 25, 2023"
24-07-2023,54.40,54.40,53.25,53.35,53.35,"38,499","Jul 24, 2023"
21-07-2023,54.15,54.90,53.75,54.20,54.20,"41,304","Jul 21, 2023"
20-07-2023,53.95,54.90,53.35,53.70,53.70,"58,072","Jul 20, 2023"
19-07-2023,53.35,54.45,53.00,53.95,53.95,"68,896","Jul 19, 2023"
18-07-2023,53.80,53.90,52.95,53.15,53.15,"42,629","Jul 18, 2023"
17-07-2023,54.10,54.10,52.90,53.05,53.05,"76,970","Jul 17, 2023"
14-07-2023,54.50,54.50,52.20,53.25,53.25,"51,512","Jul 14, 2023"
13-07-2023,54.25,55.10,53.25,53.70,53.70,"57,796","Jul 13, 2023"
