date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,852.00","2,920.00","2,833.70","2,858.40","2,858.40",519,"Aug 25, 2023"
24-08-2023,"2,841.05","2,937.90","2,841.05","2,892.45","2,892.45","1,029","Aug 24, 2023"
23-08-2023,"2,882.00","2,883.00","2,815.55","2,846.35","2,846.35",698,"Aug 23, 2023"
22-08-2023,"2,860.05","2,880.00","2,838.00","2,854.80","2,854.80",299,"Aug 22, 2023"
21-08-2023,"2,900.00","2,924.70","2,828.00","2,838.20","2,838.20","1,405","Aug 21, 2023"
18-08-2023,"2,875.00","2,950.00","2,864.80","2,903.55","2,903.55",443,"Aug 18, 2023"
17-08-2023,"2,943.85","2,943.85","2,855.20","2,874.35","2,874.35",337,"Aug 17, 2023"
16-08-2023,"2,907.95","2,957.95","2,881.10","2,917.30","2,917.30",880,"Aug 16, 2023"
14-08-2023,"2,791.45","2,989.95","2,766.00","2,907.95","2,907.95","3,356","Aug 14, 2023"
11-08-2023,"2,801.95","2,801.95","2,750.00","2,763.80","2,763.80",305,"Aug 11, 2023"
10-08-2023,"2,756.55","2,794.00","2,729.95","2,774.90","2,774.90",488,"Aug 10, 2023"
09-08-2023,"2,768.00","2,781.60","2,746.50","2,766.60","2,766.60",462,"Aug 09, 2023"
08-08-2023,"2,802.95","2,804.05","2,744.05","2,763.65","2,763.65",243,"Aug 08, 2023"
07-08-2023,"2,829.95","2,855.00","2,700.00","2,748.70","2,748.70","1,337","Aug 07, 2023"
04-08-2023,"2,936.00","2,936.00","2,766.00","2,797.95","2,797.95","1,095","Aug 04, 2023"
03-08-2023,"2,782.75","2,789.80","2,716.50","2,726.80","2,726.80",690,"Aug 03, 2023"
02-08-2023,"2,804.60","2,824.70","2,745.05","2,754.90","2,754.90",484,"Aug 02, 2023"
01-08-2023,"2,800.00","2,857.45","2,789.00","2,804.60","2,804.60",814,"Aug 01, 2023"
31-07-2023,"2,765.10","2,776.25","2,754.15","2,773.85","2,773.85",285,"Jul 31, 2023"
28-07-2023,"2,779.25","2,795.00","2,741.05","2,749.20","2,749.20",665,"Jul 28, 2023"
27-07-2023,"2,830.00","2,830.00","2,755.20","2,777.80","2,777.80",275,"Jul 27, 2023"
26-07-2023,"2,800.10","2,837.90","2,760.00","2,785.30","2,785.30",478,"Jul 26, 2023"
25-07-2023,"2,861.00","2,861.00","2,780.00","2,799.20","2,799.20",554,"Jul 25, 2023"
24-07-2023,"2,838.00","2,860.60","2,800.00","2,853.70","2,853.70",435,"Jul 24, 2023"
21-07-2023,"2,831.90","2,837.75","2,773.15","2,810.35","2,810.35",455,"Jul 21, 2023"
20-07-2023,"2,807.00","2,840.00","2,807.00","2,809.70","2,809.70",222,"Jul 20, 2023"
19-07-2023,"2,850.00","2,881.90","2,802.65","2,820.75","2,820.75",485,"Jul 19, 2023"
18-07-2023,"2,870.00","2,871.00","2,827.30","2,853.45","2,853.45",216,"Jul 18, 2023"
