date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,2.1000,2.2500,2.1000,2.2000,2.2000,"26,464","Aug 25, 2023"
24-08-2023,2.1500,2.3000,2.1500,2.2000,2.2000,"4,161","Aug 24, 2023"
23-08-2023,2.3500,2.3500,2.1500,2.2000,2.2000,"73,303","Aug 23, 2023"
22-08-2023,2.2500,2.3000,2.2500,2.2500,2.2500,"47,226","Aug 22, 2023"
21-08-2023,2.1000,2.2000,2.0000,2.2000,2.2000,"91,353","Aug 21, 2023"
18-08-2023,2.1000,2.1000,2.1000,2.1000,2.1000,"40,450","Aug 18, 2023"
17-08-2023,2.2000,2.2000,2.2000,2.2000,2.2000,"65,625","Aug 17, 2023"
16-08-2023,2.5000,2.5000,2.3000,2.3000,2.3000,"33,026","Aug 16, 2023"
14-08-2023,2.5500,2.5500,2.3500,2.4000,2.4000,"57,448","Aug 14, 2023"
11-08-2023,2.3500,2.4500,2.3000,2.4500,2.4500,"50,353","Aug 11, 2023"
10-08-2023,2.4500,2.5500,2.3500,2.3500,2.3500,"22,406","Aug 10, 2023"
09-08-2023,2.4000,2.5000,2.4000,2.4500,2.4500,"9,021","Aug 09, 2023"
08-08-2023,2.5000,2.5500,2.3500,2.4000,2.4000,"54,953","Aug 08, 2023"
07-08-2023,2.3500,2.4500,2.3500,2.4500,2.4500,"75,487","Aug 07, 2023"
04-08-2023,2.3500,2.3500,2.2000,2.3500,2.3500,"11,748","Aug 04, 2023"
03-08-2023,2.1500,2.2500,2.1500,2.2500,2.2500,"5,795","Aug 03, 2023"
02-08-2023,2.1000,2.2500,2.1000,2.1500,2.1500,"39,904","Aug 02, 2023"
01-08-2023,2.1000,2.2000,2.1000,2.1500,2.1500,"38,953","Aug 01, 2023"
31-07-2023,2.2000,2.2000,2.2000,2.2000,2.2000,220,"Jul 31, 2023"
28-07-2023,2.3000,2.3000,2.3000,2.3000,2.3000,-,"Jul 28, 2023"
27-07-2023,2.3000,2.3000,2.3000,2.3000,2.3000,-,"Jul 27, 2023"
26-07-2023,2.3000,2.3000,2.3000,2.3000,2.3000,-,"Jul 26, 2023"
25-07-2023,2.3000,2.3000,2.3000,2.3000,2.3000,-,"Jul 25, 2023"
24-07-2023,2.3000,2.3000,2.3000,2.3000,2.3000,160,"Jul 24, 2023"
21-07-2023,2.4000,2.4000,2.4000,2.4000,2.4000,-,"Jul 21, 2023"
20-07-2023,2.4000,2.4000,2.4000,2.4000,2.4000,-,"Jul 20, 2023"
19-07-2023,2.4000,2.4000,2.4000,2.4000,2.4000,-,"Jul 19, 2023"
18-07-2023,2.4000,2.4000,2.4000,2.4000,2.4000,-,"Jul 18, 2023"
17-07-2023,2.4000,2.4000,2.4000,2.4000,2.4000,"18,550","Jul 17, 2023"
14-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 14, 2023"
13-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 13, 2023"
12-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 12, 2023"
11-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 11, 2023"
10-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 10, 2023"
07-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 07, 2023"
06-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 06, 2023"
05-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 05, 2023"
04-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,-,"Jul 04, 2023"
03-07-2023,2.5000,2.5000,2.5000,2.5000,2.5000,"11,450","Jul 03, 2023"
30-06-2023,2.6000,2.6000,2.6000,2.6000,2.6000,-,"Jun 30, 2023"
28-06-2023,2.6000,2.6000,2.6000,2.6000,2.6000,-,"Jun 28, 2023"
27-06-2023,2.6000,2.6000,2.6000,2.6000,2.6000,-,"Jun 27, 2023"
