date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"6,005,745","Aug 25, 2023"
24-08-2023,0.5000,0.5000,0.4000,0.4500,0.4500,"35,815,510","Aug 24, 2023"
23-08-2023,0.4500,0.5000,0.4500,0.5000,0.5000,"47,971,945","Aug 23, 2023"
22-08-2023,0.4000,0.4500,0.4000,0.4500,0.4500,"32,004,695","Aug 22, 2023"
21-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"12,244,192","Aug 21, 2023"
18-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"6,616,934","Aug 18, 2023"
17-08-2023,0.4500,0.4500,0.3500,0.4000,0.4000,"13,858,149","Aug 17, 2023"
16-08-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"6,360,628","Aug 16, 2023"
14-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,625,296","Aug 14, 2023"
11-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,395,672","Aug 11, 2023"
10-08-2023,0.4000,0.4500,0.4000,0.4500,0.4500,"4,968,356","Aug 10, 2023"
09-08-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"4,931,930","Aug 09, 2023"
08-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,829,325","Aug 08, 2023"
07-08-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,673,890","Aug 07, 2023"
04-08-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,672,944","Aug 04, 2023"
03-08-2023,0.4500,0.4500,0.4000,0.4500,0.4500,"4,835,609","Aug 03, 2023"
02-08-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"7,074,325","Aug 02, 2023"
01-08-2023,0.4000,0.4500,0.3500,0.4500,0.4500,"11,765,139","Aug 01, 2023"
31-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"4,685,461","Jul 31, 2023"
28-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,082,803","Jul 28, 2023"
27-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,464,114","Jul 27, 2023"
26-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"3,799,112","Jul 26, 2023"
25-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,430,254","Jul 25, 2023"
24-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,422,401","Jul 24, 2023"
21-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"4,085,494","Jul 21, 2023"
20-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,279,685","Jul 20, 2023"
19-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"4,756,125","Jul 19, 2023"
18-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,573,326","Jul 18, 2023"
17-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"4,136,630","Jul 17, 2023"
14-07-2023,0.4000,0.4500,0.4000,0.4500,0.4500,"4,339,591","Jul 14, 2023"
13-07-2023,0.4000,0.4500,0.4000,0.4500,0.4500,"5,171,092","Jul 13, 2023"
12-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,539,269","Jul 12, 2023"
11-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"4,003,106","Jul 11, 2023"
10-07-2023,0.4500,0.4500,0.4000,0.4500,0.4500,"5,825,633","Jul 10, 2023"
07-07-2023,0.4000,0.4500,0.4000,0.4500,0.4500,"5,167,393","Jul 07, 2023"
06-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,413,880","Jul 06, 2023"
05-07-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"4,764,929","Jul 05, 2023"
04-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"4,186,540","Jul 04, 2023"
03-07-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"5,208,302","Jul 03, 2023"
30-06-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,624,392","Jun 30, 2023"
28-06-2023,0.4000,0.4000,0.4000,0.4000,0.4000,-,"Jun 28, 2023"
27-06-2023,0.4500,0.4500,0.4000,0.4000,0.4000,"5,351,494","Jun 27, 2023"
26-06-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"3,976,056","Jun 26, 2023"
23-06-2023,0.4000,0.4500,0.4000,0.4000,0.4000,"4,412,696","Jun 23, 2023"
