date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,86.90,89.65,84.20,85.35,85.35,"206,750","Aug 25, 2023"
24-08-2023,82.60,91.40,82.00,87.35,87.35,"831,928","Aug 24, 2023"
23-08-2023,80.90,82.95,79.85,81.50,81.50,"89,998","Aug 23, 2023"
22-08-2023,79.65,81.00,79.45,80.00,80.00,"83,610","Aug 22, 2023"
21-08-2023,78.80,80.40,78.30,78.95,78.95,"59,617","Aug 21, 2023"
18-08-2023,79.30,80.45,78.50,78.75,78.75,"34,566","Aug 18, 2023"
17-08-2023,80.95,81.15,79.20,79.75,79.75,"52,042","Aug 17, 2023"
16-08-2023,81.15,81.80,80.55,80.65,80.65,"32,757","Aug 16, 2023"
14-08-2023,84.30,84.30,80.30,81.15,81.15,"47,039","Aug 14, 2023"
11-08-2023,83.40,85.10,83.05,83.70,83.70,"111,020","Aug 11, 2023"
10-08-2023,82.90,84.30,81.85,83.40,83.40,"110,001","Aug 10, 2023"
09-08-2023,80.05,83.00,80.05,82.10,82.10,"83,791","Aug 09, 2023"
08-08-2023,82.45,82.45,80.55,80.90,80.90,"23,172","Aug 08, 2023"
07-08-2023,82.30,83.00,79.90,81.50,81.50,"85,470","Aug 07, 2023"
04-08-2023,80.60,82.00,80.05,81.25,81.25,"56,210","Aug 04, 2023"
03-08-2023,79.90,80.95,78.80,80.20,80.20,"66,821","Aug 03, 2023"
02-08-2023,80.40,81.05,78.40,79.45,79.45,"61,452","Aug 02, 2023"
01-08-2023,83.45,83.45,78.70,79.00,79.00,"149,284","Aug 01, 2023"
31-07-2023,82.45,83.00,81.20,81.60,81.60,"35,691","Jul 31, 2023"
28-07-2023,82.70,82.70,81.00,81.35,81.35,"34,503","Jul 28, 2023"
27-07-2023,81.85,83.90,81.10,81.55,81.55,"51,101","Jul 27, 2023"
26-07-2023,81.20,82.45,81.20,81.75,81.75,"30,212","Jul 26, 2023"
25-07-2023,81.75,82.45,81.00,81.20,81.20,"48,174","Jul 25, 2023"
24-07-2023,83.20,84.50,80.45,81.40,81.40,"72,330","Jul 24, 2023"
21-07-2023,83.45,85.00,82.20,82.95,82.95,"90,505","Jul 21, 2023"
20-07-2023,82.10,87.45,82.05,83.45,83.45,"435,907","Jul 20, 2023"
19-07-2023,82.55,83.70,81.10,82.05,82.05,"38,647","Jul 19, 2023"
18-07-2023,82.05,83.35,81.00,82.20,82.20,"57,633","Jul 18, 2023"
17-07-2023,82.00,84.75,81.70,82.80,82.80,"137,273","Jul 17, 2023"
14-07-2023,82.70,82.70,80.90,81.45,81.45,"45,838","Jul 14, 2023"
13-07-2023,82.75,85.35,81.50,81.85,81.85,"162,466","Jul 13, 2023"
12-07-2023,81.95,85.20,81.70,82.65,82.65,"116,018","Jul 12, 2023"
11-07-2023,80.80,82.90,80.40,81.15,81.15,"79,021","Jul 11, 2023"
10-07-2023,83.95,83.95,80.10,80.60,80.60,"64,386","Jul 10, 2023"
07-07-2023,84.50,85.10,80.90,83.15,83.15,"201,119","Jul 07, 2023"
06-07-2023,75.10,89.70,74.75,85.30,85.30,"1,071,528","Jul 06, 2023"
05-07-2023,75.05,77.50,74.45,74.75,74.75,"44,960","Jul 05, 2023"
04-07-2023,76.30,77.55,75.00,75.50,75.50,"28,326","Jul 04, 2023"
03-07-2023,77.00,78.50,75.30,77.70,77.70,"52,554","Jul 03, 2023"
30-06-2023,74.90,77.10,74.90,76.30,76.30,"53,282","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,72.80,76.45,72.80,75.00,75.00,"58,129","Jun 27, 2023"
26-06-2023,73.50,74.45,72.15,72.65,72.65,"40,564","Jun 26, 2023"
23-06-2023,75.90,75.95,73.50,73.95,73.95,"30,502","Jun 23, 2023"
22-06-2023,77.90,78.35,74.35,75.65,75.65,"55,053","Jun 22, 2023"
21-06-2023,76.95,80.75,76.10,77.45,77.45,"66,247","Jun 21, 2023"
20-06-2023,76.55,78.00,76.00,76.25,76.25,"32,048","Jun 20, 2023"
19-06-2023,77.35,79.00,75.50,75.85,75.85,"68,593","Jun 19, 2023"
16-06-2023,78.15,78.35,77.00,77.35,77.35,"37,303","Jun 16, 2023"
15-06-2023,78.00,80.60,77.15,77.85,77.85,"107,200","Jun 15, 2023"
14-06-2023,78.90,79.30,76.80,77.25,77.25,"33,269","Jun 14, 2023"
13-06-2023,78.00,81.20,78.00,78.55,78.55,"116,157","Jun 13, 2023"
12-06-2023,76.05,80.25,76.00,77.60,77.60,"105,097","Jun 12, 2023"
09-06-2023,77.35,77.70,75.90,76.20,76.20,"43,653","Jun 09, 2023"
08-06-2023,79.90,80.50,76.35,76.65,76.65,"95,548","Jun 08, 2023"
07-06-2023,76.95,81.60,76.10,79.35,79.35,"376,988","Jun 07, 2023"
06-06-2023,71.80,78.45,71.00,76.00,76.00,"443,613","Jun 06, 2023"
05-06-2023,69.55,71.90,68.60,71.05,71.05,"153,336","Jun 05, 2023"
02-06-2023,68.25,70.00,68.25,68.90,68.90,"46,163","Jun 02, 2023"
01-06-2023,69.25,70.00,67.10,68.25,68.25,"34,113","Jun 01, 2023"
31-05-2023,69.85,70.45,67.95,68.60,68.60,"27,664","May 31, 2023"
30-05-2023,69.90,71.05,69.05,70.20,70.20,"49,769","May 30, 2023"
29-05-2023,72.90,72.90,69.00,69.30,69.30,"27,761","May 29, 2023"
26-05-2023,69.25,69.60,68.40,68.70,68.70,"15,091","May 26, 2023"
25-05-2023,69.70,70.90,69.05,69.60,69.60,"70,284","May 25, 2023"
24-05-2023,67.55,69.60,67.30,68.60,68.60,"27,910","May 24, 2023"
23-05-2023,68.20,68.70,67.30,67.65,67.65,"21,561","May 23, 2023"
22-05-2023,68.00,68.55,67.20,68.20,68.20,"17,583","May 22, 2023"
19-05-2023,68.95,68.95,67.45,68.25,68.25,"22,628","May 19, 2023"
18-05-2023,69.50,70.50,67.70,67.95,67.95,"53,224","May 18, 2023"
17-05-2023,69.95,69.95,68.00,68.25,68.25,"13,251","May 17, 2023"
16-05-2023,71.35,71.35,68.55,68.75,68.75,"16,983","May 16, 2023"
15-05-2023,68.70,69.85,68.20,68.70,68.70,"9,914","May 15, 2023"
12-05-2023,69.70,69.70,68.20,68.70,68.70,"21,677","May 12, 2023"
11-05-2023,69.70,69.70,68.20,68.95,68.95,"17,892","May 11, 2023"
