date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,323.40,324.65,317.00,317.80,317.80,"467,430","Aug 25, 2023"
24-08-2023,322.55,329.00,320.05,324.90,324.90,"949,829","Aug 24, 2023"
23-08-2023,324.10,325.50,318.05,319.20,319.20,"410,193","Aug 23, 2023"
22-08-2023,317.95,327.00,316.00,323.35,323.35,"1,039,246","Aug 22, 2023"
21-08-2023,313.40,322.50,312.90,317.95,317.95,"718,649","Aug 21, 2023"
18-08-2023,316.60,320.90,310.00,311.95,311.95,"744,395","Aug 18, 2023"
17-08-2023,319.30,322.70,315.15,316.25,316.25,"347,555","Aug 17, 2023"
16-08-2023,325.00,328.85,317.00,319.25,319.25,"771,271","Aug 16, 2023"
14-08-2023,327.50,335.00,321.30,328.25,328.25,"792,974","Aug 14, 2023"
11-08-2023,336.60,338.10,324.10,328.50,328.50,"817,317","Aug 11, 2023"
10-08-2023,334.00,339.50,332.80,335.65,335.65,"1,304,475","Aug 10, 2023"
09-08-2023,335.50,335.70,329.55,333.85,333.85,"961,695","Aug 09, 2023"
08-08-2023,325.60,336.35,325.00,334.10,334.10,"1,725,167","Aug 08, 2023"
07-08-2023,325.00,331.50,321.05,324.20,324.20,"1,557,637","Aug 07, 2023"
04-08-2023,333.00,344.90,320.00,321.20,321.20,"5,936,585","Aug 04, 2023"
03-08-2023,326.10,337.80,323.50,330.45,330.45,"1,261,116","Aug 03, 2023"
02-08-2023,326.60,332.00,318.10,325.30,325.30,"1,770,591","Aug 02, 2023"
01-08-2023,323.50,333.70,321.50,326.00,326.00,"1,441,508","Aug 01, 2023"
31-07-2023,317.75,323.40,315.00,322.05,322.05,"838,809","Jul 31, 2023"
28-07-2023,319.00,323.95,313.05,316.20,316.20,"834,824","Jul 28, 2023"
27-07-2023,312.45,320.05,312.05,319.20,319.20,"1,032,890","Jul 27, 2023"
26-07-2023,315.40,317.00,310.00,311.15,311.15,"564,103","Jul 26, 2023"
25-07-2023,320.95,323.00,313.00,314.60,314.60,"663,492","Jul 25, 2023"
24-07-2023,321.00,325.15,315.95,319.40,319.40,"882,558","Jul 24, 2023"
21-07-2023,321.00,326.85,318.45,319.95,319.95,"861,345","Jul 21, 2023"
20-07-2023,322.50,327.95,318.00,321.60,321.60,"3,458,980","Jul 20, 2023"
19-07-2023,305.30,323.00,305.05,319.80,319.80,"4,487,748","Jul 19, 2023"
18-07-2023,311.00,314.35,305.00,305.60,305.60,"951,742","Jul 18, 2023"
17-07-2023,304.45,312.00,304.45,310.05,310.05,"1,666,515","Jul 17, 2023"
14-07-2023,301.20,308.80,300.00,302.85,302.85,"743,317","Jul 14, 2023"
13-07-2023,303.00,306.90,294.55,300.45,300.45,"810,021","Jul 13, 2023"
12-07-2023,304.30,307.40,300.10,301.75,301.75,"910,366","Jul 12, 2023"
11-07-2023,309.80,310.90,301.90,303.30,303.30,"1,178,396","Jul 11, 2023"
10-07-2023,295.25,312.50,295.25,307.50,307.50,"4,791,632","Jul 10, 2023"
07-07-2023,286.90,293.60,283.05,290.80,290.80,"1,432,979","Jul 07, 2023"
06-07-2023,285.25,295.00,283.55,286.70,286.70,"2,159,292","Jul 06, 2023"
05-07-2023,267.50,288.90,267.50,285.55,285.55,"4,768,695","Jul 05, 2023"
04-07-2023,270.40,271.85,264.80,266.85,266.85,"905,834","Jul 04, 2023"
03-07-2023,262.00,272.00,262.00,270.35,270.35,"1,280,528","Jul 03, 2023"
30-06-2023,263.30,265.60,260.40,260.95,260.95,"608,246","Jun 30, 2023"
28-06-2023,263.50,263.50,263.50,263.50,263.50,-,"Jun 28, 2023"
27-06-2023,263.00,268.00,261.55,263.50,263.50,"643,532","Jun 27, 2023"
26-06-2023,262.30,266.00,258.55,261.60,261.60,"752,844","Jun 26, 2023"
23-06-2023,268.10,270.60,261.35,262.10,262.10,"707,579","Jun 23, 2023"
22-06-2023,268.30,276.00,267.00,268.00,268.00,"1,259,579","Jun 22, 2023"
21-06-2023,266.30,272.55,266.05,267.80,267.80,"732,171","Jun 21, 2023"
20-06-2023,265.65,269.35,261.35,266.30,266.30,"737,652","Jun 20, 2023"
19-06-2023,269.30,272.00,265.00,265.65,265.65,"623,210","Jun 19, 2023"
16-06-2023,266.75,272.80,264.25,269.00,269.00,"1,164,624","Jun 16, 2023"
16-06-2023,5 Dividend,,,,,,"Jun 16, 2023"
15-06-2023,270.85,274.90,264.80,266.50,261.50,"1,102,011","Jun 15, 2023"
14-06-2023,269.50,274.65,269.50,270.50,265.42,"504,993","Jun 14, 2023"
13-06-2023,273.05,275.60,268.20,268.75,263.71,"702,226","Jun 13, 2023"
12-06-2023,273.80,277.40,271.15,273.70,268.56,"495,216","Jun 12, 2023"
09-06-2023,272.25,275.75,269.70,272.20,267.09,"481,044","Jun 09, 2023"
08-06-2023,281.95,281.95,270.10,271.65,266.55,"1,161,664","Jun 08, 2023"
07-06-2023,271.00,284.00,268.20,281.35,276.07,"2,689,450","Jun 07, 2023"
06-06-2023,264.30,273.00,259.00,269.60,264.54,"1,675,145","Jun 06, 2023"
05-06-2023,270.00,275.00,263.00,263.85,258.90,"1,846,316","Jun 05, 2023"
02-06-2023,263.00,275.50,260.10,268.05,263.02,"3,068,037","Jun 02, 2023"
01-06-2023,253.65,264.10,253.15,260.05,255.17,"2,668,984","Jun 01, 2023"
31-05-2023,250.00,257.55,247.85,252.65,247.91,"4,447,603","May 31, 2023"
