date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,449.00,449.00,426.85,427.50,427.50,112,"Aug 25, 2023"
24-08-2023,425.00,436.80,424.95,430.05,430.05,"1,181","Aug 24, 2023"
23-08-2023,427.95,427.95,415.00,416.00,416.00,241,"Aug 23, 2023"
22-08-2023,433.95,433.95,414.00,415.20,415.20,147,"Aug 22, 2023"
21-08-2023,440.00,446.00,418.05,418.25,418.25,326,"Aug 21, 2023"
18-08-2023,440.00,445.00,430.05,433.00,433.00,329,"Aug 18, 2023"
17-08-2023,425.00,440.00,425.00,434.95,434.95,978,"Aug 17, 2023"
16-08-2023,409.00,424.20,404.00,424.20,424.20,"3,303","Aug 16, 2023"
14-08-2023,395.00,409.00,395.00,404.00,404.00,440,"Aug 14, 2023"
11-08-2023,400.05,405.00,386.60,395.00,395.00,"3,505","Aug 11, 2023"
10-08-2023,400.00,410.00,400.00,405.00,405.00,"1,035","Aug 10, 2023"
09-08-2023,400.00,400.00,395.00,395.45,395.45,409,"Aug 09, 2023"
08-08-2023,401.05,401.05,393.05,395.05,395.05,86,"Aug 08, 2023"
07-08-2023,392.25,420.00,392.25,401.05,401.05,"1,722","Aug 07, 2023"
04-08-2023,401.60,401.60,390.05,400.00,400.00,308,"Aug 04, 2023"
03-08-2023,398.00,404.95,395.00,401.65,401.65,"2,085","Aug 03, 2023"
02-08-2023,381.75,400.40,378.00,398.95,398.95,"3,593","Aug 02, 2023"
01-08-2023,378.25,389.00,378.25,381.35,381.35,323,"Aug 01, 2023"
31-07-2023,374.95,379.00,367.00,378.25,378.25,"1,044","Jul 31, 2023"
28-07-2023,374.15,380.00,356.00,361.25,361.25,942,"Jul 28, 2023"
27-07-2023,374.45,374.45,374.45,374.45,374.45,11,"Jul 27, 2023"
26-07-2023,375.35,385.00,374.15,376.45,376.45,410,"Jul 26, 2023"
25-07-2023,374.00,374.15,374.00,374.15,374.15,42,"Jul 25, 2023"
24-07-2023,380.00,389.50,380.00,380.00,380.00,522,"Jul 24, 2023"
21-07-2023,381.20,389.95,377.00,380.00,380.00,408,"Jul 21, 2023"
20-07-2023,399.00,399.00,373.00,381.20,381.20,"1,240","Jul 20, 2023"
19-07-2023,391.85,400.00,376.10,380.60,380.60,829,"Jul 19, 2023"
18-07-2023,390.00,400.00,375.00,391.90,391.90,"1,990","Jul 18, 2023"
17-07-2023,398.90,398.90,380.00,384.00,384.00,"1,413","Jul 17, 2023"
14-07-2023,382.00,399.95,372.00,399.30,399.30,"7,552","Jul 14, 2023"
13-07-2023,404.00,404.25,385.00,391.55,391.55,"5,194","Jul 13, 2023"
12-07-2023,370.00,385.00,370.00,385.00,385.00,"2,430","Jul 12, 2023"
11-07-2023,356.05,369.90,356.05,366.70,366.70,130,"Jul 11, 2023"
10-07-2023,369.00,377.95,350.00,368.00,368.00,"3,290","Jul 10, 2023"
07-07-2023,360.00,369.20,360.00,360.00,360.00,436,"Jul 07, 2023"
06-07-2023,360.00,370.00,360.00,369.20,369.20,972,"Jul 06, 2023"
05-07-2023,354.00,371.70,350.00,366.40,366.40,881,"Jul 05, 2023"
04-07-2023,357.25,366.90,350.00,354.00,354.00,251,"Jul 04, 2023"
03-07-2023,356.05,371.90,355.50,357.25,357.25,378,"Jul 03, 2023"
30-06-2023,365.00,368.00,355.00,360.00,360.00,357,"Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,372.00,372.70,367.70,371.80,371.80,256,"Jun 27, 2023"
26-06-2023,384.70,384.70,370.00,372.70,372.70,473,"Jun 26, 2023"
23-06-2023,377.90,383.00,377.90,383.00,383.00,805,"Jun 23, 2023"
22-06-2023,364.00,379.00,363.90,377.95,377.95,"2,178","Jun 22, 2023"
21-06-2023,350.35,365.00,350.35,365.00,365.00,"2,349","Jun 21, 2023"
20-06-2023,365.90,365.90,355.00,361.00,361.00,"4,155","Jun 20, 2023"
19-06-2023,348.00,374.90,348.00,360.75,360.75,"1,664","Jun 19, 2023"
16-06-2023,351.30,368.30,351.30,364.55,364.55,518,"Jun 16, 2023"
15-06-2023,355.25,369.65,345.05,351.30,351.30,773,"Jun 15, 2023"
14-06-2023,360.00,360.00,345.00,355.25,355.25,767,"Jun 14, 2023"
13-06-2023,377.70,377.70,362.00,363.10,363.10,535,"Jun 13, 2023"
12-06-2023,396.35,405.00,376.55,377.70,377.70,"1,500","Jun 12, 2023"
09-06-2023,374.00,410.00,363.05,396.35,396.35,"49,681","Jun 09, 2023"
08-06-2023,396.00,396.00,361.45,366.60,366.60,"10,173","Jun 08, 2023"
07-06-2023,321.00,397.95,321.00,395.05,395.05,"55,457","Jun 07, 2023"
