date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,654.55","1,659.90","1,613.00","1,635.75","1,635.75","40,513","Aug 25, 2023"
24-08-2023,"1,634.15","1,651.00","1,617.30","1,645.95","1,645.95","77,171","Aug 24, 2023"
23-08-2023,"1,632.15","1,637.55","1,585.60","1,627.35","1,627.35","70,519","Aug 23, 2023"
22-08-2023,"1,595.90","1,632.00","1,579.00","1,625.90","1,625.90","108,416","Aug 22, 2023"
21-08-2023,"1,580.00","1,602.50","1,575.00","1,595.50","1,595.50","52,837","Aug 21, 2023"
18-08-2023,"1,589.90","1,590.00","1,552.60","1,579.40","1,579.40","57,213","Aug 18, 2023"
18-08-2023,5 Dividend,,,,,,"Aug 18, 2023"
17-08-2023,"1,560.00","1,590.00","1,550.05","1,583.55","1,578.55","101,635","Aug 17, 2023"
16-08-2023,"1,559.15","1,573.00","1,545.00","1,558.95","1,554.03","46,213","Aug 16, 2023"
14-08-2023,"1,542.20","1,573.75","1,510.00","1,559.15","1,554.23","164,144","Aug 14, 2023"
11-08-2023,"1,532.65","1,555.00","1,511.00","1,542.20","1,537.33","101,414","Aug 11, 2023"
10-08-2023,"1,508.40","1,542.00","1,488.10","1,532.65","1,527.81","167,495","Aug 10, 2023"
09-08-2023,"1,476.40","1,507.30","1,461.90","1,500.95","1,496.21","113,760","Aug 09, 2023"
08-08-2023,"1,474.95","1,481.95","1,450.10","1,476.40","1,471.74","48,420","Aug 08, 2023"
07-08-2023,"1,463.00","1,483.95","1,425.00","1,471.10","1,466.46","127,659","Aug 07, 2023"
04-08-2023,"1,438.70","1,472.00","1,418.45","1,461.70","1,457.08","53,831","Aug 04, 2023"
03-08-2023,"1,449.90","1,451.25","1,410.10","1,434.30","1,429.77","35,875","Aug 03, 2023"
02-08-2023,"1,460.00","1,465.95","1,415.05","1,453.25","1,448.66","126,031","Aug 02, 2023"
01-08-2023,"1,466.00","1,466.50","1,450.00","1,458.80","1,454.19","26,638","Aug 01, 2023"
31-07-2023,"1,440.05","1,465.00","1,440.05","1,459.25","1,454.64","92,887","Jul 31, 2023"
28-07-2023,"1,423.60","1,439.85","1,392.75","1,435.60","1,431.07","41,553","Jul 28, 2023"
27-07-2023,"1,422.05","1,426.85","1,394.35","1,416.55","1,412.08","61,480","Jul 27, 2023"
26-07-2023,"1,425.95","1,433.20","1,416.00","1,422.05","1,417.56","23,765","Jul 26, 2023"
25-07-2023,"1,425.05","1,445.95","1,420.10","1,425.70","1,421.20","25,954","Jul 25, 2023"
24-07-2023,"1,447.65","1,447.65","1,425.55","1,440.20","1,435.65","36,779","Jul 24, 2023"
21-07-2023,"1,448.10","1,450.00","1,438.00","1,447.65","1,443.08","18,955","Jul 21, 2023"
20-07-2023,"1,442.55","1,455.00","1,435.10","1,450.30","1,445.72","39,247","Jul 20, 2023"
19-07-2023,"1,430.20","1,443.00","1,428.05","1,435.05","1,430.52","35,735","Jul 19, 2023"
18-07-2023,"1,438.55","1,445.60","1,425.15","1,434.00","1,429.47","37,508","Jul 18, 2023"
17-07-2023,"1,437.95","1,449.00","1,427.10","1,438.55","1,434.01","38,061","Jul 17, 2023"
14-07-2023,"1,432.00","1,449.10","1,430.05","1,437.10","1,432.56","18,449","Jul 14, 2023"
13-07-2023,"1,462.65","1,462.65","1,432.05","1,434.90","1,430.37","25,201","Jul 13, 2023"
12-07-2023,"1,458.45","1,463.20","1,448.65","1,455.05","1,450.46","22,096","Jul 12, 2023"
11-07-2023,"1,460.40","1,471.00","1,445.00","1,458.45","1,453.84","29,337","Jul 11, 2023"
10-07-2023,"1,452.25","1,462.15","1,438.95","1,452.80","1,448.21","29,659","Jul 10, 2023"
07-07-2023,"1,467.00","1,478.80","1,450.00","1,461.35","1,456.74","31,741","Jul 07, 2023"
06-07-2023,"1,488.00","1,488.00","1,464.00","1,471.20","1,466.55","20,189","Jul 06, 2023"
05-07-2023,"1,482.10","1,485.00","1,458.10","1,481.55","1,476.87","53,585","Jul 05, 2023"
04-07-2023,"1,497.00","1,498.80","1,460.00","1,482.05","1,477.37","30,604","Jul 04, 2023"
03-07-2023,"1,485.00","1,496.00","1,476.90","1,488.30","1,483.60","50,227","Jul 03, 2023"
30-06-2023,"1,450.15","1,476.00","1,450.00","1,474.15","1,469.50","64,565","Jun 30, 2023"
28-06-2023,"1,460.65","1,460.65","1,460.65","1,460.65","1,456.04",-,"Jun 28, 2023"
27-06-2023,"1,456.00","1,463.70","1,447.10","1,460.65","1,456.04","22,177","Jun 27, 2023"
26-06-2023,"1,457.60","1,460.00","1,432.10","1,454.35","1,449.76","29,608","Jun 26, 2023"
23-06-2023,"1,460.00","1,461.60","1,435.00","1,451.60","1,447.02","38,999","Jun 23, 2023"
22-06-2023,"1,476.70","1,485.00","1,454.05","1,463.65","1,459.03","39,679","Jun 22, 2023"
21-06-2023,"1,461.00","1,478.00","1,450.45","1,470.70","1,466.06","70,682","Jun 21, 2023"
20-06-2023,"1,446.00","1,463.95","1,442.45","1,454.20","1,449.61","22,036","Jun 20, 2023"
19-06-2023,"1,467.55","1,469.55","1,445.05","1,449.60","1,445.02","39,088","Jun 19, 2023"
16-06-2023,"1,472.70","1,492.95","1,461.00","1,467.55","1,462.92","46,747","Jun 16, 2023"
15-06-2023,"1,469.80","1,478.00","1,452.40","1,464.90","1,460.27","35,199","Jun 15, 2023"
14-06-2023,"1,465.00","1,478.35","1,460.20","1,466.60","1,461.97","36,986","Jun 14, 2023"
13-06-2023,"1,453.35","1,479.00","1,447.05","1,461.40","1,456.79","86,496","Jun 13, 2023"
12-06-2023,"1,426.00","1,450.90","1,413.00","1,449.25","1,444.67","60,900","Jun 12, 2023"
09-06-2023,"1,440.85","1,440.85","1,404.00","1,421.20","1,416.71","45,166","Jun 09, 2023"
08-06-2023,"1,447.80","1,455.00","1,430.00","1,433.40","1,428.87","39,635","Jun 08, 2023"
07-06-2023,"1,434.40","1,457.75","1,412.85","1,441.95","1,437.40","108,505","Jun 07, 2023"
06-06-2023,"1,439.80","1,439.80","1,420.00","1,432.60","1,428.08","24,343","Jun 06, 2023"
