date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,133.00,133.50,133.00,133.50,133.50,200,"Aug 25, 2023"
24-08-2023,133.00,133.00,132.00,133.00,133.00,31,"Aug 24, 2023"
23-08-2023,132.60,132.60,132.00,132.60,132.60,813,"Aug 23, 2023"
22-08-2023,132.00,132.00,130.00,132.00,132.00,585,"Aug 22, 2023"
21-08-2023,130.00,130.00,129.00,130.00,130.00,364,"Aug 21, 2023"
18-08-2023,129.00,131.00,129.00,129.00,129.00,"4,206","Aug 18, 2023"
17-08-2023,129.00,129.00,129.00,129.00,129.00,12,"Aug 17, 2023"
16-08-2023,128.50,128.50,128.50,128.50,128.50,157,"Aug 16, 2023"
14-08-2023,128.50,128.50,126.00,128.50,128.50,"7,308","Aug 14, 2023"
11-08-2023,126.00,126.00,126.00,126.00,126.00,254,"Aug 11, 2023"
10-08-2023,125.00,125.00,125.00,125.00,125.00,30,"Aug 10, 2023"
09-08-2023,126.00,126.00,124.00,126.00,126.00,"2,345","Aug 09, 2023"
08-08-2023,126.00,128.00,126.00,126.00,126.00,"3,475","Aug 08, 2023"
07-08-2023,128.50,128.65,128.00,128.50,128.50,960,"Aug 07, 2023"
04-08-2023,128.50,128.50,128.50,128.50,128.50,"1,281","Aug 04, 2023"
03-08-2023,128.50,129.00,128.50,128.50,128.50,"3,700","Aug 03, 2023"
02-08-2023,131.05,131.05,128.45,131.05,131.05,"3,501","Aug 02, 2023"
01-08-2023,131.05,131.05,131.00,131.05,131.05,"5,844","Aug 01, 2023"
31-07-2023,133.55,133.55,133.55,133.55,133.55,"3,954","Jul 31, 2023"
28-07-2023,136.25,137.00,136.25,136.25,136.25,299,"Jul 28, 2023"
27-07-2023,139.00,140.25,139.00,139.00,139.00,"2,588","Jul 27, 2023"
26-07-2023,148.50,148.50,138.00,141.80,141.80,"4,503","Jul 26, 2023"
25-07-2023,141.75,141.75,140.00,141.75,141.75,"15,857","Jul 25, 2023"
24-07-2023,129.50,135.00,129.50,135.00,135.00,"18,439","Jul 24, 2023"
21-07-2023,131.10,131.10,125.50,128.60,128.60,"3,227","Jul 21, 2023"
20-07-2023,129.90,129.90,125.00,128.50,128.50,"5,843","Jul 20, 2023"
19-07-2023,123.00,127.00,122.00,126.00,126.00,"1,462","Jul 19, 2023"
18-07-2023,122.00,125.20,122.00,123.00,123.00,"3,515","Jul 18, 2023"
17-07-2023,123.00,124.40,120.00,122.00,122.00,"2,311","Jul 17, 2023"
14-07-2023,119.10,123.80,118.00,120.70,120.70,"1,746","Jul 14, 2023"
13-07-2023,114.00,120.00,114.00,119.10,119.10,"5,688","Jul 13, 2023"
12-07-2023,118.00,118.00,114.00,117.45,117.45,"6,745","Jul 12, 2023"
11-07-2023,114.85,115.95,113.00,115.85,115.85,"6,986","Jul 11, 2023"
10-07-2023,113.00,117.00,111.20,114.85,114.85,"4,812","Jul 10, 2023"
07-07-2023,109.40,112.00,108.00,111.85,111.85,"3,768","Jul 07, 2023"
06-07-2023,107.00,109.50,107.00,108.55,108.55,942,"Jul 06, 2023"
05-07-2023,104.80,109.15,104.80,107.00,107.00,"2,192","Jul 05, 2023"
04-07-2023,108.00,108.00,106.00,107.50,107.50,495,"Jul 04, 2023"
03-07-2023,109.00,109.00,105.00,107.90,107.90,"1,170","Jul 03, 2023"
30-06-2023,106.00,106.00,104.00,105.15,105.15,"1,126","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,102.00,105.85,102.00,103.10,103.10,"2,925","Jun 27, 2023"
26-06-2023,102.45,105.95,101.05,105.85,105.85,628,"Jun 26, 2023"
23-06-2023,110.20,110.20,103.50,104.50,104.50,"1,961","Jun 23, 2023"
22-06-2023,112.00,112.00,108.00,108.00,108.00,241,"Jun 22, 2023"
21-06-2023,108.50,109.80,105.50,109.80,109.80,"1,884","Jun 21, 2023"
20-06-2023,104.90,109.80,101.00,108.55,108.55,"2,520","Jun 20, 2023"
19-06-2023,106.90,106.90,100.00,105.15,105.15,"2,686","Jun 19, 2023"
16-06-2023,102.00,104.90,102.00,104.75,104.75,"2,293","Jun 16, 2023"
15-06-2023,103.25,104.90,100.00,104.90,104.90,857,"Jun 15, 2023"
14-06-2023,101.00,103.25,100.10,103.25,103.25,649,"Jun 14, 2023"
13-06-2023,103.00,103.00,101.05,102.25,102.25,"3,596","Jun 13, 2023"
12-06-2023,99.05,103.25,98.10,103.25,103.25,593,"Jun 12, 2023"
09-06-2023,102.00,102.90,100.05,100.05,100.05,626,"Jun 09, 2023"
08-06-2023,98.50,102.00,98.50,102.00,102.00,"1,498","Jun 08, 2023"
07-06-2023,103.50,103.50,98.00,102.90,102.90,"7,757","Jun 07, 2023"
06-06-2023,95.00,99.00,94.00,99.00,99.00,"20,823","Jun 06, 2023"
05-06-2023,100.00,100.00,95.00,95.00,95.00,"6,027","Jun 05, 2023"
02-06-2023,100.00,103.00,99.00,100.00,100.00,"10,249","Jun 02, 2023"
01-06-2023,102.80,103.00,100.00,103.00,103.00,571,"Jun 01, 2023"
31-05-2023,105.15,105.15,102.00,102.80,102.80,"1,526","May 31, 2023"
30-05-2023,102.90,105.90,101.00,102.05,102.05,"7,576","May 30, 2023"
29-05-2023,101.00,102.00,101.00,101.65,101.65,"1,012","May 29, 2023"
26-05-2023,100.90,100.90,97.00,100.70,100.70,"6,960","May 26, 2023"
25-05-2023,99.00,101.00,97.00,100.90,100.90,"3,724","May 25, 2023"
24-05-2023,99.75,99.75,97.00,99.00,99.00,"7,328","May 24, 2023"
23-05-2023,95.05,101.40,95.05,99.75,99.75,730,"May 23, 2023"
22-05-2023,96.50,100.50,96.50,97.50,97.50,973,"May 22, 2023"
19-05-2023,100.65,100.65,97.90,99.00,99.00,252,"May 19, 2023"
18-05-2023,99.00,100.90,96.00,100.65,100.65,566,"May 18, 2023"
17-05-2023,94.55,99.00,93.00,99.00,99.00,802,"May 17, 2023"
16-05-2023,98.50,99.90,97.00,97.00,97.00,"3,020","May 16, 2023"
15-05-2023,94.85,99.75,94.00,97.50,97.50,"2,163","May 15, 2023"
12-05-2023,98.20,98.20,95.50,97.30,97.30,"1,077","May 12, 2023"
11-05-2023,99.90,99.90,90.95,98.20,98.20,"6,212","May 11, 2023"
10-05-2023,95.15,96.00,94.00,95.55,95.55,"2,658","May 10, 2023"
09-05-2023,94.00,95.95,88.35,95.15,95.15,"5,390","May 09, 2023"
08-05-2023,93.70,93.70,91.00,93.00,93.00,"5,360","May 08, 2023"
05-05-2023,93.90,93.90,92.00,93.70,93.70,"1,684","May 05, 2023"
04-05-2023,90.95,92.00,90.00,91.60,91.60,"17,605","May 04, 2023"
03-05-2023,90.55,91.00,90.00,91.00,91.00,"6,351","May 03, 2023"
02-05-2023,88.05,90.90,88.05,90.15,90.15,"5,518","May 02, 2023"
28-04-2023,90.60,90.60,86.10,88.05,88.05,710,"Apr 28, 2023"
27-04-2023,89.90,90.60,85.40,90.60,90.60,912,"Apr 27, 2023"
26-04-2023,87.75,89.95,87.75,89.90,89.90,468,"Apr 26, 2023"
25-04-2023,85.50,86.00,85.50,86.00,86.00,114,"Apr 25, 2023"
24-04-2023,91.00,91.00,85.50,87.00,87.00,"2,854","Apr 24, 2023"
21-04-2023,87.00,90.00,87.00,88.50,88.50,515,"Apr 21, 2023"
20-04-2023,89.00,90.00,87.00,90.00,90.00,569,"Apr 20, 2023"
