date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,235.00,235.45,226.25,227.45,227.45,"546,063","Aug 25, 2023"
24-08-2023,232.95,238.95,232.35,235.85,235.85,"675,858","Aug 24, 2023"
23-08-2023,233.95,236.55,231.05,231.85,231.85,"434,431","Aug 23, 2023"
22-08-2023,231.90,236.55,231.60,233.50,233.50,"464,660","Aug 22, 2023"
21-08-2023,227.55,233.70,226.20,231.10,231.10,"689,810","Aug 21, 2023"
18-08-2023,241.05,242.90,225.65,227.60,227.60,"1,200,452","Aug 18, 2023"
17-08-2023,242.90,245.95,239.25,240.80,240.80,"390,147","Aug 17, 2023"
16-08-2023,241.00,244.45,239.20,242.90,242.90,"680,747","Aug 16, 2023"
14-08-2023,253.40,253.40,240.80,243.00,243.00,"1,868,649","Aug 14, 2023"
11-08-2023,257.50,258.20,250.50,253.75,253.75,"684,947","Aug 11, 2023"
10-08-2023,265.55,267.95,255.00,256.55,256.55,"1,160,063","Aug 10, 2023"
09-08-2023,257.55,269.10,255.80,264.65,264.65,"2,684,206","Aug 09, 2023"
08-08-2023,260.50,263.80,255.75,257.25,257.25,"847,662","Aug 08, 2023"
07-08-2023,253.35,264.95,252.80,259.60,259.60,"1,663,296","Aug 07, 2023"
04-08-2023,257.00,257.50,251.05,252.70,252.70,"1,027,768","Aug 04, 2023"
03-08-2023,248.85,258.50,247.50,255.65,255.65,"2,194,297","Aug 03, 2023"
02-08-2023,243.35,259.25,242.00,248.85,248.85,"7,048,530","Aug 02, 2023"
01-08-2023,239.50,245.40,238.00,243.15,243.15,"1,109,162","Aug 01, 2023"
31-07-2023,240.00,245.95,236.95,238.60,238.60,"1,255,700","Jul 31, 2023"
28-07-2023,246.00,249.00,239.90,241.25,241.25,"2,314,988","Jul 28, 2023"
27-07-2023,233.95,247.60,232.25,244.00,244.00,"4,590,875","Jul 27, 2023"
26-07-2023,234.50,236.80,231.15,232.55,232.55,"787,676","Jul 26, 2023"
