date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,631.20,641.70,631.20,639.85,639.85,"81,877","Aug 25, 2023"
24-08-2023,625.65,642.00,625.65,636.70,636.70,"116,764","Aug 24, 2023"
23-08-2023,642.20,642.20,621.80,627.40,627.40,"90,236","Aug 23, 2023"
22-08-2023,642.00,644.95,632.80,637.90,637.90,"59,798","Aug 22, 2023"
21-08-2023,638.95,644.00,630.00,640.35,640.35,"155,074","Aug 21, 2023"
18-08-2023,638.85,642.00,633.90,638.95,638.95,"70,502","Aug 18, 2023"
17-08-2023,644.80,648.00,635.60,638.85,638.85,"134,111","Aug 17, 2023"
16-08-2023,644.00,645.85,628.75,640.15,640.15,"160,716","Aug 16, 2023"
14-08-2023,654.10,658.00,615.10,639.25,639.25,"328,339","Aug 14, 2023"
11-08-2023,625.00,649.00,621.10,634.75,634.75,"667,305","Aug 11, 2023"
11-08-2023,2.5 Dividend,,,,,,"Aug 11, 2023"
10-08-2023,635.00,635.00,611.10,622.00,619.50,"126,173","Aug 10, 2023"
09-08-2023,640.00,641.00,623.15,628.40,625.87,"76,202","Aug 09, 2023"
08-08-2023,639.00,641.00,626.40,636.55,633.99,"44,209","Aug 08, 2023"
07-08-2023,621.00,644.35,617.05,633.60,631.05,"85,272","Aug 07, 2023"
04-08-2023,624.90,634.45,618.30,624.60,622.09,"105,053","Aug 04, 2023"
03-08-2023,621.00,631.95,611.10,619.35,616.86,"48,839","Aug 03, 2023"
02-08-2023,623.00,633.80,597.10,621.20,618.70,"121,287","Aug 02, 2023"
01-08-2023,627.90,629.15,609.00,623.95,621.44,"40,132","Aug 01, 2023"
31-07-2023,632.50,639.00,616.10,623.55,621.04,"99,149","Jul 31, 2023"
28-07-2023,632.00,634.40,617.50,627.75,625.23,"150,367","Jul 28, 2023"
27-07-2023,605.00,633.30,594.30,624.55,622.04,"386,025","Jul 27, 2023"
26-07-2023,566.00,604.00,566.00,593.00,590.62,"170,485","Jul 26, 2023"
25-07-2023,565.10,582.85,565.00,571.20,568.90,"86,787","Jul 25, 2023"
24-07-2023,562.00,570.90,558.30,563.55,561.28,"70,231","Jul 24, 2023"
21-07-2023,564.20,575.85,551.65,559.95,557.70,"124,216","Jul 21, 2023"
20-07-2023,560.00,564.35,549.00,559.85,557.60,"78,880","Jul 20, 2023"
19-07-2023,558.50,565.25,555.00,556.50,554.26,"31,315","Jul 19, 2023"
18-07-2023,565.00,571.65,554.55,558.50,556.26,"60,209","Jul 18, 2023"
17-07-2023,567.00,572.70,563.25,566.40,564.12,"40,233","Jul 17, 2023"
14-07-2023,568.50,585.00,565.10,569.45,567.16,"65,808","Jul 14, 2023"
13-07-2023,572.80,584.00,564.70,570.05,567.76,"73,473","Jul 13, 2023"
12-07-2023,561.95,572.80,560.00,569.70,567.41,"71,847","Jul 12, 2023"
11-07-2023,565.00,571.65,550.00,556.40,554.16,"94,017","Jul 11, 2023"
10-07-2023,574.60,578.75,558.15,560.60,558.35,"69,653","Jul 10, 2023"
07-07-2023,562.00,577.25,562.00,574.55,572.24,"63,050","Jul 07, 2023"
06-07-2023,560.15,573.00,554.30,570.30,568.01,"88,805","Jul 06, 2023"
05-07-2023,552.75,559.70,550.00,556.05,553.82,"47,836","Jul 05, 2023"
04-07-2023,559.30,562.45,547.45,550.20,547.99,"76,135","Jul 04, 2023"
03-07-2023,570.30,576.85,544.65,553.75,551.52,"83,801","Jul 03, 2023"
30-06-2023,584.95,586.95,560.00,568.40,566.12,"155,653","Jun 30, 2023"
28-06-2023,581.90,581.90,581.90,581.90,579.56,-,"Jun 28, 2023"
27-06-2023,584.55,587.75,576.90,581.90,579.56,"62,678","Jun 27, 2023"
26-06-2023,574.70,587.90,573.40,584.55,582.20,"133,547","Jun 26, 2023"
23-06-2023,563.00,581.05,555.80,573.30,571.00,"206,715","Jun 23, 2023"
22-06-2023,574.00,574.00,557.50,563.30,561.04,"63,464","Jun 22, 2023"
21-06-2023,575.90,576.20,565.55,569.55,567.26,"52,533","Jun 21, 2023"
20-06-2023,576.00,576.90,561.90,572.10,569.80,"148,454","Jun 20, 2023"
19-06-2023,550.00,576.95,547.30,569.55,567.26,"260,363","Jun 19, 2023"
16-06-2023,553.90,555.45,547.00,548.50,546.30,"46,967","Jun 16, 2023"
15-06-2023,543.60,560.15,543.60,552.40,550.18,"173,124","Jun 15, 2023"
14-06-2023,554.70,555.55,545.85,547.60,545.40,"61,530","Jun 14, 2023"
13-06-2023,540.00,558.00,538.00,554.70,552.47,"176,576","Jun 13, 2023"
12-06-2023,539.35,546.95,535.05,538.15,535.99,"83,801","Jun 12, 2023"
09-06-2023,555.65,555.65,535.60,537.65,535.49,"139,903","Jun 09, 2023"
08-06-2023,562.50,563.35,547.30,553.65,551.42,"202,167","Jun 08, 2023"
07-06-2023,557.45,563.00,553.10,558.55,556.30,"182,964","Jun 07, 2023"
06-06-2023,546.90,569.85,543.95,553.70,551.47,"692,636","Jun 06, 2023"
05-06-2023,539.00,549.00,529.00,543.95,541.76,"483,443","Jun 05, 2023"
02-06-2023,516.00,523.95,510.20,521.00,518.91,"181,445","Jun 02, 2023"
01-06-2023,495.00,518.70,494.30,516.10,514.03,"348,504","Jun 01, 2023"
31-05-2023,485.00,501.00,485.00,498.85,496.84,"176,835","May 31, 2023"
30-05-2023,491.85,493.50,485.40,489.10,487.13,"89,320","May 30, 2023"
29-05-2023,500.00,501.60,486.55,490.15,488.18,"179,915","May 29, 2023"
26-05-2023,480.00,498.40,477.30,490.00,488.03,"536,656","May 26, 2023"
25-05-2023,483.00,498.00,475.00,478.30,476.38,"857,025","May 25, 2023"
24-05-2023,464.00,472.50,459.10,465.10,463.23,"139,969","May 24, 2023"
23-05-2023,490.00,490.05,451.55,459.90,458.05,"343,035","May 23, 2023"
22-05-2023,478.60,494.70,473.00,489.95,487.98,"344,290","May 22, 2023"
19-05-2023,470.90,482.05,467.40,478.60,476.68,"155,742","May 19, 2023"
18-05-2023,477.40,480.35,465.80,470.90,469.01,"160,040","May 18, 2023"
17-05-2023,453.45,477.70,449.30,474.30,472.39,"454,904","May 17, 2023"
16-05-2023,455.00,461.00,450.05,452.00,450.18,"66,547","May 16, 2023"
15-05-2023,457.40,461.70,450.65,455.00,453.17,"76,383","May 15, 2023"
12-05-2023,457.75,471.60,454.35,455.55,453.72,"88,051","May 12, 2023"
11-05-2023,457.60,462.45,450.70,455.80,453.97,"142,092","May 11, 2023"
10-05-2023,461.75,463.75,445.35,455.30,453.47,"129,443","May 10, 2023"
09-05-2023,463.75,474.00,457.00,460.15,458.30,"171,745","May 09, 2023"
08-05-2023,465.80,469.90,455.55,463.80,461.94,"119,522","May 08, 2023"
05-05-2023,475.00,487.15,460.50,463.35,461.49,"491,501","May 05, 2023"
04-05-2023,453.50,483.40,451.85,473.55,471.65,"766,043","May 04, 2023"
03-05-2023,439.00,458.00,438.00,449.75,447.94,"142,837","May 03, 2023"
02-05-2023,450.30,459.00,434.80,440.30,438.53,"157,978","May 02, 2023"
28-04-2023,455.05,459.85,447.05,449.95,448.14,"321,791","Apr 28, 2023"
27-04-2023,453.30,457.90,445.15,455.05,453.22,"176,590","Apr 27, 2023"
26-04-2023,429.30,453.00,429.00,450.65,448.84,"228,549","Apr 26, 2023"
25-04-2023,433.55,439.10,425.00,427.55,425.83,"116,690","Apr 25, 2023"
24-04-2023,436.85,445.95,430.00,432.60,430.86,"120,220","Apr 24, 2023"
21-04-2023,449.00,449.00,428.35,433.50,431.76,"167,790","Apr 21, 2023"
20-04-2023,458.10,472.10,445.00,449.40,447.59,"334,613","Apr 20, 2023"
19-04-2023,448.05,462.00,448.05,457.00,455.16,"159,281","Apr 19, 2023"
18-04-2023,454.90,459.45,440.65,451.15,449.34,"192,665","Apr 18, 2023"
17-04-2023,443.00,452.10,433.55,449.40,447.59,"126,517","Apr 17, 2023"
13-04-2023,441.00,446.65,432.00,441.95,440.17,"110,303","Apr 13, 2023"
12-04-2023,442.50,453.00,434.00,438.60,436.84,"289,706","Apr 12, 2023"
11-04-2023,418.50,444.20,415.90,439.75,437.98,"472,155","Apr 11, 2023"
10-04-2023,421.00,425.60,417.55,418.80,417.12,"37,599","Apr 10, 2023"
06-04-2023,417.25,434.80,415.35,423.50,421.80,"205,127","Apr 06, 2023"
05-04-2023,424.00,425.80,411.80,415.30,413.63,"79,746","Apr 05, 2023"
03-04-2023,435.00,436.00,420.85,423.75,422.05,"63,765","Apr 03, 2023"
31-03-2023,430.00,436.00,418.35,428.25,426.53,"158,257","Mar 31, 2023"
29-03-2023,399.95,426.50,394.45,424.40,422.69,"401,253","Mar 29, 2023"
28-03-2023,393.00,399.45,380.15,392.75,391.17,"221,486","Mar 28, 2023"
27-03-2023,396.80,398.15,382.50,387.00,385.44,"111,933","Mar 27, 2023"
24-03-2023,406.90,406.90,388.20,393.60,392.02,"112,889","Mar 24, 2023"
23-03-2023,400.80,406.00,395.55,402.30,400.68,"72,379","Mar 23, 2023"
22-03-2023,410.00,413.60,400.05,401.35,399.74,"99,201","Mar 22, 2023"
21-03-2023,400.00,411.90,391.20,409.30,407.65,"456,073","Mar 21, 2023"
20-03-2023,406.15,415.95,393.00,395.80,394.21,"258,987","Mar 20, 2023"
17-03-2023,425.10,427.55,408.00,411.15,409.50,"171,926","Mar 17, 2023"
16-03-2023,409.00,425.45,404.15,422.85,421.15,"156,185","Mar 16, 2023"
15-03-2023,421.45,426.25,410.00,412.55,410.89,"118,372","Mar 15, 2023"
14-03-2023,410.35,423.40,405.65,418.00,416.32,"252,231","Mar 14, 2023"
13-03-2023,440.00,443.90,407.20,410.35,408.70,"440,327","Mar 13, 2023"
10-03-2023,449.05,452.85,438.00,441.25,439.48,"183,517","Mar 10, 2023"
09-03-2023,461.80,463.65,448.60,453.60,451.78,"225,352","Mar 09, 2023"
08-03-2023,457.65,467.40,446.90,459.50,457.65,"499,642","Mar 08, 2023"
06-03-2023,456.00,464.40,443.35,453.55,451.73,"628,870","Mar 06, 2023"
03-03-2023,428.70,453.90,423.10,449.15,447.34,"878,590","Mar 03, 2023"
02-03-2023,421.00,432.80,413.00,423.90,422.20,"157,770","Mar 02, 2023"
01-03-2023,422.85,429.50,418.00,420.80,419.11,"196,442","Mar 01, 2023"
28-02-2023,418.00,444.00,413.30,414.65,412.98,"977,594","Feb 28, 2023"
27-02-2023,427.00,430.10,404.50,410.25,408.60,"696,310","Feb 27, 2023"
24-02-2023,437.70,439.50,422.00,425.50,423.79,"203,661","Feb 24, 2023"
23-02-2023,413.00,439.70,413.00,435.40,433.65,"281,457","Feb 23, 2023"
22-02-2023,416.00,425.00,413.00,415.85,414.18,"132,658","Feb 22, 2023"
21-02-2023,425.80,430.00,413.30,417.25,415.57,"185,195","Feb 21, 2023"
20-02-2023,430.05,439.90,419.50,423.20,421.50,"248,910","Feb 20, 2023"
17-02-2023,420.20,442.00,415.00,426.70,424.98,"949,421","Feb 17, 2023"
16-02-2023,413.00,439.00,411.25,422.35,420.65,"348,508","Feb 16, 2023"
15-02-2023,429.90,434.40,407.05,413.55,411.89,"283,076","Feb 15, 2023"
14-02-2023,408.70,436.50,405.35,426.40,424.69,"779,567","Feb 14, 2023"
13-02-2023,395.00,411.90,393.60,402.65,401.03,"232,281","Feb 13, 2023"
10-02-2023,397.25,401.20,390.20,392.55,390.97,"142,670","Feb 10, 2023"
09-02-2023,407.00,409.45,396.10,401.25,399.64,"202,860","Feb 09, 2023"
08-02-2023,404.00,426.00,402.10,407.55,405.91,"1,560,167","Feb 08, 2023"
07-02-2023,375.55,379.95,366.90,374.30,372.80,"153,796","Feb 07, 2023"
06-02-2023,347.95,374.00,347.10,371.65,370.16,"194,939","Feb 06, 2023"
03-02-2023,344.55,348.05,333.05,346.70,345.31,"118,157","Feb 03, 2023"
02-02-2023,344.20,346.25,340.40,344.80,343.41,"19,790","Feb 02, 2023"
01-02-2023,346.50,349.45,336.05,342.30,340.92,"38,365","Feb 01, 2023"
31-01-2023,347.80,348.00,336.45,344.90,343.51,"35,656","Jan 31, 2023"
30-01-2023,334.00,348.95,332.65,343.10,341.72,"28,218","Jan 30, 2023"
27-01-2023,344.70,346.75,333.00,339.35,337.99,"47,452","Jan 27, 2023"
25-01-2023,351.50,352.75,340.30,345.30,343.91,"35,605","Jan 25, 2023"
24-01-2023,348.70,354.40,347.35,350.95,349.54,"52,901","Jan 24, 2023"
23-01-2023,345.00,352.00,343.30,348.65,347.25,"48,784","Jan 23, 2023"
20-01-2023,350.65,354.40,346.15,347.65,346.25,"29,598","Jan 20, 2023"
19-01-2023,350.00,353.95,348.25,350.65,349.24,"25,489","Jan 19, 2023"
18-01-2023,351.00,355.40,348.10,349.80,348.39,"21,772","Jan 18, 2023"
17-01-2023,353.00,359.30,353.00,354.55,353.12,"28,290","Jan 17, 2023"
16-01-2023,361.05,361.05,350.40,352.20,350.78,"35,404","Jan 16, 2023"
13-01-2023,354.00,362.00,350.00,357.50,356.06,"62,545","Jan 13, 2023"
12-01-2023,351.10,355.70,350.00,352.75,351.33,"31,460","Jan 12, 2023"
11-01-2023,359.80,359.80,351.00,352.30,350.88,"20,689","Jan 11, 2023"
10-01-2023,360.00,360.80,354.05,358.40,356.96,"46,193","Jan 10, 2023"
09-01-2023,356.70,360.05,352.30,355.55,354.12,"44,097","Jan 09, 2023"
