date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,88.35,88.50,85.60,86.60,86.60,"41,883","Aug 25, 2023"
24-08-2023,89.20,89.65,87.45,87.70,87.70,"37,775","Aug 24, 2023"
23-08-2023,86.65,88.90,86.50,88.15,88.15,"47,732","Aug 23, 2023"
22-08-2023,89.15,91.90,85.65,86.30,86.30,"167,134","Aug 22, 2023"
21-08-2023,91.00,92.40,87.45,89.10,89.10,"83,908","Aug 21, 2023"
18-08-2023,93.75,94.00,89.00,89.95,89.95,"125,211","Aug 18, 2023"
17-08-2023,94.20,95.85,93.05,93.75,93.75,"37,966","Aug 17, 2023"
16-08-2023,96.45,97.25,92.00,92.80,92.80,"61,598","Aug 16, 2023"
14-08-2023,98.05,98.95,94.05,95.05,95.05,"77,982","Aug 14, 2023"
11-08-2023,101.00,103.80,100.00,100.30,100.30,"65,920","Aug 11, 2023"
10-08-2023,104.00,105.50,100.00,100.45,100.45,"64,661","Aug 10, 2023"
09-08-2023,104.45,105.95,102.25,103.20,103.20,"44,423","Aug 09, 2023"
08-08-2023,103.40,108.75,101.75,103.45,103.45,"187,462","Aug 08, 2023"
07-08-2023,104.00,106.40,101.05,101.90,101.90,"65,918","Aug 07, 2023"
04-08-2023,102.00,107.00,100.85,102.80,102.80,"103,969","Aug 04, 2023"
03-08-2023,103.05,106.75,99.20,101.10,101.10,"66,247","Aug 03, 2023"
02-08-2023,106.05,110.00,101.45,104.10,104.10,"150,730","Aug 02, 2023"
01-08-2023,96.80,105.35,96.45,104.85,104.85,"407,183","Aug 01, 2023"
31-07-2023,90.00,97.00,89.30,95.80,95.80,"49,641","Jul 31, 2023"
28-07-2023,94.95,94.95,89.50,89.90,89.90,"56,486","Jul 28, 2023"
27-07-2023,94.45,97.20,91.50,91.95,91.95,"48,758","Jul 27, 2023"
26-07-2023,94.80,95.65,92.50,93.05,93.05,"42,498","Jul 26, 2023"
25-07-2023,96.95,99.90,93.00,93.65,93.65,"43,763","Jul 25, 2023"
24-07-2023,102.70,102.70,95.00,95.50,95.50,"75,146","Jul 24, 2023"
21-07-2023,105.80,105.80,98.05,99.50,99.50,"96,427","Jul 21, 2023"
20-07-2023,94.80,103.30,94.60,103.30,103.30,"163,473","Jul 20, 2023"
19-07-2023,97.90,97.90,93.00,93.95,93.95,"19,979","Jul 19, 2023"
18-07-2023,98.00,100.70,95.20,95.65,95.65,"24,441","Jul 18, 2023"
17-07-2023,95.95,98.70,94.15,97.95,97.95,"77,801","Jul 17, 2023"
14-07-2023,95.75,95.75,90.30,92.00,92.00,"28,843","Jul 14, 2023"
13-07-2023,90.70,97.90,90.40,93.05,93.05,"52,878","Jul 13, 2023"
12-07-2023,92.00,92.70,88.65,90.70,90.70,"28,475","Jul 12, 2023"
11-07-2023,90.80,94.05,90.10,91.50,91.50,"18,253","Jul 11, 2023"
10-07-2023,96.60,96.60,91.80,92.65,92.65,"19,226","Jul 10, 2023"
07-07-2023,94.00,95.70,92.20,95.10,95.10,"35,305","Jul 07, 2023"
