date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,10.45,10.85,10.45,10.85,10.85,"302,650","Aug 25, 2023"
24-08-2023,10.65,10.80,10.65,10.65,10.65,"71,917","Aug 24, 2023"
23-08-2023,10.80,10.80,10.80,10.80,10.80,"75,356","Aug 23, 2023"
22-08-2023,11.00,11.00,11.00,11.00,11.00,"44,166","Aug 22, 2023"
21-08-2023,11.20,11.20,11.20,11.20,11.20,"26,166","Aug 21, 2023"
18-08-2023,11.40,11.40,11.40,11.40,11.40,"37,247","Aug 18, 2023"
17-08-2023,11.60,11.60,11.60,11.60,11.60,"42,778","Aug 17, 2023"
16-08-2023,11.80,11.80,11.80,11.80,11.80,"29,483","Aug 16, 2023"
14-08-2023,12.05,12.05,12.05,12.05,12.05,"32,757","Aug 14, 2023"
11-08-2023,12.30,12.30,12.30,12.30,12.30,"15,278","Aug 11, 2023"
10-08-2023,12.55,12.55,12.55,12.55,12.55,"74,052","Aug 10, 2023"
09-08-2023,12.80,13.05,12.80,12.80,12.80,"221,388","Aug 09, 2023"
08-08-2023,13.05,13.05,13.05,13.05,13.05,"41,145","Aug 08, 2023"
07-08-2023,12.45,12.45,12.45,12.45,12.45,"45,298","Aug 07, 2023"
04-08-2023,11.90,11.90,11.90,11.90,11.90,"34,574","Aug 04, 2023"
03-08-2023,11.20,11.55,10.95,11.35,11.35,"118,042","Aug 03, 2023"
02-08-2023,11.15,11.15,10.90,11.00,11.00,"83,770","Aug 02, 2023"
01-08-2023,11.10,11.10,10.85,10.95,10.95,"144,665","Aug 01, 2023"
31-07-2023,11.25,11.25,10.80,10.85,10.85,"130,271","Jul 31, 2023"
28-07-2023,11.15,11.15,10.85,10.90,10.90,"113,911","Jul 28, 2023"
27-07-2023,11.00,11.15,10.85,10.90,10.90,"159,759","Jul 27, 2023"
26-07-2023,11.20,11.20,10.85,10.95,10.95,"136,879","Jul 26, 2023"
25-07-2023,11.00,11.30,11.00,11.10,11.10,"183,348","Jul 25, 2023"
24-07-2023,11.30,11.30,10.95,10.95,10.95,"171,591","Jul 24, 2023"
21-07-2023,10.90,11.30,10.90,10.95,10.95,"146,395","Jul 21, 2023"
20-07-2023,11.50,11.50,11.00,11.05,11.05,"83,886","Jul 20, 2023"
19-07-2023,10.95,11.45,10.90,11.25,11.25,"125,312","Jul 19, 2023"
18-07-2023,11.00,11.20,10.80,10.95,10.95,"96,729","Jul 18, 2023"
17-07-2023,11.60,11.60,10.90,11.00,11.00,"367,812","Jul 17, 2023"
14-07-2023,11.70,11.70,11.25,11.40,11.40,"87,300","Jul 14, 2023"
13-07-2023,11.75,11.80,11.25,11.35,11.35,"99,484","Jul 13, 2023"
12-07-2023,11.60,11.75,11.20,11.50,11.50,"176,102","Jul 12, 2023"
11-07-2023,11.90,11.90,11.30,11.45,11.45,"290,417","Jul 11, 2023"
10-07-2023,12.45,12.85,11.85,11.90,11.90,"337,946","Jul 10, 2023"
07-07-2023,12.70,12.85,12.40,12.45,12.45,"208,854","Jul 07, 2023"
06-07-2023,12.50,13.00,12.40,12.60,12.60,"122,547","Jul 06, 2023"
05-07-2023,13.25,13.25,12.60,12.90,12.90,"241,383","Jul 05, 2023"
04-07-2023,13.45,13.45,13.00,13.15,13.15,"88,178","Jul 04, 2023"
03-07-2023,13.35,13.65,12.90,13.25,13.25,"120,918","Jul 03, 2023"
30-06-2023,13.20,13.45,13.10,13.20,13.20,"72,910","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,13.25,13.60,13.25,13.40,13.40,"100,557","Jun 27, 2023"
26-06-2023,13.40,13.60,13.00,13.50,13.50,"95,244","Jun 26, 2023"
23-06-2023,13.75,13.75,13.00,13.25,13.25,"258,369","Jun 23, 2023"
22-06-2023,13.80,13.80,13.00,13.40,13.40,"133,528","Jun 22, 2023"
21-06-2023,13.90,14.10,13.30,13.35,13.35,"181,950","Jun 21, 2023"
20-06-2023,13.90,14.00,13.40,13.85,13.85,"211,746","Jun 20, 2023"
19-06-2023,13.70,13.90,13.40,13.70,13.70,"112,225","Jun 19, 2023"
16-06-2023,13.85,13.85,13.20,13.35,13.35,"113,331","Jun 16, 2023"
15-06-2023,13.85,14.00,13.40,13.45,13.45,"74,397","Jun 15, 2023"
14-06-2023,14.00,14.00,13.10,13.70,13.70,"207,892","Jun 14, 2023"
13-06-2023,13.05,13.65,13.00,13.65,13.65,"231,751","Jun 13, 2023"
12-06-2023,13.25,13.40,12.80,13.00,13.00,"186,672","Jun 12, 2023"
09-06-2023,13.90,13.90,13.10,13.20,13.20,"192,250","Jun 09, 2023"
08-06-2023,14.00,14.65,13.50,13.70,13.70,"181,434","Jun 08, 2023"
07-06-2023,13.40,14.40,13.10,14.15,14.15,"496,333","Jun 07, 2023"
06-06-2023,12.70,13.80,11.55,13.75,13.75,"1,374,829","Jun 06, 2023"
05-06-2023,13.85,14.15,12.20,12.55,12.55,"2,241,190","Jun 05, 2023"
02-06-2023,12.55,12.90,12.35,12.90,12.90,"360,657","Jun 02, 2023"
01-06-2023,10.50,11.75,10.50,11.75,11.75,"455,518","Jun 01, 2023"
31-05-2023,10.50,10.90,10.20,10.70,10.70,"256,757","May 31, 2023"
30-05-2023,11.10,11.50,10.60,10.75,10.75,"403,481","May 30, 2023"
29-05-2023,11.20,11.30,10.90,11.05,11.05,"208,971","May 29, 2023"
26-05-2023,11.50,11.50,10.90,11.00,11.00,"288,082","May 26, 2023"
25-05-2023,11.40,11.50,11.10,11.35,11.35,"106,478","May 25, 2023"
24-05-2023,11.30,11.65,11.25,11.35,11.35,"189,780","May 24, 2023"
