date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,16.95,17.05,16.80,16.85,16.85,"57,068,886","Aug 25, 2023"
24-08-2023,17.10,17.20,16.90,16.95,16.95,"65,221,207","Aug 24, 2023"
23-08-2023,17.05,17.30,16.95,17.00,17.00,"103,711,610","Aug 23, 2023"
22-08-2023,17.00,17.05,16.85,16.95,16.95,"76,696,780","Aug 22, 2023"
21-08-2023,16.90,17.05,16.75,16.95,16.95,"79,437,088","Aug 21, 2023"
18-08-2023,17.05,17.20,16.80,16.90,16.90,"93,032,287","Aug 18, 2023"
17-08-2023,16.90,17.30,16.85,17.00,17.00,"110,008,087","Aug 17, 2023"
16-08-2023,16.95,17.00,16.80,16.85,16.85,"59,611,983","Aug 16, 2023"
14-08-2023,17.05,17.10,16.80,16.95,16.95,"84,692,730","Aug 14, 2023"
11-08-2023,17.05,17.40,17.00,17.05,17.05,"88,552,616","Aug 11, 2023"
10-08-2023,17.00,17.45,16.90,16.95,16.95,"170,855,859","Aug 10, 2023"
09-08-2023,16.90,17.00,16.80,16.95,16.95,"48,443,836","Aug 09, 2023"
08-08-2023,16.90,17.00,16.75,16.85,16.85,"49,199,132","Aug 08, 2023"
07-08-2023,17.00,17.15,16.75,16.90,16.90,"69,343,019","Aug 07, 2023"
04-08-2023,17.05,17.15,16.90,16.95,16.95,"86,412,240","Aug 04, 2023"
03-08-2023,17.00,17.10,16.90,17.00,17.00,"67,175,859","Aug 03, 2023"
02-08-2023,17.05,17.30,16.85,17.00,17.00,"108,943,704","Aug 02, 2023"
01-08-2023,17.10,17.20,17.00,17.10,17.10,"69,943,055","Aug 01, 2023"
31-07-2023,16.95,17.10,16.90,16.95,16.95,"60,939,265","Jul 31, 2023"
28-07-2023,17.00,17.10,16.85,16.95,16.95,"75,578,803","Jul 28, 2023"
27-07-2023,17.05,17.35,16.90,16.95,16.95,"89,067,183","Jul 27, 2023"
26-07-2023,17.05,17.15,16.65,17.00,17.00,"113,833,184","Jul 26, 2023"
