date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,12.00,12.25,11.70,11.90,11.90,"6,695,869","Aug 25, 2023"
24-08-2023,12.25,13.10,11.95,12.20,12.20,"13,081,082","Aug 24, 2023"
23-08-2023,11.55,12.20,11.55,12.05,12.05,"7,189,490","Aug 23, 2023"
22-08-2023,11.70,11.95,11.40,11.45,11.45,"3,992,059","Aug 22, 2023"
21-08-2023,12.15,12.15,11.55,11.60,11.60,"2,488,793","Aug 21, 2023"
18-08-2023,11.85,12.20,11.85,11.95,11.95,"4,023,119","Aug 18, 2023"
17-08-2023,12.25,12.35,11.75,11.85,11.85,"3,058,953","Aug 17, 2023"
16-08-2023,12.75,12.75,12.00,12.10,12.10,"4,469,173","Aug 16, 2023"
14-08-2023,12.75,12.95,12.05,12.55,12.55,"7,323,416","Aug 14, 2023"
11-08-2023,14.25,14.30,13.05,13.25,13.25,"15,054,768","Aug 11, 2023"
10-08-2023,12.10,14.45,12.05,14.05,14.05,"64,410,041","Aug 10, 2023"
09-08-2023,11.80,12.70,11.70,12.05,12.05,"7,110,022","Aug 09, 2023"
08-08-2023,12.50,12.55,11.60,11.80,11.80,"8,614,853","Aug 08, 2023"
07-08-2023,10.90,12.80,10.80,12.40,12.40,"20,859,973","Aug 07, 2023"
04-08-2023,10.75,11.00,10.70,10.80,10.80,"3,651,527","Aug 04, 2023"
03-08-2023,10.50,11.00,10.50,10.70,10.70,"6,802,879","Aug 03, 2023"
02-08-2023,11.10,11.15,10.40,10.50,10.50,"6,117,355","Aug 02, 2023"
01-08-2023,11.20,11.40,11.00,11.10,11.10,"3,804,723","Aug 01, 2023"
31-07-2023,11.05,11.50,11.00,11.20,11.20,"8,023,735","Jul 31, 2023"
28-07-2023,10.10,11.05,10.05,11.00,11.00,"20,476,204","Jul 28, 2023"
27-07-2023,9.95,10.25,9.90,10.05,10.05,"3,429,170","Jul 27, 2023"
26-07-2023,9.85,10.70,9.75,9.85,9.85,"12,142,695","Jul 26, 2023"
25-07-2023,9.80,10.20,9.60,9.95,9.95,"6,185,081","Jul 25, 2023"
24-07-2023,9.80,10.20,9.65,9.75,9.75,"7,112,542","Jul 24, 2023"
21-07-2023,10.20,10.25,9.75,9.80,9.80,"5,224,829","Jul 21, 2023"
20-07-2023,10.65,10.65,10.05,10.30,10.30,"3,109,440","Jul 20, 2023"
19-07-2023,10.65,10.90,10.35,10.55,10.55,"4,284,626","Jul 19, 2023"
18-07-2023,11.15,11.25,10.50,10.60,10.60,"7,581,276","Jul 18, 2023"
17-07-2023,10.55,11.10,10.20,10.90,10.90,"10,879,207","Jul 17, 2023"
14-07-2023,9.55,10.45,9.55,10.45,10.45,"11,004,781","Jul 14, 2023"
13-07-2023,9.75,10.05,9.25,9.50,9.50,"8,067,558","Jul 13, 2023"
12-07-2023,9.60,10.10,9.55,9.70,9.70,"6,737,632","Jul 12, 2023"
11-07-2023,10.20,10.35,9.45,9.60,9.60,"8,955,900","Jul 11, 2023"
10-07-2023,11.15,11.40,10.05,10.25,10.25,"16,574,808","Jul 10, 2023"
07-07-2023,9.45,11.25,9.25,11.10,11.10,"26,084,510","Jul 07, 2023"
06-07-2023,8.20,9.65,8.15,9.40,9.40,"14,024,257","Jul 06, 2023"
05-07-2023,8.15,8.30,8.10,8.20,8.20,"2,066,447","Jul 05, 2023"
04-07-2023,8.10,8.35,8.00,8.15,8.15,"2,803,805","Jul 04, 2023"
03-07-2023,7.95,8.15,7.85,8.05,8.05,"2,327,275","Jul 03, 2023"
30-06-2023,7.90,7.95,7.85,7.90,7.90,"1,179,288","Jun 30, 2023"
28-06-2023,7.90,7.90,7.90,7.90,7.90,-,"Jun 28, 2023"
27-06-2023,7.95,8.05,7.90,7.90,7.90,"1,078,778","Jun 27, 2023"
26-06-2023,8.00,8.00,7.90,7.95,7.95,"976,587","Jun 26, 2023"
23-06-2023,8.05,8.10,7.90,7.95,7.95,"1,018,668","Jun 23, 2023"
22-06-2023,8.15,8.20,7.95,8.05,8.05,"2,353,197","Jun 22, 2023"
21-06-2023,7.90,8.30,7.90,8.05,8.05,"3,792,570","Jun 21, 2023"
20-06-2023,8.10,8.15,7.90,7.95,7.95,"2,318,892","Jun 20, 2023"
19-06-2023,7.95,8.15,7.80,8.05,8.05,"4,222,541","Jun 19, 2023"
16-06-2023,8.00,8.10,7.75,7.85,7.85,"4,632,203","Jun 16, 2023"
15-06-2023,8.10,8.25,7.90,8.00,8.00,"4,124,230","Jun 15, 2023"
14-06-2023,8.00,8.25,8.00,8.05,8.05,"3,179,346","Jun 14, 2023"
13-06-2023,8.20,8.25,7.95,8.00,8.00,"3,785,103","Jun 13, 2023"
12-06-2023,8.45,8.45,8.10,8.20,8.20,"2,184,642","Jun 12, 2023"
09-06-2023,8.40,8.75,8.10,8.30,8.30,"2,517,898","Jun 09, 2023"
08-06-2023,8.25,9.10,8.25,8.35,8.35,"8,502,992","Jun 08, 2023"
07-06-2023,7.95,8.25,7.80,8.10,8.10,"6,523,833","Jun 07, 2023"
06-06-2023,7.90,8.00,7.75,7.80,7.80,"1,959,603","Jun 06, 2023"
05-06-2023,7.95,8.15,7.85,7.85,7.85,"2,689,074","Jun 05, 2023"
02-06-2023,7.95,8.05,7.75,7.85,7.85,"1,636,321","Jun 02, 2023"
01-06-2023,7.95,8.05,7.80,7.90,7.90,"1,233,188","Jun 01, 2023"
31-05-2023,7.85,8.10,7.80,7.85,7.85,"1,968,916","May 31, 2023"
30-05-2023,8.10,8.10,7.35,7.85,7.85,"2,573,633","May 30, 2023"
29-05-2023,8.40,8.40,8.00,8.10,8.10,"1,714,289","May 29, 2023"
26-05-2023,8.25,8.30,8.10,8.20,8.20,"1,584,763","May 26, 2023"
25-05-2023,8.20,8.40,8.05,8.15,8.15,"913,872","May 25, 2023"
24-05-2023,8.15,8.50,7.95,8.20,8.20,"2,170,678","May 24, 2023"
23-05-2023,8.40,8.45,7.70,8.15,8.15,"3,616,976","May 23, 2023"
22-05-2023,8.30,8.55,8.20,8.25,8.25,"1,174,094","May 22, 2023"
19-05-2023,8.60,8.65,8.05,8.45,8.45,"702,643","May 19, 2023"
18-05-2023,8.65,8.80,8.50,8.55,8.55,"939,654","May 18, 2023"
17-05-2023,8.70,8.75,8.55,8.60,8.60,"589,303","May 17, 2023"
16-05-2023,8.75,8.90,8.45,8.65,8.65,"1,221,631","May 16, 2023"
15-05-2023,9.00,9.00,8.65,8.75,8.75,"534,281","May 15, 2023"
12-05-2023,9.10,9.10,8.70,8.85,8.85,"748,560","May 12, 2023"
11-05-2023,8.95,9.05,8.90,9.00,9.00,"772,048","May 11, 2023"
10-05-2023,8.80,9.15,8.65,8.90,8.90,"1,427,186","May 10, 2023"
09-05-2023,8.75,8.85,8.70,8.75,8.75,"571,501","May 09, 2023"
08-05-2023,8.85,8.90,8.70,8.80,8.80,"580,737","May 08, 2023"
05-05-2023,8.80,8.90,8.60,8.70,8.70,"2,203,675","May 05, 2023"
04-05-2023,8.80,8.95,8.70,8.80,8.80,"1,063,629","May 04, 2023"
03-05-2023,8.95,8.95,8.70,8.75,8.75,"946,548","May 03, 2023"
02-05-2023,9.15,9.15,8.75,8.80,8.80,"832,951","May 02, 2023"
28-04-2023,8.80,9.10,8.75,8.95,8.95,"1,117,854","Apr 28, 2023"
27-04-2023,8.85,8.85,8.65,8.75,8.75,"642,776","Apr 27, 2023"
26-04-2023,8.60,8.85,8.60,8.70,8.70,"453,570","Apr 26, 2023"
25-04-2023,8.70,8.90,8.50,8.75,8.75,"655,021","Apr 25, 2023"
24-04-2023,8.95,8.95,8.55,8.60,8.60,"829,735","Apr 24, 2023"
21-04-2023,8.85,8.95,8.70,8.80,8.80,"947,707","Apr 21, 2023"
20-04-2023,9.00,9.05,8.80,8.85,8.85,"837,873","Apr 20, 2023"
19-04-2023,9.10,9.20,8.75,8.95,8.95,"656,572","Apr 19, 2023"
18-04-2023,9.00,9.30,8.85,9.00,9.00,"927,864","Apr 18, 2023"
17-04-2023,9.00,9.15,8.85,8.90,8.90,"638,439","Apr 17, 2023"
13-04-2023,9.15,9.15,8.75,8.80,8.80,"821,617","Apr 13, 2023"
12-04-2023,9.05,9.20,8.95,9.05,9.05,"644,916","Apr 12, 2023"
11-04-2023,9.10,9.20,9.05,9.10,9.10,"547,813","Apr 11, 2023"
10-04-2023,9.30,9.30,9.00,9.05,9.05,"1,095,673","Apr 10, 2023"
06-04-2023,9.35,9.40,9.00,9.10,9.10,"1,440,635","Apr 06, 2023"
05-04-2023,9.30,9.45,9.15,9.40,9.40,"1,286,183","Apr 05, 2023"
03-04-2023,8.80,9.00,8.75,9.00,9.00,"710,572","Apr 03, 2023"
31-03-2023,8.55,8.80,8.50,8.60,8.60,"2,070,132","Mar 31, 2023"
29-03-2023,7.95,8.40,7.65,8.40,8.40,"3,032,888","Mar 29, 2023"
28-03-2023,8.25,8.45,8.00,8.00,8.00,"1,508,562","Mar 28, 2023"
27-03-2023,8.85,8.85,8.40,8.40,8.40,"3,074,533","Mar 27, 2023"
24-03-2023,9.15,9.20,8.60,8.80,8.80,"1,730,769","Mar 24, 2023"
23-03-2023,9.20,9.35,8.95,9.05,9.05,"1,011,308","Mar 23, 2023"
22-03-2023,9.15,9.30,9.10,9.15,9.15,"1,087,167","Mar 22, 2023"
21-03-2023,9.10,9.35,9.05,9.15,9.15,"808,789","Mar 21, 2023"
20-03-2023,9.40,9.50,9.00,9.05,9.05,"1,234,405","Mar 20, 2023"
17-03-2023,9.50,9.75,9.25,9.40,9.40,"1,310,175","Mar 17, 2023"
16-03-2023,9.00,9.45,8.55,9.45,9.45,"2,700,766","Mar 16, 2023"
15-03-2023,9.35,9.50,8.90,9.00,9.00,"1,919,332","Mar 15, 2023"
14-03-2023,9.45,9.65,9.10,9.20,9.20,"959,784","Mar 14, 2023"
13-03-2023,9.90,9.90,9.45,9.45,9.45,"1,138,868","Mar 13, 2023"
10-03-2023,10.00,10.20,9.70,9.95,9.95,"1,859,915","Mar 10, 2023"
09-03-2023,9.75,10.25,9.65,10.10,10.10,"2,580,738","Mar 09, 2023"
08-03-2023,10.50,10.75,9.75,9.80,9.80,"3,842,455","Mar 08, 2023"
06-03-2023,9.95,10.25,9.60,10.25,10.25,"1,327,601","Mar 06, 2023"
03-03-2023,9.70,9.80,9.15,9.80,9.80,"3,733,797","Mar 03, 2023"
02-03-2023,9.30,9.35,9.15,9.35,9.35,"640,564","Mar 02, 2023"
01-03-2023,8.90,8.95,8.85,8.95,8.95,"474,586","Mar 01, 2023"
28-02-2023,7.80,8.55,7.75,8.55,8.55,"3,491,543","Feb 28, 2023"
27-02-2023,8.70,8.70,8.15,8.15,8.15,"2,692,590","Feb 27, 2023"
24-02-2023,9.00,9.45,8.25,8.55,8.55,"4,136,960","Feb 24, 2023"
23-02-2023,9.70,9.90,8.95,9.05,9.05,"4,072,066","Feb 23, 2023"
22-02-2023,9.80,10.25,9.60,9.70,9.70,"1,737,201","Feb 22, 2023"
21-02-2023,10.15,10.20,9.15,9.80,9.80,"3,784,561","Feb 21, 2023"
20-02-2023,10.50,10.50,9.95,10.10,10.10,"1,857,151","Feb 20, 2023"
17-02-2023,10.75,10.95,10.30,10.40,10.40,"1,086,262","Feb 17, 2023"
16-02-2023,10.75,11.55,10.70,10.75,10.75,"1,799,821","Feb 16, 2023"
15-02-2023,10.95,11.20,10.35,10.80,10.80,"2,204,149","Feb 15, 2023"
14-02-2023,11.80,11.80,10.80,10.90,10.90,"2,491,368","Feb 14, 2023"
13-02-2023,12.05,12.20,11.25,11.65,11.65,"1,174,501","Feb 13, 2023"
10-02-2023,12.05,12.10,11.90,11.90,11.90,"1,228,076","Feb 10, 2023"
09-02-2023,11.95,12.05,11.75,11.90,11.90,"643,590","Feb 09, 2023"
08-02-2023,12.20,12.25,11.90,11.95,11.95,"931,288","Feb 08, 2023"
07-02-2023,12.40,12.90,12.00,12.05,12.05,"1,585,900","Feb 07, 2023"
06-02-2023,11.75,12.15,11.55,12.15,12.15,"1,446,419","Feb 06, 2023"
03-02-2023,12.05,12.40,11.55,11.60,11.60,"1,636,413","Feb 03, 2023"
02-02-2023,12.30,12.65,11.65,11.90,11.90,"3,519,995","Feb 02, 2023"
01-02-2023,12.75,13.05,12.00,12.25,12.25,"1,662,723","Feb 01, 2023"
31-01-2023,12.25,12.85,11.75,12.45,12.45,"3,428,332","Jan 31, 2023"
30-01-2023,12.90,13.15,12.25,12.25,12.25,"2,047,395","Jan 30, 2023"
27-01-2023,13.50,13.70,12.80,12.90,12.90,"1,161,141","Jan 27, 2023"
25-01-2023,13.40,13.65,13.30,13.40,13.40,"297,395","Jan 25, 2023"
24-01-2023,13.55,13.60,13.30,13.40,13.40,"878,990","Jan 24, 2023"
23-01-2023,13.95,13.95,13.40,13.50,13.50,"620,690","Jan 23, 2023"
20-01-2023,13.95,13.95,13.60,13.80,13.80,"501,683","Jan 20, 2023"
19-01-2023,13.85,14.15,13.70,13.85,13.85,"825,398","Jan 19, 2023"
18-01-2023,14.00,14.05,13.60,13.80,13.80,"736,401","Jan 18, 2023"
17-01-2023,14.20,14.20,13.90,13.95,13.95,"372,277","Jan 17, 2023"
16-01-2023,14.10,14.20,13.95,14.00,14.00,"676,545","Jan 16, 2023"
13-01-2023,14.15,14.30,14.05,14.10,14.10,"412,763","Jan 13, 2023"
12-01-2023,14.20,14.30,14.05,14.10,14.10,"769,946","Jan 12, 2023"
11-01-2023,14.20,14.30,14.05,14.10,14.10,"584,461","Jan 11, 2023"
10-01-2023,14.30,14.50,14.15,14.20,14.20,"666,829","Jan 10, 2023"
09-01-2023,14.50,14.55,14.15,14.25,14.25,"1,034,577","Jan 09, 2023"
06-01-2023,14.70,14.75,14.25,14.30,14.30,"1,069,893","Jan 06, 2023"
05-01-2023,14.85,14.90,14.50,14.60,14.60,"1,026,797","Jan 05, 2023"
04-01-2023,15.05,15.05,14.70,14.80,14.80,"614,587","Jan 04, 2023"
03-01-2023,15.10,15.40,14.85,15.00,15.00,"1,038,223","Jan 03, 2023"
02-01-2023,14.85,15.15,14.70,15.00,15.00,"1,068,291","Jan 02, 2023"
30-12-2022,14.95,15.25,14.75,14.85,14.85,"681,570","Dec 30, 2022"
29-12-2022,14.85,15.20,14.85,14.90,14.90,"292,406","Dec 29, 2022"
28-12-2022,15.00,15.45,14.80,15.10,15.10,"771,928","Dec 28, 2022"
