date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"13,170.30","13,212.90","13,000.00","13,088.10","13,088.10","1,545","Aug 25, 2023"
24-08-2023,"13,385.20","13,429.70","13,032.00","13,170.30","13,170.30","4,179","Aug 24, 2023"
23-08-2023,"13,455.25","13,517.05","13,305.10","13,367.85","13,367.85","1,006","Aug 23, 2023"
22-08-2023,"13,416.75","13,549.65","13,320.10","13,380.65","13,380.65","1,792","Aug 22, 2023"
21-08-2023,"13,405.00","13,627.30","13,303.50","13,383.55","13,383.55","3,694","Aug 21, 2023"
18-08-2023,"13,597.95","13,650.35","13,363.05","13,497.30","13,497.30","1,541","Aug 18, 2023"
17-08-2023,"13,409.10","13,720.00","13,409.10","13,537.60","13,537.60","7,215","Aug 17, 2023"
16-08-2023,"13,459.55","13,770.30","13,320.00","13,409.10","13,409.10","3,244","Aug 16, 2023"
14-08-2023,"13,380.00","14,000.00","13,226.70","13,459.55","13,459.55","5,185","Aug 14, 2023"
11-08-2023,"13,459.55","13,521.65","13,324.65","13,482.60","13,482.60","1,139","Aug 11, 2023"
10-08-2023,"13,250.00","13,482.70","13,135.70","13,260.65","13,260.65","1,331","Aug 10, 2023"
09-08-2023,"13,101.60","13,297.65","13,000.00","13,249.80","13,249.80","1,717","Aug 09, 2023"
08-08-2023,"13,162.00","13,297.95","13,050.00","13,101.60","13,101.60","1,165","Aug 08, 2023"
07-08-2023,"13,215.00","13,300.00","12,993.15","13,215.60","13,215.60","2,774","Aug 07, 2023"
04-08-2023,"13,480.35","13,480.35","13,100.00","13,158.95","13,158.95","12,289","Aug 04, 2023"
03-08-2023,"13,301.00","13,451.90","12,924.35","13,405.55","13,405.55","9,142","Aug 03, 2023"
02-08-2023,"13,959.75","14,100.00","13,052.05","13,310.65","13,310.65","14,162","Aug 02, 2023"
01-08-2023,"13,000.00","14,150.00","12,850.75","13,780.05","13,780.05","14,355","Aug 01, 2023"
31-07-2023,"12,550.00","13,100.00","12,364.30","12,954.45","12,954.45","9,178","Jul 31, 2023"
28-07-2023,"12,082.15","12,489.00","11,865.55","12,395.70","12,395.70","27,141","Jul 28, 2023"
27-07-2023,"11,981.00","12,350.45","11,684.05","11,990.20","11,990.20","42,132","Jul 27, 2023"
26-07-2023,"12,013.80","12,119.90","11,870.00","11,978.15","11,978.15","5,073","Jul 26, 2023"
25-07-2023,"12,141.75","12,141.75","11,818.05","11,989.65","11,989.65","4,857","Jul 25, 2023"
24-07-2023,"12,246.00","12,389.90","11,761.00","12,055.30","12,055.30","8,191","Jul 24, 2023"
21-07-2023,"12,210.00","12,444.00","11,912.80","12,246.65","12,246.65","6,880","Jul 21, 2023"
20-07-2023,"12,663.60","12,663.60","12,202.65","12,273.55","12,273.55","2,672","Jul 20, 2023"
19-07-2023,"12,645.00","12,714.80","12,350.00","12,621.75","12,621.75","2,237","Jul 19, 2023"
18-07-2023,"12,693.30","12,742.60","12,452.60","12,644.95","12,644.95","1,006","Jul 18, 2023"
17-07-2023,"12,650.00","12,724.80","12,506.95","12,693.30","12,693.30","2,826","Jul 17, 2023"
14-07-2023,"12,348.80","12,677.95","12,253.25","12,553.00","12,553.00","3,387","Jul 14, 2023"
13-07-2023,"12,135.50","12,430.00","12,016.00","12,348.80","12,348.80","3,653","Jul 13, 2023"
12-07-2023,"12,021.40","12,175.00","11,990.00","12,135.20","12,135.20","1,076","Jul 12, 2023"
11-07-2023,"12,060.60","12,095.00","11,866.70","12,021.40","12,021.40",809,"Jul 11, 2023"
10-07-2023,"12,046.60","12,185.85","11,905.00","11,994.65","11,994.65","1,795","Jul 10, 2023"
07-07-2023,"12,219.35","12,275.90","11,800.00","12,046.60","12,046.60","3,543","Jul 07, 2023"
07-07-2023,13 Dividend,,,,,,"Jul 07, 2023"
06-07-2023,"12,223.30","12,280.35","12,118.50","12,169.10","12,156.10","5,551","Jul 06, 2023"
06-07-2023,13 Dividend,,,,,,"Jul 06, 2023"
05-07-2023,"12,111.00","12,313.70","12,100.00","12,161.50","12,135.52","11,194","Jul 05, 2023"
04-07-2023,"12,276.80","12,352.50","12,101.00","12,145.45","12,119.51","1,856","Jul 04, 2023"
03-07-2023,"12,229.25","12,379.25","12,133.80","12,297.45","12,271.18","4,898","Jul 03, 2023"
30-06-2023,"12,177.00","12,347.80","12,106.00","12,162.45","12,136.47","1,840","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,"12,147.80","12,194.60","11,890.50","11,992.15","11,966.53","11,179","Jun 27, 2023"
26-06-2023,"12,260.00","12,376.80","12,050.00","12,081.35","12,055.54","1,888","Jun 26, 2023"
23-06-2023,"12,336.00","12,399.90","12,135.55","12,268.40","12,242.19","4,980","Jun 23, 2023"
22-06-2023,"11,960.25","12,599.00","11,866.30","12,301.00","12,274.72","13,016","Jun 22, 2023"
21-06-2023,"11,946.25","12,116.20","11,848.50","11,894.80","11,869.39","2,879","Jun 21, 2023"
20-06-2023,"12,053.25","12,094.95","11,850.00","11,880.90","11,855.52","11,732","Jun 20, 2023"
19-06-2023,"12,079.00","12,079.00","11,782.00","11,986.75","11,961.14","9,996","Jun 19, 2023"
16-06-2023,"11,751.00","12,095.00","11,751.00","11,876.45","11,851.08","12,578","Jun 16, 2023"
15-06-2023,"12,028.30","12,095.00","11,787.15","11,823.35","11,798.09","3,353","Jun 15, 2023"
14-06-2023,"11,937.00","12,266.00","11,887.95","11,962.25","11,936.70","9,428","Jun 14, 2023"
